"更新日時","取得元","コード","銘柄","始値","高値","安値","終値"
"2026/06/29","google","IX0001","台湾加権","44594.81","45521.63","44594.81","44999.9"
"2026/06/29","google","KRX:KOSPI","韓国総合株価指数","8334.28","8525.53","8127.99","8394.65"
"2026/06/29","google","INDEXHANGSENG:HSI","香港ハンセン","22827.65","23183.17","22783.64","23026.68"
"2026/06/29","google","INDEXBOM:SENSEX","インドSENSEX","77055.21","77252.78","76621.75","76728.37"
"2026/06/29","google","SHE:399001","深セン成分","15781.79","15938.23","15487.93","15812.87"
"2026/06/29","google","INDEXSTOXX:SX5E","ユーロ50","6224.74","6240","6202.49","6231.63"
"2026/06/29","google","PX1","CAC40","8379.36","8391.56","8341.26","8367.33"
"2026/06/29","google","UKX","FTSE100","10507.83","10521.03","10471.98","10484.22"
"2026/06/29","google","INDEXDB:DAX","DAX","24724.34","24762.24","24556.78","24626.89"
"2026/06/29","google","INDEXCBOE:VIX","VIX","18.6","19.45","17.49","17.65"
"2026/06/29","google","SP500-10","S&P 500 Energy","822.22","826.71","814.64","816.11"
"2026/06/29","google","SP500-20","S&P 500 Industrials","1536.58","1553.18","1536.58","1547.76"
"2026/06/29","google","SP500-30","S&P 500 Consumer Staples","943.85","945.62","932.24","936.92"
"2026/06/29","google","SP500-40","S&P 500 Financials","894.9","899.58","893.91","894.31"
"2026/06/29","google","SP500-50","S&P 500 Telecommunication Services","447.8","455.45","446.61","454.38"
"2026/06/29","google","SP500-15","S&P 500 Materials","641.68","642.47","630.32","634.61"
"2026/06/29","google","SP500-25","S&P 500 Consumer Discretionary","1865.29","1918.16","1865.29","1905.69"
"2026/06/29","google","SP500-35","S&P 500 Health Care","1875.97","1879.56","1865.89","1876.5"
"2026/06/29","google","SP500-45","S&P 500 Information Technology","6559.07","6624.55","6417.21","6619.11"
"2026/06/29","google","SP500-55","S&P 500 Utilities","469.35","470.5","465.11","467.66"
