Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2000-01-03,55.23,56.62,55.03,55.79,2211335,,,
2000-01-04,55.47,55.47,51.77,53.11,2875219,,,
2000-01-05,49.68,50.7,47.41,48.04,6128680,,,
2000-01-06,49.19,49.58,44.32,44.68,5526851,,,
2000-01-07,46.02,48.02,45.68,48.02,6178173,,,
2000-01-10,48.7,52.01,48.7,51.48,3147286,,,
2000-01-11,52.94,53.08,50.72,52.11,3719434,,,
2000-01-12,49.82,52.16,49.31,51.38,3922562,,,
2000-01-13,51.87,53.23,51.28,51.94,3517065,,,
2000-01-14,54.55,58.3,54.55,58.08,6422426,,,
2000-01-17,60.93,61.31,59.27,60.88,3760911,,,
2000-01-18,61.12,62.58,58.76,60.71,3589429,,,
2000-01-19,59.66,60.68,57.18,59.71,3889532,,,
2000-01-20,68.13,69.64,65.02,67.94,10565851,,,
2000-01-21,67.45,70.11,66.26,68.62,10952819,,,
2000-01-24,66.23,68.38,66.23,67.09,2884012,,,
2000-01-25,64.29,66.09,63.34,63.87,3719446,,,
2000-01-26,65.7,66.48,60.56,61.12,4956008,,,
2000-01-27,60.15,61.14,56.96,60.39,6436189,,,
2000-01-28,61.07,62.44,59.49,60.97,2715533,,,
2000-01-31,58.2,59.81,57.61,59.42,3505817,,,
2000-02-01,61.02,63.24,61.02,62.36,4193144,,,
2000-02-02,64.58,66.23,64.04,66.04,3320134,,,
2000-02-03,66.33,68.18,65.87,67.21,2695659,,,
2000-02-04,69.59,70.13,67.35,68.08,3431823,,,
2000-02-07,68.18,68.38,65.5,65.8,1619424,,,
2000-02-08,67.4,72.03,67.26,71.83,4212485,,,
2000-02-09,72.81,73.3,70.62,70.91,2088038,,,
2000-02-10,68.52,71.59,68.52,70.86,2201027,,,
2000-02-11,72.47,72.49,67.79,67.79,2811533,,,
2000-02-14,66.96,67.5,66.36,66.36,1708142,,,
2000-02-15,66.92,66.96,63.9,63.94,2098658,,,
2000-02-16,67.16,67.69,63.12,63.75,3918379,,,
2000-02-17,64.77,65.75,63.34,64.26,2753559,,,
2000-02-18,65.94,65.99,62.58,62.58,3080487,,,
2000-02-21,62.34,63.43,60.05,60.63,1965101,,,
2000-02-22,60.78,63.53,60.22,61.61,2338502,,,
2000-02-23,63.21,65.65,62.46,64.29,2230548,,,
2000-02-24,65.75,66.43,64.29,64.58,1263622,,,
2000-02-25,64.77,66.11,64.04,64.33,1425215,,,
2000-02-28,62.34,63.26,60.73,63.14,2045563,,,
2000-02-29,64.04,64.94,62.46,64.41,2362432,,,
2000-03-01,65.41,70.03,65.41,68.33,5551785,,,
2000-03-02,70.57,72.52,69.64,72.52,2542610,,,
2000-03-03,72.47,74.76,71.69,73.71,3050681,,,
