Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2011-06-30,7.33,8.73,7.33,8.48,56292536,,,
2011-07-01,8.59,9.33,8.33,9.33,33561280,,,
2011-07-04,9.63,10.27,9.53,10.27,21964592,,,
2011-07-05,10.93,11.29,10.63,11.02,38108084,,,
2011-07-06,10.93,11.85,10.7,11.13,31296720,,,
2011-07-07,11.03,11.32,10.86,11.2,22645016,,,
2011-07-08,11.13,11.22,10.62,11.02,17506436,,,
2011-07-11,10.93,11.21,10.84,10.94,13096733,,,
2011-07-12,10.83,10.88,10.4,10.5,18060352,,,
2011-07-13,10.27,10.43,10.17,10.4,16781524,,,
2011-07-14,10.4,10.52,9.78,10,19380476,,,
2011-07-15,9.93,10.06,9.71,9.94,13946810,,,
2011-07-18,9.93,10.87,9.9,10.68,31365928,,,
2011-07-19,10.37,10.48,9.97,10.02,16085710,,,
2011-07-20,10.17,10.42,10.03,10.13,11017285,,,
2011-07-21,10.02,10.03,9.67,9.72,10073127,,,
2011-07-22,9.73,9.87,9.6,9.8,6143671,,,
2011-07-25,9.67,9.72,9.17,9.22,8572878,,,
2011-07-26,9.23,9.43,9.11,9.34,5468334,,,
2011-07-27,9.3,9.77,9.13,9.73,9917567,,,
2011-07-28,9.53,9.57,9.3,9.47,5765946,,,
2011-07-29,9.47,9.73,9.34,9.39,5122494,,,
2011-08-01,9.35,9.86,9.33,9.7,8312528,,,
2011-08-02,9.55,10.65,9.4,10.21,17374920,,,
2011-08-03,10.07,10.67,10.01,10.19,13281982,,,
2011-08-04,10.1,10.29,9.88,9.98,8657615,,,
2011-08-05,9.51,9.79,9.33,9.54,7309318,,,
2011-08-08,9.33,9.33,8.6,8.75,9057060,,,
2011-08-09,8.34,8.9,8.02,8.82,8998269,,,
2011-08-10,9,9.14,8.81,8.82,7356631,,,
2011-08-11,8.35,8.85,8.35,8.83,5225961,,,
2011-08-12,8.92,9.3,8.89,8.96,6832513,,,
2011-08-15,9,9.72,9,9.48,11674421,,,
2011-08-16,9.43,9.43,9.17,9.2,6699903,,,
2011-08-17,9.17,9.39,9.14,9.26,3789707,,,
2011-08-19,8.67,8.79,8.56,8.7,3850210,,,
2011-08-22,8.7,8.87,8.63,8.77,3451566,,,
2011-08-23,8.78,8.92,8.55,8.88,5665202,,,
2011-08-24,8.87,8.88,8.55,8.58,7905716,,,
2011-08-25,8.52,8.71,8.35,8.65,6024780,,,
2011-08-26,8.6,8.82,8.56,8.69,5323654,,,
2011-08-29,8.67,8.68,8.53,8.53,3479470,,,
2011-08-30,8.58,8.83,8.54,8.57,5454064,,,
2011-08-31,8.56,8.56,8.11,8.26,5448295,,,
2011-09-01,8.26,8.36,8,8.03,4716819,,,
2011-09-02,8,8.09,7.87,8.02,3115825,,,
2011-09-05,8.04,8.04,7.55,7.6,3903166,,,
2011-09-06,7.55,7.7,7.45,7.6,3010989,,,
