Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-11,4225.3,4225.3,4225.3,4225.3,,,,
2026-06-15,4314.3,4314.3,4314.3,4314.3,,,,
2026-06-16,4330.9,4330.9,4330.9,4330.9,,,,
2026-06-17,4279.8,4279.8,4279.8,4279.8,,,,
2026-06-18,4192,4192,4192,4192,,,,
2026-06-19,4145.3,4145.3,4145.3,4145.3,,,,
2026-06-22,4181.9,4181.9,4181.9,4181.9,,,,
2026-06-23,4103.3,4103.3,4103.3,4103.3,,,,
2026-06-24,3990.3,3990.3,3990.3,3990.3,,,,
2026-06-25,4030.5,4030.5,4030.5,4030.5,,,,
2026-06-26,4030.5,4030.5,4030.5,4030.5,,,,
2026-06-29,4022.3,4022.3,4022.3,4022.3,,,,
2026-06-30,4010.7,4010.7,4010.7,4010.7,,,,
2026-07-01,4068.3,4068.3,4068.3,4068.3,,,,
2026-07-02,4112.7,4112.7,4112.7,4112.7,,,,
2026-07-03,4174.6,4174.6,4174.6,4174.6,,,,
2026-07-06,4155.1,4155.1,4155.1,4155.1,,,,
2026-07-07,4145.3,4145.3,4145.3,4145.3,,,,
2026-07-08,4070.9,4070.9,4070.9,4070.9,,,,
2026-07-09,4122.1,4122.1,4122.1,4122.1,,,,
2026-07-10,4090.6,4090.6,4090.6,4090.6,,,,
2026-07-13,3997,3997,3997,3997,,,,
2026-07-14,4046.6,4046.6,4046.6,4046.6,,,,
2026-07-15,4044,4044,4044,4044,,,,
2026-07-16,3985.6,3985.6,3985.6,3985.6,,,,
2026-07-17,4017.2,4017.2,4017.2,4017.2,,,,
2026-07-20,4000.8,4000.8,4000.8,4000.8,,,,
2026-07-21,4071.1,4071.1,4071.1,4071.1,,,,
2026-07-22,4146.9,4146.9,4146.9,4146.9,,,,
2026-07-23,4046.6,4046.6,4046.6,4046.6,,,,
2026-07-24,4068,4068,4068,4068,,,,
2026-07-27,4074.5,4074.5,4074.5,4074.5,,,,
2026-07-28,4036.3,4036.3,4036.3,4036.3,,,,
2026-07-29,4034.7,4034.7,4034.7,4034.7,,,,
2026-07-30,4100.1,4100.1,4100.1,4100.1,,,,
2026-07-31,4049.5,4049.5,4049.5,4049.5,,,,
2026-08-03,4051.1,4051.1,4051.1,4051.1,,,,
2026-08-04,4095.4,4095.4,4095.4,4095.4,,,,
2026-08-05,4245.8,4245.8,4245.8,4245.8,,,,
2026-08-06,4242,4242,4242,4242,,,,
