Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,265.53,267.36,263.02,264.80,,,,
2026-01-29,266.87,269.25,262.26,263.90,,,,
2026-01-30,261.89,266.01,260.36,261.63,,,,
2026-02-02,256.61,266.13,252.32,265.82,,,,
2026-02-03,259.81,259.81,248.33,248.86,,,,
2026-02-04,249.91,251.90,247.02,247.52,,,,
2026-02-05,245.79,250.29,243.41,248.36,,,,
2026-02-06,250.40,253.77,242.45,242.45,,,,
2026-02-09,235.18,235.42,224.65,230.04,,,,
2026-02-10,226.54,226.87,219.73,220.65,,,,
2026-02-12,220.69,221.14,217.30,218.05,,,,
2026-02-13,219.66,225.29,219.27,225.03,,,,
2026-02-16,224.22,228.81,223.72,228.59,,,,
2026-02-17,229.14,233.53,227.81,231.52,,,,
2026-02-18,228.56,228.56,224.57,225.92,,,,
2026-02-19,223.98,224.97,219.82,220.59,,,,
2026-02-20,224.52,226.63,224.43,225.13,,,,
2026-02-24,225.45,226.75,223.10,224.14,,,,
2026-02-25,222.57,224.36,217.64,219.75,,,,
2026-02-26,215.79,216.45,213.11,215.97,,,,
2026-02-27,216.45,216.45,210.18,210.31,,,,
2026-03-02,216.20,221.83,214.10,214.31,,,,
2026-03-03,218.34,229.05,216.88,228.15,,,,
2026-03-04,234.54,249.87,234.26,244.53,,,,
2026-03-05,236.22,238.17,225.36,235.48,,,,
2026-03-06,240.24,241.93,233.31,233.74,,,,
2026-03-09,242.20,261.98,242.20,251.69,,,,
2026-03-10,245.45,245.45,235.43,239.31,,,,
2026-03-11,233.66,235.00,229.07,234.38,,,,
2026-03-12,239.72,244.93,238.55,240.47,,,,
2026-03-13,246.96,248.17,240.76,243.16,,,,
2026-03-16,244.33,248.80,241.60,245.35,,,,
2026-03-17,240.30,244.66,237.30,242.80,,,,
2026-03-18,238.67,238.87,230.17,230.17,,,,
2026-03-19,237.54,244.16,237.08,244.16,,,,
2026-03-23,251.97,266.62,251.92,261.40,,,,
2026-03-24,252.72,255.70,247.91,250.32,,,,
2026-03-25,242.81,242.81,236.30,237.60,,,,
2026-03-26,236.27,242.35,234.23,238.22,,,,
2026-03-27,240.08,244.32,235.69,237.55,,,,
2026-03-30,250.24,260.07,250.24,251.19,,,,
2026-03-31,254.71,260.03,246.67,257.72,,,,
2026-04-01,249.22,249.83,233.13,233.13,,,,
2026-04-02,230.01,242.08,227.53,240.92,,,,
2026-04-03,236.78,238.22,233.84,236.20,,,,
2026-04-06,235.77,236.44,231.19,236.39,,,,
2026-04-07,234.78,237.57,231.24,235.49,,,,
2026-04-08,227.58,227.58,219.01,219.85,,,,
2026-04-09,219.81,224.07,218.53,223.59,,,,
2026-04-10,222.34,223.95,221.31,223.37,,,,
2026-04-13,226.05,227.35,222.07,225.60,,,,
2026-04-14,221.54,222.49,219.55,221.22,,,,
2026-04-15,217.95,220.42,216.88,219.76,,,,
2026-04-16,217.83,217.91,213.21,214.22,,,,
2026-04-17,216.06,220.39,216.02,220.39,,,,
2026-04-20,217.39,218.41,216.29,217.88,,,,
2026-04-21,217.88,218.32,215.79,217.79,,,,
2026-04-22,219.14,221.62,219.14,219.92,,,,
2026-04-23,221.06,227.00,219.39,223.09,,,,
