Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2012-10-02,371.18,371.81,367.85,369.33,,,,
2012-10-03,370.23,373.33,369.55,372.33,,,,
2012-10-04,373.2,376.33,373.2,375.55,,,,
2012-10-05,376.93,379.42,375.64,376.79,,,,
2012-10-08,375.46,376.88,374.87,375.74,,,,
2012-10-09,375.35,375.35,369.81,369.97,,,,
2012-10-10,370.55,371.05,367.01,367.47,,,,
2012-10-11,368.89,370.14,365.09,365.75,,,,
2012-10-12,365.72,367.94,365.1,365.78,,,,
2012-10-15,366.1,369.99,365.27,369.64,,,,
2012-10-16,370.58,373.22,370.58,372.76,,,,
2012-10-17,373.17,376.03,373.06,375,,,,
2012-10-18,374.78,377.17,373.48,375.06,,,,
2012-10-19,374.18,374.18,367.14,368.73,,,,
2012-10-22,368.06,368.7,364.82,367.21,,,,
2012-10-23,365.14,365.36,361.33,364.22,,,,
2012-10-24,364.76,365.45,362.29,362.71,,,,
2012-10-25,364.15,366.28,360.55,361.98,,,,
2012-10-26,362.81,363.89,359.41,363.05,,,,
2012-10-31,363.88,365.56,361.64,364.23,,,,
2012-11-01,365.39,369.14,365.22,368.82,,,,
2012-11-02,372.19,373.69,368.13,368.13,,,,
2012-11-05,367.67,369.77,366.41,369.24,,,,
2012-11-06,369.42,371.98,369.14,371.37,,,,
2012-11-07,369.34,369.81,364.16,366.8,,,,
2012-11-08,366.25,367.82,360.91,360.92,,,,
2012-11-09,359.89,362.29,357.62,359.5,,,,
2012-11-12,360.04,361.21,358.76,359.55,,,,
2012-11-13,358.59,363.59,358.31,360.41,,,,
2012-11-14,360.91,362.18,354.2,354.97,,,,
2012-11-15,355.1,356.95,353.36,354.7,,,,
2012-11-16,355.07,357.69,353.17,357.16,,,,
2012-11-19,359.7,364.8,359.7,364.8,,,,
2012-11-20,364.55,367.18,364.26,366.19,,,,
2012-11-21,366.81,368.42,366.09,367.93,,,,
2012-11-23,369.11,372.73,369.11,372.73,,,,
2012-11-26,372.03,372.03,369.22,371.03,,,,
2012-11-27,370.77,372.2,369.19,369.41,,,,
2012-11-28,368.67,374.25,366.82,374.12,,,,
2012-11-29,374.45,375.99,373.03,375.02,,,,
2012-11-30,374.88,375.83,372.85,375.15,,,,
2012-12-03,376.01,377.41,372.94,373.16,,,,
2012-12-04,373.03,373.1,369.82,371.76,,,,
2012-12-05,372.16,372.74,367.78,370.52,,,,
2012-12-06,370.05,372.83,369.56,372.66,,,,
2012-12-07,373.16,374.7,371.96,373.73,,,,
2012-12-10,373.47,373.84,371.39,371.67,,,,
2012-12-11,372.58,374.23,371.57,372.68,,,,
2012-12-12,373.25,375.45,372.48,373.03,,,,
2012-12-13,372.96,375.04,369.79,370.69,,,,
2012-12-14,370.33,370.72,368.64,369.13,,,,
2012-12-17,369.69,375.96,369.69,375.94,,,,
2012-12-18,376.32,381.12,376.19,380.13,,,,
2012-12-19,380.4,380.57,377.28,377.29,,,,
2012-12-20,377.38,378.38,375.53,378.36,,,,
2012-12-21,376.14,376.14,372.32,374.54,,,,
2012-12-24,374.14,375.55,374,375.26,,,,
2012-12-26,375.06,375.06,370.11,371.57,,,,
2012-12-27,371.67,372.94,366.68,371.96,,,,
2012-12-28,370.63,371.93,368.34,368.67,,,,
2012-12-31,367.91,376.15,367.42,376.06,,,,
2013-01-02,379.43,384.23,379.43,384.23,,,,
2013-01-03,384.43,387.17,383.97,385.02,,,,
2013-01-04,385.26,386.72,384.61,386.34,,,,
2013-01-07,385.98,385.98,383.45,385.28,,,,
2013-01-08,384.69,384.93,381.63,384.29,,,,
2013-01-09,384.81,386.79,384.39,384.96,,,,
2013-01-10,386.06,387.13,384.64,387.07,,,,
2013-01-11,387.2,387.98,386.19,387.63,,,,
2013-01-14,387.6,389.41,386.88,388.48,,,,
2013-01-15,387.55,391.48,387,391.15,,,,
2013-01-16,390.09,390.9,389.28,390.33,,,,
2013-01-17,391.07,395.45,391.07,394.52,,,,
2013-01-18,394.8,395.36,392.72,395.22,,,,
2013-01-22,395.29,396.18,393.87,396.08,,,,
2013-01-23,396.04,396.66,394.16,396.41,,,,
2013-01-24,397.08,401.39,397.08,399.27,,,,
2013-01-25,399.7,403.54,399.7,403.37,,,,
2013-01-28,403.3,403.73,400.94,401.53,,,,
2013-01-29,400.69,400.69,397.77,400.05,,,,
2013-01-30,401.47,401.47,398.72,399.35,,,,
2013-01-31,398.42,399.46,396.48,397.27,,,,
2013-02-01,398.77,401.1,398.77,399.62,,,,
2013-02-04,398.38,398.66,394.57,394.8,,,,
2013-02-05,395.5,400.25,395.5,399.09,,,,
2013-02-06,398.03,400.85,397.97,399.84,,,,
2013-02-07,399.49,400.16,394.99,398.74,,,,
2013-02-08,399.51,402.13,399.51,401.87,,,,
2013-02-11,401.78,401.78,399.87,400.66,,,,
2013-02-12,400.91,402.81,400.8,402.16,,,,
2013-02-13,404.88,405.48,401.83,403.02,,,,
2013-02-14,402.26,403.85,401.57,403.05,,,,
2013-02-15,402.9,405.31,401.47,403.53,,,,
2013-02-19,404.15,405.38,403.2,405.31,,,,
2013-02-20,405.42,405.76,398.84,398.97,,,,
2013-02-21,398.18,398.21,394.14,395.55,,,,
2013-02-22,396.24,397.84,394.69,397.84,,,,
2013-02-25,399.11,400.2,391.33,391.33,,,,
2013-02-26,392.24,396.06,391.94,395.16,,,,
2013-02-27,395.9,402.32,395.66,401.12,,,,
2013-02-28,400.86,404.08,400.53,401.16,,,,
2013-03-01,400.34,403.57,398.43,403.55,,,,
2013-03-04,402.82,407.4,402.37,407.38,,,,
2013-03-05,408.69,412.16,408.69,411.49,,,,
2013-03-06,412.21,413.76,410.7,411.16,,,,
2013-03-07,411.18,412.11,410.69,411.78,,,,
2013-03-08,412.72,416.79,412.55,416.31,,,,
2013-03-11,415.85,417.5,415.4,417.38,,,,
2013-03-12,417.09,417.44,414.58,415.94,,,,
2013-03-13,416.31,418.22,415.37,418.05,,,,
