Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2012-10-02,372.93,374.71,371.16,372.6,,,,
2012-10-03,373.09,375.23,371.98,373.77,,,,
2012-10-04,374.17,376.55,374.17,375.41,,,,
2012-10-05,375.82,377.55,375.69,376.75,,,,
2012-10-08,376.05,376.24,375.35,375.57,,,,
2012-10-09,375.49,375.83,372.13,372.21,,,,
2012-10-10,372.37,373.92,370.31,370.67,,,,
2012-10-11,371.01,372.25,369.48,369.48,,,,
2012-10-12,369.69,372.09,369.63,370.23,,,,
2012-10-15,370.5,372.62,369.86,372.29,,,,
2012-10-16,372.67,373.54,372.13,373.37,,,,
2012-10-17,373.64,375.56,373.64,374.21,,,,
2012-10-18,374.09,374.26,371.45,372.47,,,,
2012-10-19,372.4,372.45,367.32,367.83,,,,
2012-10-22,367.78,368.22,365.5,367.99,,,,
2012-10-23,366.99,366.99,362.03,363.1,,,,
2012-10-24,363.18,364.7,362.43,363.03,,,,
2012-10-25,364.67,366.62,363.89,365.2,,,,
2012-10-26,365.08,365.49,362.97,364.08,,,,
2012-10-31,364.59,366.99,363.18,364.96,,,,
2012-11-01,365.31,366.64,364.45,364.86,,,,
2012-11-02,365.69,366.37,362.42,362.68,,,,
2012-11-05,362.32,362.65,360.33,362.18,,,,
2012-11-06,362.34,365.65,362.32,364.56,,,,
2012-11-07,364.01,364.01,358.65,360.27,,,,
2012-11-08,359.63,361.18,356.43,356.44,,,,
2012-11-09,356.09,358.9,355.5,356.78,,,,
2012-11-12,356.65,357.38,355.92,356.43,,,,
2012-11-13,356.13,358.73,355.57,355.91,,,,
2012-11-14,356.04,356.72,351.57,352.39,,,,
2012-11-15,352.02,352.34,349.66,351.96,,,,
2012-11-16,351.95,354.63,350.95,354.12,,,,
2012-11-19,354.82,359.99,354.82,359.97,,,,
2012-11-20,360.03,360.13,359.05,359.76,,,,
2012-11-21,361.37,361.99,360.53,361.94,,,,
2012-11-23,362.25,367.24,362.25,367.24,,,,
2012-11-26,366.82,366.82,363.57,364.67,,,,
2012-11-27,364.73,366.46,363.98,364.15,,,,
2012-11-28,364.25,367.5,362.69,367.4,,,,
2012-11-29,367.67,369.65,367.07,368.94,,,,
2012-11-30,369.03,370.73,368.46,370.18,,,,
2012-12-03,370.42,370.9,368.71,368.9,,,,
2012-12-04,368.87,369.36,367.92,367.96,,,,
2012-12-05,368.09,369.94,366.61,368.21,,,,
2012-12-06,368.06,369.53,368.06,368.87,,,,
2012-12-07,369.2,371.23,369.2,371.2,,,,
2012-12-10,371.3,371.79,370.48,370.79,,,,
2012-12-11,371.15,373.81,370.53,371.15,,,,
2012-12-12,371.44,372.22,369.81,370.16,,,,
2012-12-13,370.23,371.46,368.84,369.39,,,,
2012-12-14,369.21,370.24,368.52,368.9,,,,
2012-12-17,368.9,370.49,368.55,369.58,,,,
2012-12-18,369.62,370.31,366.99,369.67,,,,
2012-12-19,369.77,369.77,365.83,365.83,,,,
2012-12-20,366.02,368.02,365.56,368.01,,,,
2012-12-21,367.56,367.56,362.25,364.31,,,,
2012-12-24,364.1,364.1,362.31,363.03,,,,
2012-12-26,362.97,363.17,359.34,360.04,,,,
2012-12-27,359.93,361.09,357.73,360.36,,,,
2012-12-28,359.85,360.16,356.69,356.83,,,,
2012-12-31,356.57,360.94,355.57,360.78,,,,
2013-01-02,361.94,370.29,361.94,370.28,,,,
2013-01-03,370.33,370.42,368.28,369.15,,,,
2013-01-04,369.26,370.74,368.89,370.35,,,,
2013-01-07,370.1,370.1,367,367.9,,,,
2013-01-08,367.69,367.69,366.38,367.03,,,,
2013-01-09,367.21,368.52,367.06,367.85,,,,
2013-01-10,368.05,370.24,368.05,370.24,,,,
2013-01-11,370.45,371.71,370.12,371.48,,,,
2013-01-14,371.59,373.12,371.45,372.76,,,,
2013-01-15,372.56,374.37,371.35,373.93,,,,
2013-01-16,373.79,373.79,372.31,373.31,,,,
2013-01-17,373.6,376.57,373.6,375.65,,,,
2013-01-18,375.61,377.09,374.7,377.07,,,,
2013-01-22,377.12,377.12,375.34,376.93,,,,
2013-01-23,376.92,376.92,375.92,376.82,,,,
2013-01-24,376.88,378.45,376.88,377.8,,,,
2013-01-25,377.98,379.97,377.98,379.71,,,,
2013-01-28,379.85,380.68,378.77,380.06,,,,
2013-01-29,379.9,382.74,379.56,382.27,,,,
2013-01-30,382.19,382.83,381.13,381.66,,,,
2013-01-31,381.59,382.36,380.97,381.12,,,,
2013-02-01,381.47,384.49,381.47,384.09,,,,
2013-02-04,383.75,383.75,380.3,380.63,,,,
2013-02-05,380.98,385.9,380.98,384.95,,,,
