Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2009-01-16,370.98,380.71,367.26,375.24,,,,
2009-03-24,394.58,401.55,299.05,357.64,,,,
2009-03-25,357.64,364.65,349.99,359.42,,,,
2009-03-26,359.42,366.7,357.52,362.7,,,,
2009-03-27,362.7,362.7,350.67,352.98,,,,
2009-03-30,352.98,352.98,336,341.35,,,,
2009-03-31,341.35,346.9,338.85,339.68,,,,
2009-04-01,339.68,347.78,332.22,346.4,,,,
2009-04-02,346.4,363.57,346.4,358.31,,,,
2009-04-03,358.31,365.82,355.51,363.48,,,,
2009-04-06,363.48,363.48,352.02,357.4,,,,
2009-04-07,357.4,357.4,345.34,347.59,,,,
2009-04-08,347.59,354.03,341.45,351.32,,,,
2009-04-09,351.32,360.76,351.32,359.2,,,,
2009-04-13,359.2,359.2,348.12,354.65,,,,
2009-04-14,354.65,357.05,348.63,352.53,,,,
2009-04-15,352.53,354.56,348.41,353.5,,,,
2009-04-16,353.5,356.7,348,354.14,,,,
2009-04-17,354.14,358.49,352.52,356.07,,,,
2009-04-20,356.07,356.07,339.86,340.49,,,,
2009-04-21,340.49,348.01,337.27,347.78,,,,
2009-04-22,347.78,349.39,342.04,342.9,,,,
2009-04-23,342.9,349.27,342.28,349.13,,,,
2009-04-24,349.13,360.62,349.13,358.37,,,,
2009-04-27,358.37,358.37,348.34,351.96,,,,
2009-04-28,351.96,357.9,347.71,353.8,,,,
2009-04-29,353.8,366.27,353.8,363.59,,,,
2009-04-30,363.59,365.57,351.91,356.03,,,,
2009-05-01,356.03,368.65,355.37,366.87,,,,
2009-05-04,366.87,378.2,366.87,377.66,,,,
2009-05-05,377.66,377.67,368.19,372.69,,,,
2009-05-06,372.69,387.43,372.69,386.14,,,,
2009-05-07,386.14,393.7,377.58,382.19,,,,
2009-05-08,382.19,400.82,382.19,398.04,,,,
2009-05-11,398.04,398.04,382.76,385.47,,,,
2009-05-12,385.47,391.66,382.42,389.75,,,,
2009-05-13,389.75,389.75,376.1,378.27,,,,
2009-05-14,378.27,382.1,373.17,379.42,,,,
2009-05-15,379.42,379.46,368.27,370.96,,,,
2009-05-18,370.96,382.89,370.96,382.42,,,,
2009-05-19,382.42,387.19,381.11,383.76,,,,
2009-05-20,383.76,394.05,382.86,383.8,,,,
2009-05-21,383.8,383.8,369.89,372.87,,,,
2009-05-22,372.87,379.7,372.87,373.69,,,,
2009-05-26,373.69,381.89,367.17,381.57,,,,
2009-05-27,381.57,386.96,375.67,376.47,,,,
2009-05-28,376.47,390.75,376.01,387.77,,,,
2009-05-29,387.77,394.88,387.77,392.21,,,,
2009-06-01,392.21,409.21,392.21,407.52,,,,
2009-06-02,407.52,409.38,403.78,407.69,,,,
2009-06-03,407.69,407.69,389.25,394.07,,,,
2009-06-04,394.07,403.1,394.07,401.98,,,,
2009-06-05,401.98,405.94,394.91,399.3,,,,
2009-06-08,399.3,401.92,391.99,399.3,,,,
2009-06-09,399.3,405.03,398.58,402.69,,,,
2009-06-10,402.69,409.58,399.41,405.58,,,,
2009-06-11,405.58,418.29,405.58,412.75,,,,
2009-06-12,412.75,412.75,404.26,408.76,,,,
2009-06-15,408.76,408.76,394.93,399.34,,,,
2009-06-16,399.34,403.96,390.98,391.47,,,,
2009-06-17,391.47,391.47,381.88,386.01,,,,
2009-06-18,386.01,390.15,383.6,385.37,,,,
2009-06-19,385.37,388.53,379.07,382.06,,,,
2009-06-22,382.06,382.06,364.32,364.46,,,,
2009-06-23,364.46,369.68,362.18,367.22,,,,
2009-06-24,367.22,373.77,365.73,367.32,,,,
2009-06-25,367.32,376.46,366.31,375.49,,,,
2009-06-26,375.49,375.49,370.75,371.78,,,,
2009-06-29,371.78,379.08,371.78,376.73,,,,
2009-06-30,376.73,380.27,368.47,373.84,,,,
2009-07-01,373.84,381.94,373.84,374.67,,,,
2009-07-02,374.67,374.67,360.18,361.26,,,,
2009-07-06,361.26,361.26,348.61,357.08,,,,
2009-07-07,357.08,357.08,347.81,348.31,,,,
2009-07-08,348.31,351.97,342.24,347.88,,,,
2009-07-09,347.88,355.59,347.88,351.63,,,,
2009-07-10,351.63,351.63,343.46,347.64,,,,
2009-07-13,347.64,353.36,342.19,353.23,,,,
2009-07-14,353.23,358.48,353.12,357.59,,,,
2009-07-15,357.59,370.48,357.59,370.06,,,,
2009-07-16,370.06,375.36,365.81,373.69,,,,
2009-07-17,373.69,376.9,370.02,375.08,,,,
2009-07-20,375.08,382.36,375.02,381.22,,,,
2009-07-21,381.22,386.53,379.02,385.34,,,,
2009-07-22,385.34,385.44,379.51,381.39,,,,
2009-07-23,381.39,393.2,380.9,392.44,,,,
2009-07-24,392.44,396.5,389.49,396.19,,,,
2009-07-27,396.19,399.44,393.13,397.45,,,,
2009-07-28,397.45,397.45,385,391.31,,,,
2009-07-29,391.31,391.31,378.89,383.22,,,,
2009-07-30,383.22,390.72,382.41,387.36,,,,
2009-07-31,387.36,391.45,382.38,389.92,,,,
2009-08-03,389.92,401.16,389.92,398.78,,,,
2009-08-04,398.78,399.45,394.04,397.94,,,,
2009-08-05,397.94,397.94,391.87,393.8,,,,
2009-08-06,393.8,394.78,388.36,390.8,,,,
2009-08-07,390.8,395.32,389,390.51,,,,
2009-08-10,390.51,393.5,388.67,391.49,,,,
2009-08-11,391.49,391.49,383.92,384.94,,,,
2009-08-12,384.94,392.67,384.85,389.84,,,,
2009-08-13,389.84,393.12,387.2,392.69,,,,
2009-08-14,392.69,392.69,383.81,387.28,,,,
2009-08-17,387.28,387.28,373.16,375.29,,,,
2009-08-18,375.29,379.77,374.68,378.62,,,,
2009-08-19,378.62,388.11,374.54,385.82,,,,
2009-08-20,385.82,389.77,385.82,389.24,,,,
2009-08-21,389.24,400.4,389.24,399.68,,,,
2009-08-24,399.68,407.29,399.68,404.91,,,,
2009-08-25,404.91,408.09,398.12,399.42,,,,
2009-08-26,399.42,402.2,394.78,401.55,,,,
2009-08-27,401.55,401.55,392.19,400.05,,,,
2009-08-28,400.05,403.07,396.89,398.61,,,,
2009-08-31,398.61,398.61,389.49,391.31,,,,
2009-09-01,391.31,395.05,384.33,385.13,,,,
2009-09-02,385.13,387.77,383.07,383.23,,,,
2009-09-03,383.23,386.85,382.56,384.81,,,,
2009-09-04,384.81,391.13,384.16,390.64,,,,
2009-09-08,390.64,401.98,390.64,400.71,,,,
2009-09-09,400.71,404.72,398.54,401.19,,,,
2009-09-10,401.19,407.51,400.27,407.19,,,,
2009-09-11,407.19,412.57,404.59,407.32,,,,
2009-09-14,407.32,409.85,402.25,409.52,,,,
2009-09-15,409.52,413.37,407.75,412.43,,,,
2009-09-16,412.43,421.95,412.43,421.72,,,,
2009-09-17,421.72,424.17,417.32,419.09,,,,
2009-09-18,419.09,422.36,415.56,418.9,,,,
2009-09-21,418.9,418.9,410.51,415.11,,,,
2009-09-22,415.11,421.9,415.11,420.86,,,,
2009-09-23,420.86,421.9,412.35,412.84,,,,
2009-09-24,412.84,413.16,404.53,407.32,,,,
2009-09-25,407.32,411.89,404.35,406.91,,,,
2009-09-28,406.91,414.8,406.91,413.82,,,,
2009-09-29,413.82,414.8,409.24,411.47,,,,
2009-09-30,411.47,413.68,404.39,409.31,,,,
2009-10-01,409.31,409.31,397.63,397.97,,,,
2009-10-02,397.97,398.11,391.53,395.32,,,,
2009-10-05,395.32,405.22,394.73,404.04,,,,
2009-10-06,404.04,415.28,404.04,412.65,,,,
2009-10-07,412.65,415.35,409.39,415.21,,,,
2009-10-08,415.21,425.84,415.21,424.61,,,,
2009-10-09,424.61,426.14,421.78,425.14,,,,
2009-10-12,425.14,432.86,425.14,430.39,,,,
2009-10-13,430.39,431.41,424.57,430.5,,,,
2009-10-14,430.5,438.61,430.5,438.34,,,,
2009-10-15,438.34,446.98,435.85,446.93,,,,
2009-10-16,446.93,447.99,442.43,446.72,,,,
2009-10-19,446.72,453.36,445.56,452.23,,,,
2009-10-20,452.23,452.89,442.73,448.37,,,,
2009-10-21,448.37,457,444.78,447.34,,,,
2009-10-22,447.34,451.72,440.81,450.75,,,,
2009-10-23,450.75,452.09,438.46,441.69,,,,
2009-10-26,441.69,451.28,434.56,435.23,,,,
2009-10-27,435.23,443.74,435.23,439.85,,,,
2009-10-28,439.85,439.85,426.58,427.15,,,,
2009-10-29,427.15,437.53,425.47,437.49,,,,
2009-10-30,437.49,437.49,418.46,422.22,,,,
2009-11-02,422.22,430.55,417.72,424.18,,,,
2009-11-03,424.18,430.89,417.71,428.84,,,,
2009-11-04,428.84,435.5,427.06,428.29,,,,
2009-11-05,428.29,436.25,428.29,435.18,,,,
2009-11-06,435.18,437.64,430,434.26,,,,
2009-11-09,434.26,441.7,434.26,440.95,,,,
2009-11-10,440.95,443.37,437.48,441.12,,,,
2009-11-11,441.12,446.57,439.17,441.36,,,,
2009-11-12,441.36,441.36,430.68,432.36,,,,
2009-11-13,432.36,438.5,429.67,435.31,,,,
2009-11-16,435.35,448.21,435.35,445.97,,,,
2009-11-17,445.97,446.93,442.91,445.81,,,,
2009-11-18,445.81,447.54,441.61,444.59,,,,
2009-11-19,444.59,444.59,433.09,435.4,,,,
2009-11-20,435.4,435.4,428.9,431.55,,,,
2009-11-23,431.55,443.92,431.55,438.4,,,,
2009-11-24,438.4,440.66,432.89,440.27,,,,
2009-11-25,440.27,444.99,437.78,444.57,,,,
2009-11-27,444.57,444.57,430.29,433.84,,,,
2009-11-30,433.84,437.44,430.68,434.25,,,,
2009-12-01,434.25,442.92,434.25,440.51,,,,
2009-12-02,440.51,441.45,435.21,437.18,,,,
2009-12-03,437.17,437.91,430.33,430.92,,,,
2009-12-04,430.92,439.54,424.81,427.47,,,,
2009-12-07,427.47,430.6,425.26,426.16,,,,
2009-12-08,426.16,426.16,416.67,418.75,,,,
2009-12-09,418.75,422.56,414.17,419.29,,,,
2009-12-10,419.29,424.76,419.29,422.97,,,,
2009-12-11,422.98,425.58,420.71,423.35,,,,
2009-12-14,423.35,427.78,420.61,424.07,,,,
2009-12-15,424.07,427.19,422.92,424.43,,,,
2009-12-16,424.43,431.11,424.43,426.43,,,,
2009-12-17,426.43,426.8,422.27,423.43,,,,
2009-12-18,423.43,428.19,422.39,424.6,,,,
2009-12-21,425.04,430.57,425.04,429.14,,,,
2009-12-22,429.14,432.57,429.14,431.06,,,,
2009-12-23,431.06,434.37,431.04,433.11,,,,
2009-12-24,433.11,435.79,433.11,435.2,,,,
2009-12-28,435.23,438.32,434.7,436.43,,,,
2009-12-29,436.53,438.06,432.95,433.48,,,,
2009-12-30,433.42,433.85,431.01,433.67,,,,
2009-12-31,433.67,435.17,429.77,429.95,,,,
2010-01-04,429.95,442.1,429.95,442.08,,,,
2010-01-05,442.08,445.69,440.68,445.6,,,,
2010-01-06,445.6,451.17,444.49,450.2,,,,
2010-01-07,450.18,450.18,445.14,449.2,,,,
2010-01-08,449.18,451.47,446.21,451.47,,,,
2010-01-11,451.5,455.52,448.55,451.99,,,,
2010-01-12,451.99,451.99,443.73,445.74,,,,
2010-01-13,445.74,448.49,440.21,447.49,,,,
2010-01-14,447.48,448.89,445.36,448.26,,,,
2010-01-15,448.26,448.37,441.75,444.78,,,,
2010-01-19,444.77,448.84,442.52,448.58,,,,
2010-01-20,448.58,448.58,438.07,440.79,,,,
2010-01-21,440.77,442.21,431.17,432,,,,
2010-01-22,432,432.88,422.05,422.56,,,,
2010-01-25,422.56,429.08,422.56,425.17,,,,
2010-01-26,425.17,429.52,420.46,423.12,,,,
2010-01-27,423.12,424.98,415.11,420.67,,,,
2010-01-28,420.73,424.21,411.82,416.41,,,,
2010-01-29,416.41,423.28,408.11,410.57,,,,
2010-02-01,410.59,423.09,410.59,422.67,,,,
2010-02-02,422.71,429.16,421.76,428.65,,,,
2010-02-03,428.65,430.51,424.12,425.41,,,,
2010-02-04,425.45,425.45,408.34,408.83,,,,
2010-02-05,408.83,409.87,397.63,408.35,,,,
2010-02-08,408.35,412.75,404.49,404.65,,,,
2010-02-09,404.65,417.09,404.65,412.73,,,,
2010-02-10,412.57,412.71,404.81,410.57,,,,
2010-02-11,410.44,417.52,407.97,417.06,,,,
2010-02-12,417.04,417.04,408.89,414.74,,,,
2010-02-16,414.74,426.61,414.74,425.77,,,,
2010-02-17,425.77,427.2,422.07,424.3,,,,
2010-02-18,424.27,427.23,421.59,426.43,,,,
2010-02-19,426.43,428.84,423.01,427.13,,,,
2010-02-22,427.13,427.15,420.71,421.51,,,,
2010-02-23,421.51,421.51,413.74,415.17,,,,
2010-02-24,415.17,419.5,414.55,418.37,,,,
2010-02-25,418.37,418.37,409.36,417.62,,,,
2010-02-26,417.62,419.91,415.38,418.27,,,,
2010-03-01,418.27,422.99,418.27,422.25,,,,
2010-03-02,422.25,427.96,422.25,425.58,,,,
2010-03-03,425.58,429.93,425.58,426.39,,,,
2010-03-04,426.42,428.02,422.76,424.77,,,,
2010-03-05,424.77,432.8,424.77,432.46,,,,
2010-03-08,432.46,434.25,429.91,431.77,,,,
2010-03-09,429.75,434.4,429.75,432.04,,,,
2010-03-10,432.04,435.76,430.53,434.77,,,,
2010-03-11,434.77,435.19,432.67,434.7,,,,
2010-03-12,434.7,436.56,432.61,434.42,,,,
2010-03-15,434.42,434.42,426.27,430.27,,,,
2010-03-16,430.32,434.33,429.28,433.96,,,,
2010-03-17,433.96,441.29,433.96,438.74,,,,
2010-03-18,438.67,439.38,431.17,433.63,,,,
2010-03-19,433.63,434.78,425.47,429.54,,,,
2010-03-22,429.54,429.81,422.71,428.2,,,,
2010-03-23,428.2,429.77,426.26,429.62,,,,
2010-03-24,429.62,430.32,425.97,426.79,,,,
2010-03-25,426.79,430.29,420.15,420.45,,,,
