Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2011-05-31,411.53,416.38,411.53,416.37,,,,
2011-06-01,416.37,416.37,410.57,410.66,,,,
2011-06-02,410.62,410.85,408.18,409.8,,,,
2011-06-03,409.55,409.55,405.29,405.94,,,,
2011-06-06,405.94,405.94,402.94,403.39,,,,
2011-06-07,403.41,407.39,403.41,404.33,,,,
2011-06-08,404.32,405.16,402.86,404.59,,,,
2011-06-09,404.59,410.72,404.59,408.54,,,,
2011-06-10,408.53,408.53,401.08,401.29,,,,
2011-06-13,401.29,404.75,401.25,402.8,,,,
2011-06-14,402.85,407.89,402.85,406.41,,,,
2011-06-15,406.41,406.41,400.08,401.01,,,,
2011-06-16,400.99,402.63,399.14,401.61,,,,
2011-06-17,401.65,405.91,401.33,402.49,,,,
2011-06-20,402.49,406.96,402.03,406.62,,,,
2011-06-21,406.62,409.98,406.62,409.1,,,,
2011-06-22,409.04,409.51,406.5,406.58,,,,
2011-06-23,406.54,406.54,401.01,406.25,,,,
2011-06-24,406.2,406.2,400.82,401.23,,,,
2011-06-27,401.17,404.61,400.02,403.47,,,,
2011-06-28,403.52,410.12,403.52,409.34,,,,
2011-06-29,409.34,410.55,408.75,409.55,,,,
2011-06-30,409.64,412.11,409.64,410.93,,,,
2011-07-01,411.05,416.25,410.89,416.15,,,,
2011-07-05,416.06,416.06,413.56,414.85,,,,
2011-07-06,414.88,416.57,414.33,415.97,,,,
2011-07-07,416.14,417.32,414.16,415.68,,,,
2011-07-08,415.68,415.68,411.59,414,,,,
2011-07-11,413.79,413.79,407.39,408.18,,,,
2011-07-12,408.18,412.2,407.6,408.39,,,,
2011-07-13,408.42,413.61,408.42,409.53,,,,
2011-07-14,409.53,411.85,408.06,409.07,,,,
2011-07-15,409.07,409.71,404.97,407.11,,,,
2011-07-18,407.05,407.05,401.05,403.88,,,,
2011-07-19,403.88,408.29,403.88,407.56,,,,
2011-07-20,407.53,407.96,404.69,406.12,,,,
2011-07-21,406.77,413.81,406.77,412.19,,,,
2011-07-22,412.1,412.35,409.83,411.6,,,,
2011-07-25,411.59,411.59,406.94,407.19,,,,
2011-07-26,407.19,407.33,403.62,403.93,,,,
2011-07-27,403.93,403.93,396.62,396.96,,,,
2011-07-28,396.98,400.95,396.15,396.39,,,,
2011-07-29,396.39,397.21,390.89,394.71,,,,
2011-08-01,394.99,397.66,383.95,387.95,,,,
2011-08-02,387.95,387.95,378.98,379.01,,,,
2011-08-03,379.07,379.65,372.06,379.44,,,,
2011-08-04,378.87,378.87,364.83,364.92,,,,
2011-08-05,364.97,372.72,358.79,367.78,,,,
2011-08-08,367.78,367.78,348.46,348.46,,,,
2011-08-09,348.46,361.69,342.59,361.56,,,,
2011-08-10,361.11,361.11,345.53,346.38,,,,
2011-08-11,346.38,366.33,346.38,362.54,,,,
2011-08-15,365.39,372.24,365.39,372.08,,,,
2011-08-16,371.94,373.46,367.16,371.15,,,,
2011-08-17,371.15,375.57,368.32,371.37,,,,
2011-08-18,371.32,371.32,356.24,358.96,,,,
2011-08-19,358.96,363.26,356.62,357.96,,,,
2011-08-22,358.08,363.74,357.65,358.48,,,,
2011-08-23,358.49,369.98,358.49,369.76,,,,
2011-08-24,369.65,374.21,367.99,374.04,,,,
2011-08-25,374.17,374.36,366.45,367.62,,,,
2011-08-26,367.53,372.92,358.43,371.9,,,,
2011-08-29,372.02,381.49,372.02,381.44,,,,
2011-08-30,381.34,384.73,377.27,382.8,,,,
2011-08-31,382.8,387.77,382.27,385.31,,,,
2011-09-01,385.39,389.18,382.12,382.45,,,,
2011-09-02,382.45,382.45,373.61,373.98,,,,
2011-09-06,373.98,375.46,365.24,374.92,,,,
2011-09-07,375.29,384.01,375.29,384.01,,,,
2011-09-08,383.71,385.27,379.23,379.7,,,,
2011-09-09,379.52,379.52,366.98,368.58,,,,
2011-09-12,368.46,370.15,363.13,369.94,,,,
2011-09-13,370,374.07,368.5,373.29,,,,
2011-09-14,373.29,381.05,369.57,376.82,,,,
2011-09-15,377.06,380.49,374.47,380.39,,,,
2011-09-16,380.39,383.23,378.87,382.17,,,,
2011-09-19,382.04,382.04,375.75,378.75,,,,
2011-09-20,378.91,386.31,378.3,382.1,,,,
2011-09-21,382.05,383.03,372.09,372.23,,,,
2011-09-22,372.23,372.23,360.2,364.34,,,,
2011-09-23,364.07,366.48,361.27,365.03,,,,
2011-09-26,365.03,371.04,363.37,370.78,,,,
2011-09-27,370.78,380.72,370.78,376.19,,,,
2011-09-28,376.19,378.08,369.37,369.7,,,,
2011-09-29,369.7,377.13,367.03,372.47,,,,
2011-09-30,372.47,374.51,367.66,367.73,,,,
2011-10-03,367.54,369.83,355.94,356.1,,,,
2011-10-04,355.67,359.78,349.11,359.6,,,,
2011-10-05,359.75,365.62,358.88,365.39,,,,
2011-10-06,365.39,369.4,363.59,369.29,,,,
2011-10-07,369.29,372.07,368.21,368.81,,,,
2011-10-10,369.1,378.28,369.1,378.06,,,,
2011-10-11,378.03,378.03,375.4,376.71,,,,
2011-10-12,376.86,380.76,376.86,377.37,,,,
2011-10-13,377.27,378.14,373.88,377.14,,,,
2011-10-14,377.35,380.48,377.35,380.46,,,,
2011-10-17,380.42,380.42,373.38,374.04,,,,
2011-10-18,374.09,379.4,370.25,376.99,,,,
2011-10-19,377.02,380.5,374.34,375.75,,,,
2011-10-20,376.45,377.68,371.51,376.06,,,,
2011-10-21,376.06,383.47,376.06,383.09,,,,
2011-10-24,383.17,388.84,382.93,388.42,,,,
2011-10-25,388.42,388.42,380.07,380.76,,,,
2011-10-26,381.05,387.3,381.05,386.24,,,,
2011-10-27,386.74,396.3,386.74,394.82,,,,
2011-10-28,394.8,396.94,393.8,395.99,,,,
2011-10-31,395.97,395.97,388.28,388.33,,,,
2011-11-01,387.99,387.99,380.13,380.63,,,,
