Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2012-10-02,495.18,496.4,489.95,494.02,,,,
2012-10-03,495.36,497.18,493.5,496.28,,,,
2012-10-04,496.8,498.12,493.69,496.88,,,,
2012-10-05,498.08,499.52,492.54,493.54,,,,
2012-10-08,489.01,491.72,487.55,488.28,,,,
2012-10-09,487.76,487.76,480.11,481.78,,,,
2012-10-10,481.85,483.02,478.98,479.84,,,,
2012-10-11,482.85,483.99,478.44,478.45,,,,
2012-10-12,478.45,481.64,477.77,479.18,,,,
2012-10-15,480.47,482.83,477.77,482.41,,,,
2012-10-16,482.8,490.34,482.8,490.02,,,,
2012-10-17,487.36,488.16,483.97,486.09,,,,
2012-10-18,484.7,485.28,476.98,478.67,,,,
2012-10-19,478.22,478.25,467.56,467.56,,,,
2012-10-22,468.03,472.7,467.12,472,,,,
2012-10-23,469.1,471.19,465.71,466.07,,,,
2012-10-24,468.8,469.67,462.5,463.23,,,,
2012-10-25,465.81,466.97,460.79,462.52,,,,
2012-10-26,462.31,465.29,458.69,463.27,,,,
2012-10-31,462.59,463.69,459.73,460.85,,,,
2012-11-01,462.82,469.6,462.32,469.19,,,,
2012-11-02,470.27,470.27,461.91,462.21,,,,
2012-11-05,463.12,466.33,461.83,465.05,,,,
2012-11-06,466.81,471.23,466.64,467.99,,,,
2012-11-07,463.57,463.57,453.97,454.77,,,,
2012-11-08,456.88,458.13,448.24,448.24,,,,
2012-11-09,448.9,455.34,448.36,450.85,,,,
2012-11-12,452.33,452.5,447.5,449.28,,,,
2012-11-13,445.28,450.09,443.78,445.77,,,,
2012-11-14,448.79,449.41,440.9,441.4,,,,
2012-11-15,442.2,443.48,437.88,439.47,,,,
2012-11-16,439.21,442.06,432.79,440.86,,,,
2012-11-19,445.19,453.41,445.19,453.28,,,,
2012-11-20,453.18,453.18,449.47,450.17,,,,
2012-11-21,450.96,453,450.22,452.27,,,,
2012-11-23,454.8,459.66,454.6,459.66,,,,
2012-11-26,459.32,462.63,457.62,462.62,,,,
