Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-11,67.15,67.15,67.15,67.15,,,,
2026-06-15,70.066,70.066,70.066,70.066,,,,
2026-06-16,69.899,69.899,69.899,69.899,,,,
2026-06-17,70.696,70.696,70.696,70.696,,,,
2026-06-18,66.255,66.255,66.255,66.255,,,,
2026-06-19,66.255,66.255,66.255,66.255,,,,
2026-06-22,65.527,65.527,65.527,65.527,,,,
2026-06-23,62.02,62.02,62.02,62.02,,,,
2026-06-24,58.052,58.052,58.052,58.052,,,,
2026-06-25,58.348,58.348,58.348,58.348,,,,
2026-06-26,59.19,59.19,59.19,59.19,,,,
2026-06-29,58.375,58.375,58.375,58.375,,,,
2026-06-30,58.845,58.845,58.845,58.845,,,,
2026-07-01,59.465,59.465,59.465,59.465,,,,
2026-07-02,60.643,60.643,60.643,60.643,,,,
2026-07-03,62.4,62.4,62.4,62.4,,,,
2026-07-06,61.92,61.92,61.92,61.92,,,,
2026-07-07,60.931,60.931,60.931,60.931,,,,
2026-07-08,58.164,58.164,58.164,58.164,,,,
2026-07-09,59.98,59.98,59.98,59.98,,,,
2026-07-10,59.845,59.845,59.845,59.845,,,,
2026-07-13,57.635,57.635,57.635,57.635,,,,
2026-07-14,58.772,58.772,58.772,58.772,,,,
2026-07-15,57.11,57.11,57.11,57.11,,,,
2026-07-16,55.55,55.55,55.55,55.55,,,,
2026-07-17,55.015,55.015,55.015,55.015,,,,
2026-07-20,56.802,56.802,56.802,56.802,,,,
2026-07-21,58.835,58.835,58.835,58.835,,,,
2026-07-22,60.019,60.019,60.019,60.019,,,,
2026-07-23,57.798,57.798,57.798,57.798,,,,
2026-07-24,57.798,57.798,57.798,57.798,,,,
2026-07-27,58.472,58.472,58.472,58.472,,,,
2026-07-28,57.296,57.296,57.296,57.296,,,,
2026-07-29,57.863,57.863,57.863,57.863,,,,
2026-07-30,58.815,58.815,58.815,58.815,,,,
2026-07-31,57.465,57.465,57.465,57.465,,,,
2026-08-03,58.1,58.1,58.1,58.1,,,,
2026-08-04,60.056,60.056,60.056,60.056,,,,
2026-08-05,62.099,62.099,62.099,62.099,,,,
2026-08-06,61.439,61.439,61.439,61.439,,,,
2026-08-07,63.51,63.51,63.51,63.51,,,,
2026-08-10,65.106,65.106,65.106,65.106,,,,
2026-08-11,64.769,64.769,64.769,64.769,,,,
2026-08-12,65.555,65.555,65.555,65.555,,,,
2026-08-13,64.873,64.873,64.873,64.873,,,,
2026-08-14,64.873,64.873,64.873,64.873,,,,
2026-08-17,66.121,66.121,66.121,66.121,,,,
2026-08-18,63.941,63.941,63.941,63.941,,,,
2026-08-19,65.734,65.734,65.734,65.734,,,,
2026-08-20,68.095,68.095,68.095,68.095,,,,
