Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-11,1114,1114,1114,1114,,,,
2026-06-15,1119.25,1119.25,1119.25,1119.25,,,,
2026-06-16,1130,1130,1130,1130,,,,
2026-06-17,1132,1132,1132,1132,,,,
2026-06-18,1122,1122,1122,1122,,,,
2026-06-19,1122,1122,1122,1122,,,,
2026-06-22,1115.75,1115.75,1115.75,1115.75,,,,
2026-06-23,1117,1117,1117,1117,,,,
2026-06-24,1108.75,1108.75,1108.75,1108.75,,,,
2026-06-25,1127.5,1127.5,1127.5,1127.5,,,,
2026-06-26,1124,1124,1124,1124,,,,
2026-06-29,1108.75,1108.75,1108.75,1108.75,,,,
2026-06-30,1116.75,1116.75,1116.75,1116.75,,,,
2026-07-01,1126.25,1126.25,1126.25,1126.25,,,,
2026-07-02,1131.75,1131.75,1131.75,1131.75,,,,
2026-07-03,1131.75,1131.75,1131.75,1131.75,,,,
2026-07-06,1182.25,1182.25,1182.25,1182.25,,,,
2026-07-07,1196.75,1196.75,1196.75,1196.75,,,,
2026-07-08,1195,1195,1195,1195,,,,
2026-07-09,1179.75,1179.75,1179.75,1179.75,,,,
2026-07-10,1197.5,1197.5,1197.5,1197.5,,,,
2026-07-13,1202,1202,1202,1202,,,,
2026-07-14,1207.25,1207.25,1207.25,1207.25,,,,
2026-07-15,1202.25,1202.25,1202.25,1202.25,,,,
2026-07-16,1195,1195,1195,1195,,,,
2026-07-17,1204,1204,1204,1204,,,,
2026-07-20,1226,1226,1226,1226,,,,
2026-07-21,1219.5,1219.5,1219.5,1219.5,,,,
2026-07-22,1233,1233,1233,1233,,,,
2026-07-23,1237.5,1237.5,1237.5,1237.5,,,,
2026-07-24,1246.75,1246.75,1246.75,1246.75,,,,
2026-07-27,1208.5,1208.5,1208.5,1208.5,,,,
2026-07-28,1212,1212,1212,1212,,,,
2026-07-29,1178,1178,1178,1178,,,,
2026-07-30,1177.25,1177.25,1177.25,1177.25,,,,
2026-07-31,1170.75,1170.75,1170.75,1170.75,,,,
2026-08-03,1168.75,1168.75,1168.75,1168.75,,,,
2026-08-04,1155,1155,1155,1155,,,,
2026-08-05,1151.5,1151.5,1151.5,1151.5,,,,
2026-08-06,1157.25,1157.25,1157.25,1157.25,,,,
2026-08-07,1160,1160,1160,1160,,,,
2026-08-10,1157.75,1157.75,1157.75,1157.75,,,,
