Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,4029.66,4051.87,4015.70,4039.02,,,,
2026-01-29,4024.07,4036.04,4001.81,4023.63,,,,2026-01-30,4035.01,4044.86,3997.40,4035.25,,,,
2026-02-02,4060.70,4104.05,4000.40,4003.86,,,,
2026-02-03,4049.02,4129.29,4049.02,4122.75,,,,
2026-02-04,4093.50,4093.50,4042.25,4064.35,,,,
2026-02-05,4061.09,4076.32,4025.77,4044.08,,,,
2026-02-06,4033.65,4087.50,3995.72,4087.50,,,,
2026-02-09,4147.38,4257.77,4144.76,4216.31,,,,
2026-02-10,4253.92,4312.67,4252.89,4296.10,,,,
2026-02-12,4293.97,4313.25,4280.81,4290.98,,,,
2026-02-13,4274.26,4277.56,4209.31,4214.28,,,,
2026-02-16,4226.68,4232.11,4196.46,4203.70,,,,
2026-02-17,4193.22,4196.30,4137.28,4162.15,,,,
2026-02-18,4179.36,4217.62,4179.36,4206.42,,,,
2026-02-19,4229.27,4255.33,4221.61,4243.51,,,,
2026-02-20,4213.32,4219.13,4196.05,4209.73,,,,
