Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,4270.71,4284.21,4252.75,4265.93,,,,
2026-01-29,4254.26,4318.90,4232.61,4304.80,,,,2026-01-30,4328.73,4352.84,4309.99,4343.67,,,,
2026-02-02,4395.15,4422.21,4301.15,4303.28,,,,
2026-02-03,4357.08,4453.70,4357.08,4447.63,,,,
2026-02-04,4458.01,4529.93,4442.70,4523.90,,,,
2026-02-05,4556.60,4580.34,4508.25,4530.66,,,,
2026-02-06,4507.86,4601.84,4484.19,4601.84,,,,
2026-02-09,4674.78,4741.27,4667.56,4675.95,,,,
2026-02-10,4706.97,4776.18,4702.13,4765.96,,,,
2026-02-12,4765.46,4833.12,4756.81,4826.62,,,,
2026-02-13,4808.26,4813.94,4755.02,4758.27,,,,
2026-02-16,4752.56,4759.53,4685.83,4686.86,,,,
2026-02-17,4684.93,4712.75,4652.77,4664.82,,,,
2026-02-18,4704.25,4743.55,4702.10,4727.93,,,,
2026-02-19,4743.11,4804.74,4732.09,4797.12,,,,
2026-02-20,4741.80,4741.80,4707.48,4726.15,,,,
2026-02-24,4716.73,4738.32,4689.95,4728.04,,,,
2026-02-25,4729.82,4752.03,4692.51,4728.24,,,,
2026-02-26,4777.02,4807.36,4768.21,4773.40,,,,
2026-02-27,4763.47,4854.69,4763.01,4854.38,,,,
2026-03-02,4780.75,4799.87,4685.72,4799.87,,,,
2026-03-03,4748.97,4767.14,4630.88,4641.19,,,,
2026-03-04,4565.30,4565.30,4386.74,4442.42,,,,
2026-03-05,4521.47,4622.78,4506.27,4529.74,,,,
2026-03-06,4477.82,4546.91,4463.10,4541.65,,,,
2026-03-09,4457.76,4457.82,4275.59,4374.70,,,,
2026-03-10,4430.81,4513.78,4430.81,4478.46,,,,
2026-03-11,4534.25,4569.37,4511.82,4515.77,,,,
2026-03-12,4471.06,4471.74,4393.79,4439.08,,,,
2026-03-13,4375.13,4437.44,4369.81,4408.15,,,,
2026-03-16,4389.51,4415.57,4354.61,4379.08,,,,
2026-03-17,4426.64,4459.53,4395.89,4415.35,,,,
2026-03-18,4459.54,4538.13,4459.05,4536.99,,,,
2026-03-19,4463.23,4467.58,4401.38,4401.39,,,,
2026-03-23,4327.17,4327.17,4199.84,4250.39,,,,
2026-03-24,4323.80,4365.06,4311.76,4355.39,,,,
2026-03-25,4431.65,4487.53,4431.65,4473.52,,,,
2026-03-26,4493.06,4507.85,4434.21,4476.26,,,,
2026-03-27,4461.31,4511.27,4430.56,4495.60,,,,
2026-03-30,4359.51,4360.10,4272.47,4355.30,,,,
2026-03-31,4322.69,4408.46,4286.47,4305.79,,,,
2026-04-01,4379.00,4521.81,4374.80,4521.81,,,,
