Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,2924.46,2934.41,2911.97,2924.26,,,,
2026-01-29,2913.53,2935.40,2898.27,2926.87,,,,2026-01-30,2938.84,2949.07,2916.19,2942.08,,,,
2026-02-02,2966.59,2994.51,2921.86,2924.84,,,,
2026-02-03,2955.25,3010.73,2955.25,3007.13,,,,
2026-02-04,3000.88,3009.70,2984.96,3005.82,,,,
2026-02-05,3015.32,3028.73,2992.29,3002.52,,,,
2026-02-06,2993.82,3035.22,2972.54,3035.22,,,,
2026-02-09,3079.37,3143.48,3077.27,3107.84,,,,
2026-02-10,3128.68,3170.19,3126.71,3163.43,,,,
2026-02-12,3165.70,3186.27,3163.18,3182.04,,,,
2026-02-13,3173.58,3175.87,3126.05,3131.64,,,,
2026-02-16,3139.27,3142.65,3113.65,3116.54,,,,
2026-02-17,3112.71,3119.50,3084.37,3100.79,,,,
2026-02-18,3114.65,3141.22,3114.65,3133.12,,,,
2026-02-19,3143.83,3169.43,3137.30,3163.79,,,,
2026-02-20,3137.94,3138.79,3120.66,3131.07,,,,
2026-02-24,3135.46,3158.60,3130.19,3151.19,,,,
2026-02-25,3165.83,3201.57,3155.28,3186.95,,,,
2026-02-26,3210.73,3228.81,3203.74,3206.92,,,,
2026-02-27,3203.84,3253.00,3203.84,3253.00,,,,
2026-03-02,3208.70,3237.91,3176.64,3237.91,,,,
2026-03-03,3207.52,3217.03,3122.82,3130.27,,,,
2026-03-04,3088.99,3090.56,2989.37,3023.75,,,,
2026-03-05,3074.91,3133.92,3054.60,3068.75,,,,
2026-03-06,3039.62,3083.59,3027.79,3079.89,,,,
2026-03-09,3024.10,3024.10,2898.26,2964.27,,,,
2026-03-10,3000.80,3058.30,3000.80,3036.47,,,,
2026-03-11,3072.62,3106.08,3069.87,3074.29,,,,
2026-03-12,3040.63,3052.48,3013.24,3040.12,,,,
2026-03-13,2999.52,3037.37,2991.59,3020.44,,,,
2026-03-16,3014.81,3030.16,2985.01,3006.36,,,,
2026-03-17,3035.39,3051.77,3007.38,3017.63,,,,
2026-03-18,3037.89,3091.34,3037.52,3091.34,,,,
2026-03-19,3043.34,3046.61,2997.27,2997.52,,,,
