Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,6000.29,6001.45,5949.75,5968.56,,,,
2026-01-29,5955.62,6003.34,5912.32,5987.73,,,,2026-01-30,6004.91,6029.80,5975.56,6019.06,,,,
2026-02-02,6056.63,6106.38,5976.99,5976.99,,,,
2026-02-03,6025.91,6128.10,6025.91,6124.85,,,,
2026-02-04,6137.52,6226.07,6126.87,6209.34,,,,
2026-02-05,6257.86,6292.97,6236.22,6256.68,,,,
2026-02-06,6239.40,6304.62,6209.15,6304.62,,,,
2026-02-09,6393.40,6438.22,6370.40,6425.11,,,,
2026-02-10,6452.71,6530.75,6452.71,6527.62,,,,
2026-02-12,6539.69,6676.35,6539.69,6666.86,,,,
2026-02-13,6646.12,6651.59,6491.38,6509.90,,,,
2026-02-16,6525.69,6534.79,6484.00,6529.10,,,,
2026-02-17,6509.62,6566.63,6488.24,6499.15,,,,
2026-02-18,6540.05,6582.55,6536.73,6573.44,,,,
2026-02-19,6583.10,6644.41,6559.46,6641.22,,,,
2026-02-20,6581.27,6605.37,6554.48,6581.35,,,,
2026-02-24,6602.57,6675.11,6549.65,6657.79,,,,
2026-02-25,6663.88,6689.47,6620.88,6661.49,,,,
2026-02-26,6693.19,6711.00,6655.64,6664.16,,,,
2026-02-27,6672.87,6838.78,6667.06,6837.56,,,,
2026-03-02,6731.71,6781.99,6645.57,6765.00,,,,
2026-03-03,6700.83,6763.39,6563.88,6572.71,,,,
2026-03-04,6462.30,6462.30,6160.10,6255.97,,,,
2026-03-05,6367.15,6547.44,6367.15,6473.27,,,,
2026-03-06,6387.19,6458.63,6340.63,6446.85,,,,
2026-03-09,6320.68,6320.68,6057.47,6196.09,,,,
2026-03-10,6278.80,6410.80,6278.80,6369.13,,,,
2026-03-11,6438.11,6500.52,6426.59,6426.59,,,,
2026-03-12,6371.99,6372.08,6253.12,6271.36,,,,
2026-03-13,6202.13,6297.30,6200.01,6255.01,,,,
2026-03-16,6240.89,6287.26,6207.70,6250.06,,,,
2026-03-17,6308.22,6356.29,6252.18,6264.09,,,,
2026-03-18,6327.33,6432.14,6325.06,6432.14,,,,
2026-03-19,6340.17,6340.17,6223.26,6224.66,,,,
2026-03-23,6123.51,6123.51,5954.10,6005.62,,,,
2026-03-24,6109.63,6186.53,6107.79,6159.20,,,,
2026-03-25,6256.28,6336.92,6256.28,6322.41,,,,
2026-03-26,6336.87,6344.49,6226.45,6291.76,,,,
2026-03-27,6269.15,6339.31,6234.15,6322.99,,,,
2026-03-30,6115.91,6146.68,6001.24,6139.69,,,,
2026-03-31,6089.15,6197.40,6061.46,6089.38,,,,
2026-04-01,6193.10,6352.44,6189.80,6352.44,,,,
2026-04-02,6378.98,6441.13,6264.13,6274.24,,,,
2026-04-03,6314.84,6348.19,6299.93,6320.27,,,,
2026-04-06,6333.12,6378.35,6333.12,6344.15,,,,
2026-04-07,6376.61,6422.86,6340.99,6383.11,,,,
2026-04-08,6486.57,6550.28,6486.11,6537.59,,,,
2026-04-09,6550.57,6587.68,6501.20,6501.20,,,,
2026-04-10,6549.27,6597.70,6503.53,6512.27,,,,
2026-04-13,6492.54,6559.56,6468.48,6508.03,,,,
2026-04-14,6558.74,6570.10,6524.72,6544.99,,,,
2026-04-15,6603.17,6634.64,6525.29,6544.11,,,,
2026-04-16,6577.11,6610.12,6576.95,6589.06,,,,
2026-04-17,6573.74,6594.44,6530.02,6542.82,,,,
2026-04-20,6575.86,6577.60,6520.56,6521.64,,,,
2026-04-21,6549.51,6554.48,6467.56,6467.56,,,,
2026-04-22,6455.54,6458.70,6350.10,6362.07,,,,
2026-04-23,6335.48,6350.14,6257.48,6318.69,,,,
2026-04-24,6336.96,6352.25,6271.48,6317.43,,,,
2026-04-27,6290.65,6337.58,6235.30,6301.62,,,,
2026-04-28,6325.50,6449.64,6315.84,6449.64,,,,
2026-04-30,6381.90,6415.97,6346.13,6389.97,,,,
2026-05-01,6379.47,6394.67,6311.20,6379.81,,,,
2026-05-07,6459.12,6574.07,6459.12,6532.52,,,,
2026-05-08,6489.21,6511.58,6410.65,6508.51,,,,
2026-05-11,6526.55,6565.86,6508.83,6533.10,,,,
2026-05-12,6571.21,6615.56,6519.48,6529.63,,,,
2026-05-13,6527.96,6603.86,6524.96,6576.24,,,,
2026-05-14,6580.88,6615.75,6565.04,6587.96,,,,
2026-05-15,6604.82,6663.80,6521.76,6582.35,,,,
2026-05-18,6573.57,6573.57,6493.28,6512.70,,,,
2026-05-19,6574.22,6596.31,6501.95,6548.30,,,,
2026-05-20,6526.25,6529.91,6394.99,6450.11,,,,
2026-05-21,6523.30,6579.38,6520.45,6534.71,,,,
2026-05-22,6572.26,6599.80,6556.75,6576.07,,,,
2026-05-25,6609.38,6669.61,6589.75,6629.59,,,,
2026-05-27,6640.60,6660.46,6579.30,6586.50,,,,
2026-05-28,6558.91,6598.28,6487.98,6594.27,,,,
2026-05-29,6609.29,6695.45,6608.24,6621.23,,,,
