Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,4099.17,4101.15,4065.03,4076.45,,,,
2026-01-29,4068.40,4089.21,4036.22,4079.68,,,,2026-01-30,4089.21,4101.62,4065.00,4094.41,,,,
2026-02-02,4114.36,4150.17,4065.42,4065.80,,,,
2026-02-03,4094.43,4158.28,4094.29,4155.18,,,,
2026-02-04,4156.71,4196.59,4150.05,4185.35,,,,
2026-02-05,4211.06,4237.06,4202.09,4217.80,,,,
2026-02-06,4205.09,4236.16,4177.67,4236.16,,,,
2026-02-09,4292.70,4321.82,4279.16,4312.36,,,,
2026-02-10,4331.76,4390.30,4331.76,4385.92,,,,
2026-02-12,4391.72,4464.28,4391.72,4459.12,,,,
2026-02-13,4448.18,4451.19,4349.56,4361.47,,,,
2026-02-16,4372.66,4385.85,4354.35,4382.60,,,,
2026-02-17,4371.23,4405.01,4356.76,4369.23,,,,
