Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,4407.85,4420.36,4388.00,4401.59,,,,
2026-01-29,4389.73,4454.17,4366.71,4439.84,,,,2026-01-30,4463.66,4487.94,4444.16,4478.73,,,,
2026-02-02,4530.01,4558.56,4435.92,4437.81,,,,
2026-02-03,4491.93,4589.86,4491.93,4583.89,,,,
2026-02-04,4594.51,4668.06,4579.33,4661.42,,,,
2026-02-05,4695.30,4719.89,4647.88,4670.39,,,,
2026-02-06,4647.64,4741.10,4623.53,4741.10,,,,
2026-02-09,4815.66,4880.34,4810.12,4818.45,,,,
2026-02-10,4849.63,4919.68,4845.18,4910.09,,,,
2026-02-12,4910.25,4981.87,4902.18,4975.55,,,,
2026-02-13,4956.88,4962.54,4897.80,4901.79,,,,
2026-02-16,4897.15,4903.72,4832.48,4834.41,,,,
