Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,337.14,340.77,334.54,337.93,,,,
2026-01-29,338.44,347.20,332.94,346.57,,,,2026-01-30,353.30,356.58,345.45,350.84,,,,
2026-02-02,353.08,354.80,340.64,342.04,,,,
2026-02-03,348.16,354.19,347.98,354.10,,,,
2026-02-04,358.23,370.13,357.83,368.66,,,,
2026-02-05,371.35,374.56,363.38,366.18,,,,
2026-02-06,365.86,375.62,364.62,375.62,,,,
2026-02-09,381.94,386.18,377.12,380.08,,,,
2026-02-10,385.36,390.94,385.11,389.99,,,,
2026-02-12,394.66,403.50,393.62,400.81,,,,
2026-02-13,396.23,396.30,369.36,372.00,,,,
2026-02-16,374.37,376.84,370.97,371.36,,,,
2026-02-17,375.35,378.76,372.92,374.42,,,,
2026-02-18,375.19,379.03,372.30,378.90,,,,
2026-02-19,383.39,387.46,380.79,386.11,,,,
