Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,550.16,556.22,548.61,551.51,,,,
2026-01-29,546.87,554.64,540.57,553.87,,,,2026-01-30,560.15,565.43,558.00,564.27,,,,
2026-02-02,570.88,572.35,560.99,561.90,,,,
2026-02-03,564.89,575.32,564.89,574.30,,,,
2026-02-04,572.24,585.34,570.17,585.06,,,,
2026-02-05,593.29,597.90,591.31,594.29,,,,
2026-02-06,593.97,599.26,588.30,599.26,,,,
2026-02-09,608.48,634.01,608.25,625.40,,,,
2026-02-10,633.53,655.68,631.53,655.05,,,,
2026-02-12,649.87,671.06,649.71,669.10,,,,
2026-02-13,665.71,666.20,651.86,652.40,,,,
2026-02-16,653.43,654.33,643.20,646.43,,,,
2026-02-17,646.45,648.01,639.50,643.12,,,,
2026-02-18,649.62,654.24,647.77,648.94,,,,
2026-02-19,646.88,666.99,644.94,666.22,,,,
2026-02-20,656.00,664.82,653.43,663.13,,,,
2026-02-24,661.61,663.79,654.89,659.47,,,,
2026-02-25,660.73,677.38,659.56,673.68,,,,
2026-02-26,683.77,689.08,675.64,676.95,,,,
2026-02-27,676.18,684.64,674.75,681.63,,,,
2026-03-02,667.98,678.09,662.28,677.80,,,,
2026-03-03,665.11,668.08,652.59,652.83,,,,
2026-03-04,642.06,642.86,623.92,631.18,,,,
2026-03-05,641.90,656.59,637.92,640.87,,,,
2026-03-06,637.78,649.73,635.66,648.50,,,,
2026-03-09,635.45,635.45,611.31,626.05,,,,
2026-03-10,635.85,647.12,633.24,638.11,,,,
2026-03-11,647.22,647.22,637.72,641.45,,,,
2026-03-12,630.11,630.41,613.47,618.65,,,,
2026-03-13,610.34,619.85,609.45,609.45,,,,
2026-03-16,607.92,610.85,605.37,609.31,,,,
2026-03-17,617.03,620.84,612.43,614.16,,,,
2026-03-18,621.81,627.84,619.59,625.06,,,,
2026-03-19,615.21,615.21,604.58,605.59,,,,
2026-03-23,595.01,595.11,567.63,568.31,,,,
2026-03-24,578.88,586.97,578.58,586.97,,,,
2026-03-25,597.17,600.55,593.64,596.68,,,,
2026-03-26,597.89,599.88,589.68,594.14,,,,
2026-03-27,590.88,592.35,583.13,585.96,,,,
2026-03-30,569.69,572.11,558.16,570.65,,,,
2026-03-31,570.66,580.70,565.81,572.14,,,,
2026-04-01,582.31,591.09,581.84,591.09,,,,
2026-04-02,598.37,604.69,584.36,586.95,,,,
2026-04-03,591.73,593.69,586.30,588.93,,,,
2026-04-06,589.71,593.25,585.12,585.12,,,,
2026-04-07,589.10,593.84,587.46,590.58,,,,
2026-04-08,601.68,618.83,601.66,618.61,,,,
