Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,1320.96,1342.03,1315.94,1334.87,,,,
2026-01-29,1320.53,1343.49,1314.99,1337.58,,,,2026-01-30,1345.14,1348.36,1326.50,1340.55,,,,
2026-02-02,1361.82,1373.65,1326.32,1326.32,,,,
2026-02-03,1344.58,1374.57,1344.08,1372.42,,,,
2026-02-04,1382.08,1403.53,1370.70,1391.68,,,,
2026-02-05,1397.90,1410.03,1373.24,1403.58,,,,
2026-02-06,1393.03,1431.11,1391.29,1431.11,,,,
2026-02-09,1455.68,1483.25,1450.93,1474.25,,,,
2026-02-10,1484.94,1517.36,1478.13,1517.36,,,,
2026-02-12,1520.24,1560.76,1518.65,1558.45,,,,
2026-02-13,1548.97,1556.42,1528.02,1532.07,,,,
2026-02-16,1530.79,1532.71,1490.80,1500.16,,,,
2026-02-17,1496.89,1511.28,1481.75,1487.88,,,,
2026-02-18,1496.67,1511.51,1495.95,1502.81,,,,
2026-02-19,1512.08,1529.12,1503.38,1527.41,,,,
2026-02-20,1512.97,1526.94,1497.62,1500.66,,,,
