Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,390.50,390.88,387.57,389.18,,,,
2026-01-29,384.38,384.78,380.86,384.36,,,,2026-01-30,386.62,389.11,384.25,388.77,,,,
2026-02-02,393.28,396.75,391.52,393.30,,,,
2026-02-03,394.68,399.79,394.05,398.47,,,,
2026-02-04,398.73,401.45,397.40,399.97,,,,
2026-02-05,405.84,410.98,404.28,409.09,,,,
2026-02-06,410.05,411.84,406.78,411.84,,,,
2026-02-09,414.53,422.65,414.07,418.55,,,,
2026-02-10,418.76,424.31,418.38,421.74,,,,
2026-02-12,423.32,427.83,422.87,427.12,,,,
2026-02-13,429.25,429.25,424.59,428.05,,,,
2026-02-16,428.62,428.62,422.24,422.24,,,,
2026-02-17,424.24,425.70,422.48,423.96,,,,
2026-02-18,426.72,430.41,426.70,427.33,,,,
2026-02-19,426.37,429.56,424.33,427.23,,,,
