Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,515.74,516.36,512.60,513.33,,,,
2026-01-29,510.03,515.51,504.37,514.14,,,,
2026-01-30,514.45,514.78,508.52,511.02,,,,
2026-02-02,516.47,522.60,510.26,510.93,,,,
2026-02-03,515.58,528.20,515.58,527.70,,,,
2026-02-04,528.19,536.19,526.89,534.59,,,,
2026-02-05,538.16,542.47,532.39,541.51,,,,
2026-02-06,543.38,553.10,541.26,552.60,,,,
2026-02-09,561.41,572.71,560.78,570.09,,,,
2026-02-10,569.63,577.67,568.91,577.67,,,,
2026-02-12,578.93,586.77,578.85,583.58,,,,
2026-02-13,580.44,580.70,563.88,564.79,,,,
2026-02-16,565.58,566.23,556.50,558.03,,,,
2026-02-17,557.71,564.72,557.39,562.17,,,,
2026-02-18,565.52,574.62,565.26,572.05,,,,
2026-02-19,571.43,577.45,568.93,576.61,,,,
2026-02-20,572.76,575.80,570.26,575.08,,,,
2026-02-24,577.19,584.16,571.73,582.27,,,,
2026-02-25,584.03,585.92,578.74,583.38,,,,
2026-02-26,584.74,588.50,581.92,583.55,,,,
2026-02-27,584.53,599.82,584.53,599.82,,,,
2026-03-02,588.83,595.83,578.98,595.23,,,,
2026-03-03,589.32,593.73,574.11,575.63,,,,
2026-03-04,567.48,567.48,542.16,551.56,,,,
2026-03-05,561.66,573.01,553.23,558.20,,,,
2026-03-06,550.37,554.73,544.34,554.15,,,,
2026-03-09,543.54,543.56,515.67,527.95,,,,
2026-03-10,536.00,546.81,536.00,541.64,,,,
2026-03-11,549.37,556.08,548.99,549.71,,,,
2026-03-12,542.83,542.98,533.03,536.08,,,,
2026-03-13,529.11,538.15,528.20,534.57,,,,
2026-03-16,531.72,535.05,525.59,528.71,,,,
2026-03-17,534.76,539.04,530.48,531.60,,,,
2026-03-18,535.22,545.72,533.88,545.72,,,,
2026-03-19,537.33,537.33,525.34,525.34,,,,
2026-03-23,516.27,516.38,499.14,503.48,,,,
2026-03-24,512.35,517.71,509.70,516.67,,,,
2026-03-25,525.80,533.31,525.80,532.28,,,,
2026-03-26,533.53,534.77,524.61,530.16,,,,
2026-03-27,526.82,529.73,522.23,527.65,,,,
2026-03-30,511.29,512.64,497.47,512.28,,,,
2026-03-31,506.44,515.86,501.32,507.30,,,,
2026-04-01,516.81,529.48,516.00,529.48,,,,
2026-04-02,532.75,536.19,517.15,517.92,,,,
2026-04-03,521.44,524.58,518.97,520.59,,,,
2026-04-06,520.27,523.46,518.33,518.33,,,,
