Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,418.99,422.72,417.27,420.45,,,,
2026-01-29,416.05,417.58,412.33,416.28,,,,2026-01-30,418.58,420.11,415.53,415.53,,,,
2026-02-02,416.80,419.07,413.04,413.49,,,,
2026-02-03,415.56,421.12,415.56,419.66,,,,
2026-02-04,414.78,414.78,402.48,403.06,,,,
2026-02-05,403.47,403.47,398.76,398.96,,,,
2026-02-06,396.99,396.99,392.04,396.83,,,,
2026-02-09,400.64,405.77,400.55,402.32,,,,
2026-02-10,406.28,417.70,406.05,414.93,,,,
2026-02-12,414.96,415.53,410.78,411.19,,,,
2026-02-13,411.50,412.01,396.15,396.38,,,,
2026-02-16,399.13,401.92,398.09,401.45,,,,
2026-02-17,400.10,400.38,394.19,395.41,,,,
