Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,935.97,936.54,925.18,931.10,,,,
2026-01-29,938.54,941.94,930.10,934.40,,,,2026-01-30,937.08,940.89,925.96,938.91,,,,
2026-02-02,948.05,959.88,933.39,935.35,,,,
2026-02-03,947.02,980.10,946.94,980.10,,,,
2026-02-04,980.33,1001.28,974.33,999.81,,,,
2026-02-05,999.88,1003.30,974.93,982.18,,,,
2026-02-06,978.07,997.02,966.16,996.54,,,,
2026-02-09,1013.31,1044.89,1012.93,1036.71,,,,
2026-02-10,1043.27,1065.57,1042.83,1061.90,,,,
2026-02-12,1054.00,1068.07,1048.59,1068.07,,,,
2026-02-13,1063.60,1072.08,1053.78,1061.21,,,,
2026-02-16,1070.39,1072.51,1061.54,1062.44,,,,
2026-02-17,1058.27,1060.67,1038.03,1047.24,,,,
2026-02-18,1053.46,1066.48,1053.46,1058.78,,,,
2026-02-19,1062.24,1073.28,1058.35,1070.46,,,,
2026-02-20,1066.31,1074.18,1061.77,1071.12,,,,
2026-02-24,1077.48,1084.67,1065.18,1069.45,,,,
2026-02-25,1070.53,1078.70,1059.00,1072.97,,,,
2026-02-26,1083.33,1090.61,1071.84,1075.56,,,,
2026-02-27,1071.08,1089.27,1069.66,1089.27,,,,
2026-03-02,1083.80,1099.28,1072.10,1099.28,,,,
2026-03-03,1092.57,1098.05,1050.42,1053.15,,,,
2026-03-04,1036.50,1036.52,977.75,995.40,,,,
2026-03-05,1012.72,1044.94,1009.62,1020.85,,,,
2026-03-06,1008.00,1024.48,1001.43,1023.58,,,,
