Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,384.06,384.06,380.30,380.49,,,,
2026-01-29,380.94,390.24,378.85,388.34,,,,2026-01-30,390.46,395.38,389.20,393.65,,,,
2026-02-02,400.99,404.94,394.14,395.63,,,,
2026-02-03,400.96,402.13,397.72,400.62,,,,
2026-02-04,404.17,412.51,403.04,411.01,,,,
2026-02-05,417.76,419.10,409.86,411.78,,,,
2026-02-06,410.35,420.64,409.15,420.64,,,,
2026-02-09,427.53,435.05,416.63,416.81,,,,
2026-02-10,417.41,423.63,415.26,420.85,,,,
2026-02-12,418.55,418.67,413.03,418.38,,,,
2026-02-13,420.95,424.71,420.27,424.30,,,,
2026-02-16,423.03,423.61,414.86,414.86,,,,
2026-02-17,415.81,420.10,415.77,418.06,,,,
2026-02-18,421.56,423.81,419.21,420.60,,,,
2026-02-19,420.23,426.52,418.05,425.40,,,,
2026-02-20,418.54,418.61,410.52,413.10,,,,
2026-02-24,414.20,416.11,411.37,413.20,,,,
2026-02-25,416.16,420.98,414.86,418.24,,,,
2026-02-26,421.72,425.80,421.63,422.15,,,,
2026-02-27,419.54,428.08,418.84,428.08,,,,
2026-03-02,420.62,431.05,411.65,430.73,,,,
2026-03-03,424.75,424.99,406.03,407.84,,,,
2026-03-04,400.99,400.99,389.06,391.48,,,,
2026-03-05,398.84,403.02,390.54,390.54,,,,
2026-03-06,389.15,394.20,388.23,392.69,,,,
2026-03-09,384.96,384.97,373.20,380.75,,,,
2026-03-10,384.95,391.55,384.58,387.75,,,,
2026-03-11,393.20,395.89,390.89,390.89,,,,
2026-03-12,389.01,389.84,382.74,387.00,,,,
2026-03-13,379.63,381.25,375.58,376.32,,,,
2026-03-16,374.10,376.54,370.73,372.04,,,,
2026-03-17,375.07,376.97,373.46,374.85,,,,
2026-03-18,376.23,380.19,376.23,379.22,,,,
2026-03-19,373.51,374.43,368.55,369.44,,,,
2026-03-23,363.11,363.11,354.85,361.09,,,,
2026-03-24,368.20,368.96,362.78,364.97,,,,
2026-03-25,371.88,376.99,369.68,370.62,,,,
2026-03-26,372.91,374.59,370.30,373.83,,,,
2026-03-27,371.40,377.84,370.15,375.34,,,,
2026-03-30,363.00,363.00,353.07,358.81,,,,
2026-03-31,357.80,363.11,354.58,355.45,,,,
2026-04-01,362.43,368.71,362.23,368.71,,,,
2026-04-02,372.23,374.42,363.18,363.97,,,,
2026-04-03,365.63,368.24,364.25,364.33,,,,
2026-04-06,364.47,367.24,362.92,362.92,,,,
2026-04-07,361.89,363.72,361.13,362.78,,,,
2026-04-08,369.80,377.84,369.80,375.90,,,,
2026-04-09,375.61,376.38,370.75,371.53,,,,
2026-04-10,372.63,373.94,368.67,370.04,,,,
2026-04-13,366.16,370.19,366.16,368.14,,,,
2026-04-14,371.47,372.01,367.75,370.36,,,,
2026-04-15,372.85,374.98,371.83,373.69,,,,
2026-04-16,376.33,380.20,374.74,375.06,,,,
2026-04-17,374.14,374.94,371.15,371.15,,,,
2026-04-20,377.68,377.68,375.33,376.57,,,,
2026-04-21,372.79,373.85,369.78,369.78,,,,
2026-04-22,365.51,365.51,362.16,362.39,,,,
2026-04-23,361.88,363.03,354.79,356.59,,,,
2026-04-24,355.91,356.11,351.50,351.53,,,,
2026-04-27,351.02,354.26,350.70,351.05,,,,
2026-04-28,354.59,356.25,352.67,355.60,,,,
