Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,223.51,223.96,222.69,223.01,,,,
2026-01-29,221.49,224.26,220.55,223.99,,,,2026-01-30,225.48,226.41,224.25,226.01,,,,
2026-02-02,227.53,227.79,225.54,225.60,,,,
2026-02-03,225.87,229.48,225.70,228.88,,,,
2026-02-04,228.65,231.79,227.40,231.18,,,,
2026-02-05,234.28,234.98,233.36,233.92,,,,
2026-02-06,235.13,236.10,233.82,236.10,,,,
2026-02-09,237.66,238.70,235.75,236.70,,,,
2026-02-10,235.67,237.18,234.75,236.77,,,,
2026-02-12,236.50,238.08,236.46,237.50,,,,
2026-02-13,238.03,238.03,235.30,236.16,,,,
2026-02-16,235.75,236.29,233.93,234.74,,,,
2026-02-17,235.78,236.92,235.06,235.36,,,,
2026-02-18,236.78,239.19,236.78,238.84,,,,
2026-02-19,239.45,240.91,238.76,240.91,,,,
2026-02-20,238.97,239.35,235.95,237.04,,,,
2026-02-24,238.10,239.61,236.77,239.01,,,,
2026-02-25,238.88,239.98,237.61,239.28,,,,
2026-02-26,239.92,241.68,239.73,241.05,,,,
2026-02-27,242.09,242.81,240.90,242.69,,,,
2026-03-02,241.09,243.35,240.50,243.09,,,,
2026-03-03,240.73,241.04,237.28,237.45,,,,
2026-03-04,234.57,235.07,231.54,233.80,,,,
2026-03-05,236.88,238.11,234.48,234.61,,,,
2026-03-06,232.25,233.13,230.22,232.74,,,,
2026-03-09,228.70,232.01,226.47,231.15,,,,
2026-03-10,231.85,234.23,231.14,232.14,,,,
2026-03-11,235.00,236.95,234.83,235.39,,,,
2026-03-12,233.61,233.61,231.24,232.34,,,,
2026-03-13,230.91,233.62,229.92,229.92,,,,
2026-03-16,230.81,231.90,229.19,229.77,,,,
2026-03-17,231.18,235.71,231.18,233.81,,,,
2026-03-18,235.01,239.30,235.01,239.24,,,,
2026-03-19,237.35,238.79,233.89,233.89,,,,
2026-03-23,231.38,231.38,226.74,226.92,,,,
2026-03-24,229.80,230.84,229.18,229.95,,,,
2026-03-25,233.17,234.23,232.55,233.83,,,,
2026-03-26,234.69,235.54,233.66,235.49,,,,
2026-03-27,236.87,238.20,234.91,237.35,,,,
2026-03-30,230.16,232.17,226.92,231.37,,,,
2026-03-31,231.74,233.62,229.36,229.77,,,,
2026-04-01,232.38,235.08,230.62,235.08,,,,
2026-04-02,236.80,239.53,235.72,236.91,,,,
2026-04-03,236.64,238.07,236.22,237.39,,,,
2026-04-06,237.92,238.42,236.31,236.31,,,,
2026-04-07,237.07,238.86,235.72,236.64,,,,
2026-04-08,239.32,239.99,237.50,237.82,,,,
2026-04-09,238.99,240.71,236.95,236.95,,,,
2026-04-10,237.61,237.83,234.40,234.65,,,,
2026-04-13,234.87,236.11,233.73,234.19,,,,
2026-04-14,233.89,234.88,232.83,232.91,,,,
2026-04-15,234.13,234.94,233.58,234.53,,,,
