Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,576.79,596.38,576.70,590.39,,,,
2026-01-29,592.61,594.12,579.16,591.53,,,,
2026-01-30,587.85,600.36,573.25,582.04,,,,
2026-02-02,582.51,596.25,569.18,571.97,,,,
2026-02-03,581.75,613.71,581.72,611.48,,,,
2026-02-04,618.77,639.32,618.77,634.95,,,,
2026-02-05,631.15,636.33,600.58,612.00,,,,
2026-02-06,603.98,621.03,598.83,620.38,,,,
2026-02-09,631.21,657.66,630.61,646.45,,,,
2026-02-10,655.65,679.25,655.54,676.99,,,,
2026-02-12,680.01,701.19,678.61,698.10,,,,
2026-02-13,690.70,692.23,665.66,668.27,,,,
2026-02-16,676.52,681.43,669.33,669.63,,,,
2026-02-17,668.24,673.91,657.41,663.83,,,,
2026-02-18,660.59,682.99,660.59,681.00,,,,
2026-02-19,687.99,701.47,687.53,700.09,,,,
2026-02-20,697.86,709.18,694.31,707.39,,,,
2026-02-24,717.21,752.44,717.01,747.58,,,,
2026-02-25,756.44,776.72,744.81,773.60,,,,
2026-02-26,779.74,790.29,758.03,767.97,,,,
2026-02-27,758.57,782.91,749.90,782.91,,,,
2026-03-02,773.10,810.94,768.01,810.69,,,,
2026-03-03,819.09,832.84,773.03,775.41,,,,
2026-03-04,759.65,770.36,710.15,726.85,,,,
2026-03-05,740.73,771.82,731.54,738.71,,,,
2026-03-06,726.09,733.32,702.22,725.36,,,,
2026-03-09,710.90,710.90,645.10,673.51,,,,
2026-03-10,684.76,723.71,684.76,711.89,,,,
2026-03-11,725.21,765.59,724.95,748.38,,,,
2026-03-12,738.41,749.27,723.44,731.92,,,,
2026-03-13,716.53,745.37,710.79,736.22,,,,
2026-03-16,735.90,735.90,703.55,720.12,,,,
2026-03-17,729.01,729.01,695.32,697.91,,,,
2026-03-18,708.72,729.26,707.96,728.64,,,,
2026-03-19,713.55,719.61,705.17,708.21,,,,
2026-03-23,696.42,696.45,656.82,668.64,,,,
2026-03-24,681.13,705.01,676.96,692.35,,,,
2026-03-25,704.57,733.30,704.42,729.95,,,,
2026-03-26,737.17,746.58,720.93,728.21,,,,
2026-03-27,718.76,723.10,695.52,718.38,,,,
2026-03-30,698.38,698.51,673.93,694.67,,,,
2026-03-31,685.33,685.96,657.39,658.32,,,,
2026-04-01,670.32,711.07,670.28,711.07,,,,
2026-04-02,720.32,731.60,688.12,693.18,,,,
2026-04-03,703.56,727.60,703.36,722.28,,,,
2026-04-06,729.80,741.33,724.94,727.07,,,,
2026-04-07,721.90,726.72,705.46,713.13,,,,
2026-04-08,725.42,782.61,725.39,781.71,,,,
2026-04-09,771.47,793.91,768.82,789.92,,,,
2026-04-10,790.44,820.31,790.44,819.29,,,,
2026-04-13,821.16,838.80,802.44,808.10,,,,
2026-04-14,820.18,837.69,819.99,834.80,,,,
2026-04-15,843.46,848.73,803.05,808.32,,,,
2026-04-16,806.18,838.47,805.73,836.76,,,,
2026-04-17,823.04,830.82,815.11,815.11,,,,
2026-04-20,814.50,825.81,801.23,801.30,,,,
2026-04-21,808.36,824.89,808.36,824.09,,,,
2026-04-22,820.26,832.35,806.41,830.76,,,,
2026-04-23,838.49,840.88,796.32,808.14,,,,
2026-04-24,814.80,823.34,809.89,811.37,,,,
2026-04-27,810.57,831.88,802.87,824.15,,,,
2026-04-28,821.24,829.92,819.69,829.52,,,,
2026-04-30,822.21,823.64,807.47,815.17,,,,
2026-05-01,820.02,820.02,802.49,802.49,,,,
2026-05-07,815.22,880.73,815.07,880.73,,,,
2026-05-08,868.72,888.30,855.72,888.30,,,,
2026-05-11,899.43,911.13,885.20,894.84,,,,
2026-05-12,904.97,943.82,898.78,925.97,,,,
2026-05-13,915.71,972.11,913.36,967.90,,,,
2026-05-14,962.46,966.45,888.48,892.94,,,,
2026-05-15,907.34,922.81,835.22,845.53,,,,
2026-05-18,843.67,854.02,825.38,834.37,,,,
2026-05-19,830.09,830.09,774.61,778.06,,,,
2026-05-20,765.23,765.52,733.48,751.97,,,,
2026-05-21,765.39,779.34,753.80,768.73,,,,
2026-05-22,781.05,821.72,780.23,812.08,,,,
2026-05-25,825.27,868.81,824.59,862.88,,,,
2026-05-27,866.03,888.14,832.17,836.19,,,,
2026-05-28,823.28,828.88,794.40,814.72,,,,
2026-05-29,819.55,824.19,797.95,823.25,,,,
2026-06-01,822.69,839.13,815.34,824.59,,,,
2026-06-02,812.61,818.51,778.01,805.35,,,,
2026-06-03,819.02,858.24,817.59,845.01,,,,
2026-06-04,837.01,841.10,812.66,820.26,,,,
2026-06-05,811.20,812.85,787.58,804.26,,,,
2026-06-08,790.68,791.21,744.01,756.54,,,,
2026-06-09,764.34,766.75,739.08,756.28,,,,
2026-06-10,745.90,746.97,700.55,710.66,,,,
2026-06-11,697.59,704.70,673.31,699.69,,,,
2026-06-12,713.48,750.09,713.46,738.67,,,,
2026-06-15,752.83,774.96,752.71,769.05,,,,
2026-06-16,774.08,822.55,771.66,809.60,,,,
2026-06-17,801.71,813.64,792.68,808.97,,,,
2026-06-18,809.45,823.64,799.59,799.59,,,,
2026-06-19,808.49,862.67,808.23,854.62,,,,
2026-06-22,861.35,919.85,859.41,914.22,,,,
2026-06-23,922.35,936.28,863.92,870.15,,,,
2026-06-24,865.88,876.31,833.70,851.90,,,,
2026-06-25,863.84,873.94,852.85,860.64,,,,
2026-06-26,856.75,864.08,820.72,828.13,,,,
2026-06-29,825.79,825.84,783.24,810.70,,,,
2026-06-30,819.71,835.90,815.78,826.94,,,,
2026-07-01,838.38,841.96,795.18,797.36,,,,
2026-07-02,789.18,789.71,757.05,762.92,,,,
2026-07-03,754.88,769.30,733.81,767.91,,,,
2026-07-06,764.15,775.49,754.55,762.18,,,,
2026-07-07,757.58,764.88,727.14,730.16,,,,
2026-07-08,718.23,731.56,704.11,705.88,,,,
2026-07-09,713.78,728.53,708.45,714.58,,,,
2026-07-10,724.31,754.93,724.02,738.82,,,,
2026-07-13,740.95,754.39,715.28,722.37,,,,
2026-07-14,716.16,719.27,694.22,717.63,,,,
2026-07-15,727.10,744.94,722.59,744.65,,,,
2026-07-16,733.13,733.57,704.48,710.61,,,,
2026-07-17,700.43,701.16,652.07,675.14,,,,
2026-07-21,684.15,702.25,676.89,700.95,,,,
2026-07-22,710.77,743.14,710.04,718.18,,,,
2026-07-23,729.29,734.65,717.57,729.22,,,,
2026-07-24,718.48,722.48,703.32,711.99,,,,
2026-07-27,711.67,711.67,685.87,701.40,,,,
2026-07-28,692.01,692.53,659.36,665.54,,,,
2026-07-29,661.59,671.16,626.13,642.40,,,,
2026-07-30,636.53,658.72,630.00,644.32,,,,
