Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,110.60,111.61,110.07,110.34,,,,
2026-01-29,109.85,111.42,108.87,111.16,,,,
2026-01-30,112.29,113.37,111.44,112.37,,,,
2026-02-02,113.18,113.77,111.19,111.67,,,,
2026-02-03,111.53,114.33,111.45,114.18,,,,
2026-02-04,114.77,115.80,114.14,115.68,,,,
2026-02-05,116.95,117.42,115.71,116.75,,,,
2026-02-06,117.52,119.38,116.90,119.38,,,,
2026-02-09,121.19,122.30,120.41,121.61,,,,
2026-02-10,122.58,122.92,121.70,122.63,,,,
2026-02-12,123.58,126.80,123.38,126.67,,,,
2026-02-13,127.61,128.07,126.06,126.34,,,,
2026-02-16,127.49,127.96,125.29,125.55,,,,
2026-02-17,126.18,127.24,125.21,125.92,,,,
2026-02-18,126.28,127.77,126.09,127.47,,,,
2026-02-19,127.63,128.23,126.50,127.94,,,,
2026-02-20,126.27,126.35,123.90,125.55,,,,
2026-02-24,126.73,127.37,125.10,126.63,,,,
2026-02-25,126.42,126.42,123.77,125.74,,,,
2026-02-26,127.13,127.48,126.15,126.24,,,,
2026-02-27,126.13,128.89,125.90,128.62,,,,
2026-03-02,126.30,126.32,124.08,125.95,,,,
2026-03-03,124.11,125.57,123.70,124.78,,,,
2026-03-04,122.65,122.65,119.26,121.35,,,,
2026-03-05,123.45,125.83,122.80,123.00,,,,
2026-03-06,121.37,122.50,120.26,122.41,,,,
2026-03-09,120.06,120.08,114.49,116.62,,,,
2026-03-10,118.72,119.52,117.31,117.97,,,,
2026-03-11,119.84,122.27,119.84,121.35,,,,
2026-03-12,119.72,121.51,119.37,121.51,,,,
2026-03-13,120.11,122.53,119.95,120.97,,,,
2026-03-16,121.07,121.36,119.08,119.19,,,,
2026-03-17,120.19,121.13,120.00,120.60,,,,
2026-03-18,121.68,126.90,121.68,126.90,,,,
2026-03-19,125.31,125.55,121.46,121.49,,,,
2026-03-23,119.18,119.18,115.58,117.20,,,,
2026-03-24,118.93,119.91,118.39,119.42,,,,
2026-03-25,121.66,123.50,121.66,122.78,,,,
2026-03-26,123.34,123.77,121.62,122.91,,,,
2026-03-27,123.56,125.42,122.50,125.10,,,,
2026-03-30,121.41,124.93,121.27,124.28,,,,
2026-03-31,123.98,125.19,121.94,122.37,,,,
2026-04-01,124.48,127.02,124.46,127.02,,,,
2026-04-02,126.99,127.85,124.19,124.67,,,,
2026-04-03,125.31,126.00,124.57,125.72,,,,
2026-04-06,125.46,125.82,123.33,123.33,,,,
2026-04-07,124.25,125.75,123.16,123.49,,,,
2026-04-08,125.73,127.05,124.61,124.62,,,,
2026-04-09,125.72,126.58,123.84,124.61,,,,
2026-04-10,125.94,126.69,124.01,124.15,,,,
2026-04-13,123.35,123.88,121.15,122.03,,,,
2026-04-14,122.53,122.59,121.19,121.89,,,,
2026-04-15,122.69,123.30,121.23,121.60,,,,
2026-04-16,121.72,123.03,121.51,122.86,,,,
2026-04-17,122.22,122.42,120.72,120.72,,,,
2026-04-20,120.63,120.63,117.66,117.66,,,,
2026-04-21,117.57,117.79,116.10,116.10,,,,
2026-04-22,115.82,116.07,114.71,115.20,,,,
2026-04-23,114.49,115.17,112.95,114.15,,,,
2026-04-24,115.16,115.68,113.91,114.45,,,,
2026-04-27,113.57,114.64,113.23,113.99,,,,
2026-04-28,115.02,118.10,114.82,117.92,,,,
2026-04-30,116.52,116.59,114.37,114.76,,,,
2026-05-01,114.76,114.86,112.44,113.77,,,,
2026-05-07,115.08,116.84,113.81,116.08,,,,
2026-05-08,115.80,115.99,113.41,114.62,,,,
2026-05-11,113.94,116.02,113.76,115.16,,,,
2026-05-12,115.48,116.67,115.12,115.76,,,,
2026-05-13,115.88,116.47,114.58,114.87,,,,
2026-05-14,114.82,115.45,114.40,114.79,,,,
2026-05-15,114.80,116.17,113.84,114.76,,,,
2026-05-18,115.02,115.35,112.08,112.15,,,,
2026-05-19,113.90,114.78,113.78,114.67,,,,
2026-05-20,114.80,114.80,111.39,112.30,,,,
2026-05-21,113.46,113.82,112.51,112.92,,,,
2026-05-22,113.69,113.69,111.20,111.28,,,,
2026-05-25,112.24,112.82,111.31,111.75,,,,
2026-05-27,113.19,114.24,112.36,112.90,,,,
2026-05-28,112.21,112.54,110.72,111.02,,,,
2026-05-29,109.97,112.67,109.48,111.63,,,,
2026-06-01,110.25,110.25,108.12,109.21,,,,
2026-06-02,107.49,109.75,106.96,109.62,,,,
2026-06-03,110.91,112.09,110.79,111.30,,,,
2026-06-04,111.22,111.24,108.90,109.33,,,,
2026-06-05,110.06,111.47,109.50,109.73,,,,
2026-06-08,108.48,109.98,108.47,109.50,,,,
2026-06-09,110.13,110.23,108.59,109.36,,,,
2026-06-10,110.54,110.54,109.16,109.77,,,,
2026-06-11,110.55,110.55,108.78,110.19,,,,
2026-06-12,111.22,111.22,109.93,110.53,,,,
2026-06-15,111.57,113.03,111.47,111.70,,,,
2026-06-16,110.55,110.89,109.25,109.78,,,,
2026-06-17,110.30,110.89,109.11,109.80,,,,
2026-06-18,109.36,111.13,109.25,109.59,,,,
2026-06-19,108.90,109.81,108.51,109.46,,,,
2026-06-22,109.40,109.77,108.92,109.55,,,,
