Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,509.73,514.82,507.49,512.31,,,,
2026-01-29,512.91,514.93,508.57,511.31,,,,
2026-01-30,511.17,515.54,506.14,513.41,,,,
2026-02-02,514.06,521.98,503.52,503.98,,,,
2026-02-03,512.32,525.73,512.03,524.30,,,,
2026-02-04,519.18,519.18,510.53,513.73,,,,
2026-02-05,508.59,514.37,505.32,508.97,,,,
2026-02-06,508.45,519.73,502.96,517.04,,,,
2026-02-09,525.97,543.36,525.49,535.99,,,,
2026-02-10,541.82,546.30,539.51,542.16,,,,
2026-02-12,543.95,546.06,539.45,540.39,,,,
2026-02-13,536.01,537.04,527.37,527.99,,,,
2026-02-16,528.05,530.22,526.39,526.39,,,,
2026-02-17,525.03,525.71,517.01,522.55,,,,
2026-02-18,523.45,529.89,523.45,527.30,,,,
2026-02-19,532.00,535.78,531.85,532.06,,,,
2026-02-20,527.42,528.26,524.80,526.97,,,,
2026-02-24,525.99,533.46,525.99,532.10,,,,
2026-02-25,536.27,547.31,536.27,544.21,,,,
2026-02-26,548.55,553.95,545.77,549.30,,,,
2026-02-27,547.68,554.29,545.77,554.29,,,,
2026-03-02,544.89,547.60,538.01,545.80,,,,
2026-03-03,539.70,541.57,522.45,523.91,,,,
2026-03-04,517.87,522.50,502.11,508.83,,,,
2026-03-05,518.25,531.09,515.28,519.39,,,,
2026-03-06,513.93,523.98,512.43,523.83,,,,
2026-03-09,514.42,514.43,482.10,496.41,,,,
2026-03-10,504.11,516.69,504.11,513.95,,,,
2026-03-11,520.21,525.63,518.37,519.42,,,,
2026-03-12,513.18,518.30,510.16,516.12,,,,
2026-03-13,507.64,511.92,503.75,510.10,,,,
2026-03-16,507.32,511.52,501.92,507.81,,,,
2026-03-17,513.23,515.12,504.50,506.62,,,,
2026-03-18,509.83,517.46,509.81,517.46,,,,
2026-03-19,509.20,510.60,503.93,505.32,,,,
2026-03-23,496.35,497.14,479.27,486.91,,,,
2026-03-24,496.20,499.96,487.61,494.24,,,,
2026-03-25,502.03,508.86,501.81,506.96,,,,
2026-03-26,506.09,508.38,498.15,502.52,,,,
2026-03-27,496.88,499.97,489.65,496.44,,,,
2026-03-30,485.13,485.30,470.24,480.55,,,,
2026-03-31,474.54,483.96,468.44,472.73,,,,
2026-04-01,481.94,501.99,481.81,501.93,,,,
2026-04-02,505.46,507.91,488.62,490.12,,,,
2026-04-03,496.94,502.23,496.56,498.74,,,,
2026-04-06,499.37,506.34,499.37,499.50,,,,
2026-04-07,501.13,505.45,499.99,503.07,,,,
2026-04-08,512.50,531.76,512.37,530.96,,,,
2026-04-09,529.05,529.85,525.73,527.99,,,,
2026-04-10,530.73,535.45,530.73,534.13,,,,
2026-04-13,529.64,533.23,528.41,530.90,,,,
2026-04-14,538.64,546.26,538.48,544.34,,,,
2026-04-15,549.77,554.12,548.32,550.38,,,,
2026-04-16,554.54,564.62,553.80,563.72,,,,
2026-04-17,560.31,561.51,553.45,553.45,,,,
2026-04-20,556.40,561.81,556.11,558.89,,,,
2026-04-21,560.08,565.86,560.08,563.20,,,,
2026-04-22,561.75,563.12,559.14,562.55,,,,
2026-04-23,563.67,566.28,552.94,559.06,,,,
2026-04-24,560.80,563.18,558.09,562.45,,,,
2026-04-27,567.99,582.30,567.17,579.57,,,,
2026-04-28,577.31,578.32,567.13,569.12,,,,
2026-04-30,566.18,568.27,558.11,562.54,,,,
2026-05-01,563.23,565.73,561.12,563.43,,,,
2026-05-07,570.12,596.11,570.09,590.51,,,,
2026-05-08,588.91,599.35,588.74,598.61,,,,
2026-05-11,601.86,608.43,599.39,600.61,,,,
2026-05-12,603.78,610.88,598.70,603.72,,,,
2026-05-13,599.88,607.99,597.49,606.26,,,,
2026-05-14,606.98,615.75,604.82,604.82,,,,
2026-05-15,610.49,617.15,592.43,598.92,,,,
2026-05-18,600.31,603.03,593.67,600.48,,,,
2026-05-19,603.18,604.97,591.36,594.89,,,,
2026-05-20,590.77,591.63,577.45,584.90,,,,
2026-05-21,590.90,611.60,589.57,608.17,,,,
2026-05-22,612.01,622.62,612.01,620.61,,,,
2026-05-25,627.52,646.13,626.81,643.36,,,,
2026-05-27,642.79,649.76,636.35,636.35,,,,
2026-05-28,632.17,642.79,629.56,639.69,,,,
2026-05-29,646.31,661.90,644.66,655.50,,,,
2026-06-01,654.60,672.82,654.22,660.65,,,,
2026-06-02,658.11,660.71,643.06,659.28,,,,
2026-06-03,665.95,690.37,665.91,684.49,,,,
2026-06-04,676.90,679.26,670.35,678.58,,,,
2026-06-05,673.18,673.55,657.33,668.88,,,,
2026-06-08,657.43,658.37,624.44,630.98,,,,
2026-06-09,637.77,651.70,631.35,649.61,,,,
2026-06-10,644.16,646.83,626.53,630.23,,,,
2026-06-11,621.61,633.39,608.05,631.16,,,,
2026-06-12,638.73,659.33,637.88,642.46,,,,
2026-06-15,653.02,680.84,652.30,679.11,,,,
2026-06-16,679.94,689.34,677.76,681.45,,,,
2026-06-17,674.86,691.76,674.36,690.35,,,,
2026-06-18,694.36,716.23,694.36,707.45,,,,
2026-06-19,714.43,717.78,700.14,708.82,,,,
2026-06-22,708.23,730.01,708.23,723.56,,,,
2026-06-23,723.81,726.72,690.93,690.93,,,,
2026-06-24,689.99,698.18,678.27,688.32,,,,
2026-06-25,695.28,717.49,695.28,713.49,,,,
2026-06-26,704.06,708.33,678.90,686.10,,,,
2026-06-29,686.09,689.31,669.62,689.30,,,,
2026-06-30,694.92,707.85,689.28,699.60,,,,
2026-07-01,710.12,725.08,706.71,713.03,,,,
2026-07-02,706.86,706.86,687.03,687.93,,,,
2026-07-03,683.63,697.24,668.58,697.08,,,,
2026-07-06,701.47,704.83,680.94,691.54,,,,
2026-07-07,686.57,694.03,669.92,672.59,,,,
2026-07-08,664.16,673.79,653.73,653.73,,,,
2026-07-09,658.76,674.40,658.75,669.36,,,,
2026-07-10,675.60,685.54,674.26,676.18,,,,
2026-07-13,675.60,680.64,649.81,657.66,,,,
2026-07-14,654.58,660.00,645.40,659.04,,,,
2026-07-15,662.07,671.65,657.28,671.65,,,,
2026-07-16,662.56,663.40,648.50,651.28,,,,
2026-07-17,642.81,643.60,603.15,619.48,,,,
2026-07-21,621.28,638.51,617.61,638.10,,,,
2026-07-22,643.03,658.50,641.76,642.32,,,,
2026-07-23,646.18,655.25,643.18,645.36,,,,
2026-07-24,637.89,640.26,623.16,628.51,,,,
2026-07-27,634.58,636.78,626.32,636.78,,,,
2026-07-28,628.49,628.95,595.20,599.13,,,,
2026-07-29,600.34,608.04,574.18,585.90,,,,
2026-07-30,587.47,612.91,584.19,602.26,,,,
2026-07-31,607.58,644.49,607.28,637.06,,,,
2026-08-03,630.44,634.80,620.03,629.06,,,,
2026-08-04,635.13,638.41,622.00,636.66,,,,
2026-08-05,645.37,662.84,645.18,661.29,,,,
2026-08-06,657.73,658.59,643.02,648.97,,,,
2026-08-07,650.91,654.30,634.77,647.32,,,,
2026-08-10,651.97,660.74,649.86,659.71,,,,
2026-08-12,659.38,668.68,654.78,667.91,,,,
2026-08-13,673.11,684.73,673.11,679.92,,,,
2026-08-14,685.08,696.32,685.08,688.50,,,,
2026-08-17,686.90,688.66,681.22,687.58,,,,
2026-08-18,684.98,685.93,662.61,663.52,,,,
2026-08-19,653.98,654.38,635.80,637.75,,,,
2026-08-20,640.41,644.16,638.02,642.28,,,,
2026-08-21,634.45,641.87,631.77,640.33,,,,
2026-08-24,643.54,649.06,639.98,640.69,,,,
2026-08-25,636.43,643.93,628.47,643.76,,,,
2026-08-26,641.72,648.47,637.42,646.02,,,,
2026-08-27,652.17,656.59,644.90,649.16,,,,
2026-08-28,653.99,660.80,652.68,654.45,,,,
2026-08-31,646.54,652.99,638.46,652.39,,,,
2026-09-01,646.34,655.57,644.20,652.03,,,,
