Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,427.41,428.14,422.83,422.83,,,,
2026-01-29,420.19,424.23,418.19,424.17,,,,2026-01-30,426.37,428.16,424.39,427.92,,,,
2026-02-02,433.88,435.20,431.63,431.88,,,,
2026-02-03,431.53,437.08,431.29,436.41,,,,
2026-02-04,436.48,441.80,434.85,440.40,,,,
2026-02-05,446.55,448.68,444.45,447.02,,,,
2026-02-06,450.34,457.42,448.84,457.42,,,,
2026-02-09,460.70,465.52,459.57,464.82,,,,
2026-02-10,462.12,466.99,462.04,462.24,,,,
2026-02-12,463.50,468.84,462.05,465.69,,,,
2026-02-13,465.23,468.15,461.01,467.47,,,,
2026-02-16,468.13,472.30,466.91,467.31,,,,
2026-02-17,465.96,465.96,462.75,465.30,,,,
2026-02-18,466.10,469.14,465.50,467.14,,,,
2026-02-19,466.13,469.44,462.99,467.91,,,,
2026-02-20,466.11,466.61,463.62,465.86,,,,
2026-02-24,469.17,472.66,466.68,471.30,,,,
2026-02-25,473.41,477.10,471.56,477.10,,,,
2026-02-26,477.48,480.06,474.00,474.22,,,,
2026-02-27,474.53,479.53,474.29,479.08,,,,
2026-03-02,474.18,479.89,473.29,477.70,,,,
2026-03-03,471.89,472.69,464.92,465.32,,,,
2026-03-04,459.29,459.29,452.78,456.36,,,,
2026-03-05,462.64,466.48,454.91,454.91,,,,
2026-03-06,453.10,457.29,450.74,456.24,,,,
2026-03-09,448.69,452.90,445.00,451.19,,,,
2026-03-10,454.51,456.41,450.34,452.19,,,,
2026-03-11,455.96,457.62,453.25,454.02,,,,
