Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,1243.46,1248.52,1238.89,1243.34,,,,
2026-01-29,1247.19,1252.67,1236.13,1239.86,,,,2026-01-30,1234.78,1242.96,1229.82,1232.54,,,,
2026-02-02,1221.57,1243.76,1211.22,1243.02,,,,
2026-02-03,1228.60,1228.60,1202.87,1204.49,,,,
2026-02-04,1206.90,1212.32,1200.15,1201.24,,,,
2026-02-05,1196.80,1206.65,1191.27,1202.32,,,,
2026-02-06,1206.89,1215.06,1186.93,1186.93,,,,
2026-02-09,1168.89,1169.60,1146.46,1159.75,,,,
2026-02-10,1151.05,1151.75,1135.16,1137.71,,,,
2026-02-12,1137.94,1138.96,1127.81,1129.75,,,,
2026-02-13,1133.93,1149.18,1132.91,1148.16,,,,
2026-02-16,1147.24,1158.49,1145.86,1157.57,,,,
2026-02-17,1159.31,1169.96,1155.25,1165.44,,,,
2026-02-18,1157.98,1157.98,1148.19,1151.34,,,,
2026-02-19,1146.62,1148.92,1135.91,1137.75,,,,
2026-02-20,1148.44,1154.59,1148.10,1150.61,,,,
2026-02-24,1151.65,1155.10,1145.78,1148.31,,,,
2026-02-25,1144.98,1150.61,1134.65,1140.16,,,,
2026-02-26,1130.01,1130.47,1122.49,1129.10,,,,
2026-02-27,1130.00,1130.00,1112.16,1112.16,,,,
2026-03-02,1128.18,1144.41,1123.50,1123.50,,,,
2026-03-03,1134.40,1162.26,1130.69,1159.90,,,,
2026-03-04,1175.79,1215.92,1175.56,1202.47,,,,
2026-03-05,1181.79,1186.12,1154.97,1179.62,,,,
2026-03-06,1191.53,1195.66,1173.84,1175.02,,,,
2026-03-09,1196.41,1245.76,1196.41,1219.67,,,,
2026-03-10,1204.42,1204.42,1180.15,1189.54,,,,
2026-03-11,1175.74,1179.67,1164.56,1178.36,,,,
2026-03-12,1190.97,1204.87,1188.85,1193.91,,,,
2026-03-13,1210.27,1212.89,1194.63,1200.72,,,,
2026-03-16,1203.96,1214.89,1197.48,1206.72,,,,
2026-03-17,1194.29,1206.00,1187.05,1201.29,,,,
2026-03-18,1191.80,1192.04,1171.38,1171.38,,,,
2026-03-19,1190.12,1205.47,1188.95,1205.47,,,,
2026-03-23,1225.12,1259.48,1225.00,1246.58,,,,
2026-03-24,1225.51,1233.12,1214.92,1220.40,,,,
2026-03-25,1201.73,1201.73,1185.98,1189.04,,,,
2026-03-26,1186.07,1202.00,1181.79,1191.66,,,,
2026-03-27,1196.43,1205.96,1184.75,1189.40,,,,
2026-03-30,1221.87,1246.49,1221.87,1224.37,,,,
2026-03-31,1232.94,1244.69,1212.49,1239.80,,,,
2026-04-01,1218.85,1220.09,1178.43,1178.43,,,,
2026-04-02,1170.18,1200.47,1163.82,1197.40,,,,
2026-04-03,1187.22,1190.93,1180.16,1186.26,,,,
2026-04-06,1184.96,1186.62,1174.16,1186.38,,,,
2026-04-07,1182.46,1188.87,1173.21,1183.41,,,,
2026-04-08,1163.41,1163.41,1142.35,1144.12,,,,
2026-04-09,1144.12,1155.56,1140.80,1154.42,,,,
2026-04-10,1151.19,1155.81,1148.30,1154.88,,,,
2026-04-13,1161.35,1165.04,1151.30,1160.08,,,,
2026-04-14,1149.64,1152.54,1145.46,1149.99,,,,
2026-04-15,1141.25,1147.46,1137.80,1145.39,,,,
2026-04-16,1139.89,1140.12,1129.13,1131.99,,,,
2026-04-17,1136.97,1147.95,1136.63,1147.95,,,,
2026-04-20,1140.03,1144.16,1137.85,1143.01,,,,
2026-04-21,1143.47,1145.64,1139.35,1145.07,,,,
2026-04-22,1148.96,1156.64,1148.96,1152.74,,,,
2026-04-23,1155.85,1171.88,1152.05,1161.50,,,,
2026-04-24,1158.13,1165.22,1156.62,1161.38,,,,
2026-04-27,1164.17,1169.63,1149.77,1155.57,,,,
2026-04-28,1150.14,1153.72,1144.13,1144.13,,,,
2026-04-30,1152.60,1165.30,1151.91,1157.75,,,,
2026-05-01,1161.69,1168.52,1153.47,1157.29,,,,
2026-05-07,1147.68,1147.68,1116.21,1122.57,,,,
2026-05-08,1126.16,1133.91,1125.26,1125.83,,,,
2026-05-11,1123.80,1126.28,1114.68,1122.45,,,,
2026-05-12,1118.18,1123.12,1107.63,1113.13,,,,
2026-05-13,1112.91,1112.91,1097.77,1099.77,,,,
2026-05-14,1101.09,1111.54,1099.77,1111.10,,,,
2026-05-15,1106.99,1124.88,1097.21,1115.43,,,,
2026-05-18,1114.43,1129.82,1113.76,1126.25,,,,
2026-05-19,1115.78,1124.11,1111.16,1119.15,,,,
2026-05-20,1119.04,1144.00,1119.04,1136.27,,,,
2026-05-21,1125.93,1128.43,1110.36,1117.64,,,,
