Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,93.45,94.21,92.77,93.43,,,,
2026-01-29,94.01,94.83,92.35,92.91,,,,2026-01-30,92.15,93.37,91.40,91.81,,,,
2026-02-02,90.18,93.48,88.63,93.37,,,,
2026-02-03,91.20,91.20,87.34,87.58,,,,
2026-02-04,87.93,88.72,86.95,87.11,,,,
2026-02-05,86.47,87.89,85.66,87.27,,,,
2026-02-06,87.93,89.12,85.04,85.04,,,,
2026-02-09,82.45,82.56,79.24,81.15,,,,
2026-02-10,79.93,80.03,77.71,78.07,,,,
2026-02-12,78.10,78.24,76.71,76.98,,,,
2026-02-13,77.55,79.63,77.41,79.49,,,,
2026-02-16,79.36,80.92,79.17,80.79,,,,
2026-02-17,81.03,82.52,80.47,81.89,,,,
2026-02-18,80.84,80.84,79.47,79.91,,,,
2026-02-19,79.25,79.57,77.77,78.02,,,,
2026-02-20,79.49,80.33,79.44,79.78,,,,
2026-02-24,79.92,80.40,79.11,79.46,,,,
2026-02-25,79.00,79.78,77.57,78.33,,,,
2026-02-26,76.94,77.00,75.90,76.81,,,,
2026-02-27,76.93,76.93,74.51,74.51,,,,
2026-03-02,76.66,78.83,76.03,76.03,,,,
2026-03-03,77.50,81.28,77.00,80.96,,,,
2026-03-04,83.18,88.78,83.15,86.90,,,,
2026-03-05,83.91,84.54,80.03,83.60,,,,
2026-03-06,85.29,85.87,82.78,82.95,,,,
2026-03-09,85.97,92.94,85.97,89.25,,,,
2026-03-10,87.02,87.02,83.47,84.84,,,,
2026-03-11,82.87,83.43,81.28,83.25,,,,
2026-03-12,85.03,87.00,84.73,85.45,,,,
2026-03-13,87.79,88.17,85.55,86.42,,,,
2026-03-16,86.89,88.46,85.95,87.28,,,,
2026-03-17,85.48,87.18,84.43,86.49,,,,
2026-03-18,85.12,85.16,82.18,82.18,,,,
2026-03-19,84.81,86.96,84.65,86.96,,,,
2026-03-23,89.79,94.75,89.78,92.89,,,,
2026-03-24,89.75,90.88,88.17,88.99,,,,
2026-03-25,86.27,86.27,83.97,84.42,,,,
2026-03-26,84.00,86.26,83.39,84.79,,,,
2026-03-27,85.47,86.82,83.81,84.47,,,,
2026-03-30,89.08,92.58,89.08,89.44,,,,
2026-03-31,90.69,92.41,87.70,91.69,,,,
2026-04-01,88.59,88.77,82.61,82.61,,,,
2026-04-02,81.45,85.70,80.56,85.27,,,,
2026-04-03,83.82,84.35,82.81,83.68,,,,
2026-04-06,83.50,83.73,81.97,83.70,,,,
2026-04-07,83.15,84.05,81.84,83.28,,,,
2026-04-08,80.47,80.47,77.50,77.75,,,,
2026-04-09,77.75,79.31,77.30,79.15,,,,
2026-04-10,78.71,79.34,78.31,79.21,,,,
2026-04-13,80.10,80.60,78.72,79.92,,,,
2026-04-14,78.48,78.88,77.91,78.53,,,,
2026-04-15,77.34,78.18,76.87,77.90,,,,
2026-04-16,77.15,77.18,75.69,76.08,,,,
2026-04-17,76.75,78.23,76.70,78.23,,,,
2026-04-20,77.15,77.71,76.85,77.56,,,,
2026-04-21,77.62,77.92,77.06,77.84,,,,
2026-04-22,78.37,79.41,78.37,78.88,,,,
2026-04-23,79.31,81.50,78.79,80.08,,,,
2026-04-24,79.62,80.59,79.41,80.06,,,,
2026-04-27,80.44,81.20,78.46,79.26,,,,
2026-04-28,78.51,79.01,77.69,77.69,,,,
2026-04-30,78.84,80.56,78.75,79.54,,,,
2026-05-01,80.08,81.02,78.95,79.48,,,,
2026-05-07,78.16,78.16,73.84,74.71,,,,
2026-05-08,75.19,76.22,75.07,75.14,,,,
2026-05-11,74.87,75.20,73.65,74.69,,,,
2026-05-12,74.12,74.78,72.72,73.45,,,,
2026-05-13,73.42,73.42,71.42,71.69,,,,
2026-05-14,71.86,73.22,71.69,73.17,,,,
2026-05-15,72.63,74.98,71.34,73.74,,,,
2026-05-18,73.61,75.64,73.52,75.17,,,,
2026-05-19,73.77,74.88,73.16,74.22,,,,
2026-05-20,74.21,77.52,74.21,76.49,,,,
2026-05-21,75.10,75.43,73.00,73.98,,,,
2026-05-22,73.54,73.89,72.01,72.50,,,,
2026-05-25,72.09,72.49,70.21,70.63,,,,
2026-05-27,70.27,71.52,69.61,71.51,,,,
2026-05-28,71.94,73.47,71.61,72.10,,,,
2026-05-29,71.62,71.62,69.06,70.07,,,,
2026-06-01,70.57,71.05,69.57,70.66,,,,
2026-06-02,71.73,73.01,71.25,71.25,,,,
2026-06-03,70.44,70.44,67.93,68.64,,,,
2026-06-04,69.60,70.82,69.52,70.16,,,,
2026-06-05,69.78,70.88,69.65,70.26,,,,
2026-06-08,71.65,74.84,71.19,73.70,,,,
2026-06-09,72.27,73.54,71.87,72.02,,,,
