Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,141813.54,142880.02,140631.76,141842.36,,,,
2026-01-29,140962.94,143487.73,139714.72,142636.68,,,,2026-01-30,143806.30,144947.39,141923.50,144319.79,,,,
2026-02-02,146888.68,149313.25,141693.17,141866.35,,,,
2026-02-03,145157.65,151030.92,145157.65,150662.06,,,,
2026-02-04,150059.41,151746.83,148703.45,151475.64,,,,
2026-02-05,152596.56,153990.14,150112.36,151202.98,,,,
2026-02-06,150053.84,155073.78,147997.48,155073.78,,,,
2026-02-09,159788.02,165649.81,159601.93,162176.16,,,,
2026-02-10,164608.80,169052.43,164414.19,168338.85,,,,
2026-02-12,168271.51,171267.95,167968.50,170695.59,,,,
2026-02-13,169432.44,169739.69,164823.66,165130.91,,,,
2026-02-16,165395.12,165791.43,162158.55,162422.76,,,,
2026-02-17,161935.49,163072.45,158946.91,160213.81,,,,
2026-02-18,162264.55,164956.14,162264.55,164090.98,,,,
2026-02-19,165436.53,168488.62,164780.16,167963.53,,,,
2026-02-20,164805.82,164906.59,162991.81,164167.55,,,,
2026-02-24,163872.05,165546.56,162887.04,164824.22,,,,
2026-02-25,165780.20,168747.04,164164.92,167164.72,,,,
2026-02-26,170140.25,172346.83,170006.52,170407.72,,,,
2026-02-27,170135.07,175519.95,170135.07,175519.95,,,,
2026-03-02,170464.98,171939.34,165339.79,171939.34,,,,
2026-03-03,168603.72,169738.52,160075.53,160797.67,,,,
2026-03-04,156391.81,156456.13,145264.62,148995.12,,,,
2026-03-05,154120.55,160765.73,153047.79,154656.93,,,,
2026-03-06,151532.86,156172.57,150450.26,155863.25,,,,
2026-03-09,150189.83,150189.83,137097.31,144017.64,,,,
2026-03-10,147618.08,153349.98,147618.08,151132.11,,,,
2026-03-11,154638.37,157479.66,153640.90,153973.39,,,,
2026-03-12,150678.36,151232.66,147044.59,149908.49,,,,
2026-03-13,145801.00,149728.60,145141.40,148199.53,,,,
2026-03-16,147399.25,148999.81,144702.02,146717.53,,,,
2026-03-17,149739.91,151500.52,146893.59,148037.99,,,,
2026-03-18,150376.99,155410.28,150317.78,155410.28,,,,
2026-03-19,150437.15,150747.97,146365.40,146365.40,,,,
2026-03-23,141593.89,141623.16,133251.06,136383.28,,,,
2026-03-24,140993.03,143311.55,139329.16,142111.38,,,,
2026-03-25,146459.99,150126.46,146459.99,149415.90,,,,
2026-03-26,150162.98,151238.77,146158.63,148758.47,,,,
2026-03-27,147568.40,150484.07,145188.27,149323.75,,,,
2026-03-30,141170.67,141170.67,134988.67,140543.51,,,,
2026-03-31,138575.90,143270.05,135877.47,137001.81,,,,
2026-04-01,141632.47,150564.99,141358.47,150564.99,,,,
2026-04-02,152672.90,154299.00,144933.86,145716.80,,,,
2026-04-03,148193.99,149913.44,147290.54,148427.13,,,,
2026-04-06,148753.67,151455.04,148338.07,148397.44,,,,
