Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-11,583.25,583.25,583.25,583.25,,,,
2026-06-15,589.75,589.75,589.75,589.75,,,,
2026-06-16,596,596,596,596,,,,
2026-06-17,612.75,612.75,612.75,612.75,,,,
2026-06-18,605,605,605,605,,,,
2026-06-19,605,605,605,605,,,,
2026-06-22,597.5,597.5,597.5,597.5,,,,
2026-06-23,586.75,586.75,586.75,586.75,,,,
2026-06-24,585.75,585.75,585.75,585.75,,,,
2026-06-25,591,591,591,591,,,,
2026-06-26,577.25,577.25,577.25,577.25,,,,
2026-06-29,569.5,569.5,569.5,569.5,,,,
2026-06-30,580.75,580.75,580.75,580.75,,,,
2026-07-01,592,592,592,592,,,,
2026-07-02,591.5,591.5,591.5,591.5,,,,
2026-07-03,591.5,591.5,591.5,591.5,,,,
2026-07-06,606,606,606,606,,,,
2026-07-07,609.25,609.25,609.25,609.25,,,,
2026-07-08,599.5,599.5,599.5,599.5,,,,
2026-07-09,611.25,611.25,611.25,611.25,,,,
2026-07-10,630,630,630,630,,,,
2026-07-13,627,627,627,627,,,,
2026-07-14,631.25,631.25,631.25,631.25,,,,
2026-07-15,677.5,677.5,677.5,677.5,,,,
2026-07-16,674.75,674.75,674.75,674.75,,,,
2026-07-17,684.75,684.75,684.75,684.75,,,,
2026-07-20,674,674,674,674,,,,
2026-07-21,678,678,678,678,,,,
2026-07-22,705.75,705.75,705.75,705.75,,,,
2026-07-23,696.25,696.25,696.25,696.25,,,,
2026-07-24,679,679,679,679,,,,
2026-07-27,660,660,660,660,,,,
2026-07-28,662.5,662.5,662.5,662.5,,,,
2026-07-29,660.75,660.75,660.75,660.75,,,,
