Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,6498.08,6498.08,6424.70,6462.14,,,,
2026-01-29,6399.28,6410.45,6362.44,6382.77,,,,2026-01-30,6415.75,6502.66,6401.96,6444.96,,,,
2026-02-02,6414.53,6452.42,6367.88,6406.92,,,,
2026-02-03,6457.20,6544.83,6424.57,6509.08,,,,
2026-02-04,6385.79,6386.47,6046.35,6102.10,,,,
2026-02-05,6074.33,6106.69,6034.76,6055.68,,,,
2026-02-06,6004.43,6004.43,5901.22,5960.79,,,,
2026-02-09,6062.05,6151.54,6061.87,6111.07,,,,
2026-02-10,6182.44,6307.56,6173.94,6252.30,,,,
2026-02-12,6258.04,6274.58,6154.25,6172.62,,,,
2026-02-13,6171.78,6186.77,6034.34,6098.02,,,,
2026-02-16,6167.66,6298.41,6131.96,6131.96,,,,
2026-02-17,6120.80,6204.70,6120.68,6145.80,,,,
2026-02-18,6185.74,6245.44,6148.13,6242.66,,,,
2026-02-19,6291.05,6304.34,6227.21,6268.92,,,,
2026-02-20,6253.83,6294.94,6225.33,6249.30,,,,
2026-02-24,6258.34,6315.13,6250.89,6266.31,,,,
2026-02-25,6231.87,6273.93,6201.12,6242.98,,,,
2026-02-26,6293.56,6445.60,6280.58,6378.42,,,,
2026-02-27,6447.46,6545.48,6437.60,6531.66,,,,
2026-03-02,6478.04,6498.22,6368.43,6478.26,,,,
2026-03-03,6380.64,6401.86,6275.43,6299.26,,,,
2026-03-04,6283.19,6342.17,6228.07,6290.53,,,,
2026-03-05,6369.01,6377.23,6223.70,6238.42,,,,
2026-03-06,6243.27,6329.89,6228.63,6296.59,,,,
2026-03-09,6185.58,6185.58,6017.63,6133.97,,,,
2026-03-10,6215.48,6365.00,6215.48,6357.43,,,,
2026-03-11,6449.44,6774.49,6447.32,6700.29,,,,
2026-03-12,6664.65,6743.49,6582.97,6732.05,,,,
2026-03-13,6697.58,6847.54,6673.38,6757.60,,,,
2026-03-16,6807.68,6807.68,6652.75,6685.88,,,,
2026-03-17,6723.20,6747.86,6571.80,6594.97,,,,
2026-03-18,6621.19,6680.13,6553.23,6672.31,,,,
2026-03-19,6566.24,6628.12,6520.72,6520.72,,,,
2026-03-23,6417.05,6417.05,6242.97,6327.09,,,,
2026-03-24,6399.59,6406.86,6150.42,6223.33,,,,
2026-03-25,6253.69,6321.24,6202.65,6244.99,,,,
2026-03-26,6218.44,6279.18,6191.75,6227.20,,,,
2026-03-27,6281.06,6335.55,6237.49,6293.63,,,,
