Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2000-01-03,41.63,43.69,41.63,43.63,28854000,,,
2000-01-04,42.5,43.94,41.13,41.47,25503800,,,
2000-01-05,41.47,42.94,40.25,41.31,26157100,,,
2000-01-06,41.44,41.69,37.5,37.78,27575200,,,
2000-01-07,39.06,41.13,38.69,41,20501500,,,
2000-01-10,42.25,43.63,42.06,43,26753700,,,
2000-01-11,44.14,46.19,44.14,44.88,52711400,,,
2000-01-12,45.31,47.38,44.63,45.59,48658200,,,
2000-01-13,46.13,48.5,44.66,48.44,37986300,,,
2000-01-14,51.53,53.31,49.13,51.53,92202600,,,
2000-01-18,51,52.88,50.13,51.28,51008600,,,
2000-01-19,51.06,51.06,49.75,50.38,22755500,,,
2000-01-20,50.13,50.41,47.59,49.97,34985100,,,
2000-01-21,47.81,49.13,47.81,49,27777500,,,
2000-01-24,49.38,52.44,49,49.13,37399000,,,
2000-01-25,49.31,51.03,48.72,50.75,25690300,,,
2000-01-26,50.39,50.59,47.63,47.63,24546000,,,
2000-01-27,48,50.56,47.75,49.19,30736800,,,
2000-01-28,49.06,49.38,46.53,47,26955300,,,
2000-01-31,47.98,49.53,46.44,49.25,34162200,,,
2000-02-01,49.59,50.75,48.31,50.44,24023400,,,
2000-02-02,50.25,51.47,49.84,50.19,26035700,,,
2000-02-03,50.38,52.31,50.38,52.13,28058500,,,
2000-02-04,51.88,54.13,51.69,52.56,27974400,,,
2000-02-07,52.25,54.06,52.06,53.94,21398000,,,
2000-02-08,54.19,55.03,54,54.69,18611500,,,
2000-02-09,54.44,54.44,52.22,52.31,19280300,,,
2000-02-10,52.25,54.06,51.59,53.63,21759600,,,
2000-02-11,53.81,54.38,52.63,52.94,18820400,,,
2000-02-14,53.13,55.81,52.82,55.81,17173900,,,
2000-02-15,55.47,56.44,52.63,56.03,31364800,,,
2000-02-16,56,56.44,53.5,53.78,23004300,,,
2000-02-17,54.25,56.19,53.94,54.5,24278000,,,
2000-02-18,54.98,55.25,52.5,52.56,25109500,,,
2000-02-22,52.63,53.41,50.78,53.13,22823500,,,
2000-02-23,53.5,55.56,52.16,54.5,20420200,,,
2000-02-24,54.69,58.25,54.5,57.13,42045200,,,
2000-02-25,57.11,57.69,56.41,56.45,22452800,,,
2000-02-28,56.06,57.28,54.13,56.06,23710700,,,
2000-02-29,56.59,57.81,55.66,56.5,22081900,,,
2000-03-01,56.66,58.44,56.25,58.19,20404700,,,
2000-03-02,57.94,58.53,57.06,57.88,18214900,,,
2000-03-03,58,59.88,57.81,59.63,17142500,,,
2000-03-06,59.44,59.44,58.34,58.88,14000100,,,
2000-03-07,58.63,60,57.59,57.88,19958700,,,
2000-03-08,57.88,59,56.13,57.06,23085400,,,
2000-03-09,57.75,59.25,56,59.25,19027000,,,
2000-03-10,58.88,60.31,58.69,60.09,21749400,,,
2000-03-13,59.88,62.75,59.38,61.25,33685900,,,
2000-03-14,61.08,62.81,58.91,59.06,28383400,,,
2000-03-15,59.69,61.56,59.34,60.09,24439200,,,
2000-03-16,60.31,62.69,59.81,62.53,27493400,,,
2000-03-17,62.52,65.05,62,64.97,30366800,,,
2000-03-20,64.97,68.69,64.97,67.69,32580700,,,
