Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-13,183.246,183.246,183.246,183.246,,,,
2026-06-16,198.484,198.484,198.484,198.484,,,,
2026-06-17,195.552,195.552,195.552,195.552,,,,
2026-06-18,190.486,190.486,190.486,190.486,,,,
2026-06-19,184.770,184.770,184.770,184.770,,,,
2026-06-20,182.960,182.960,182.960,182.960,,,,
2026-06-23,182.500,182.500,182.500,182.500,,,,
2026-06-24,178.740,178.740,178.740,178.740,,,,
2026-06-25,173.374,173.374,173.374,173.374,,,,
2026-06-26,169.282,169.282,169.282,169.282,,,,
2026-06-27,169.679,169.679,169.679,169.679,,,,
2026-06-30,171.367,171.367,171.367,171.367,,,,
2026-07-01,168.853,168.853,168.853,168.853,,,,
2026-07-02,171.452,171.452,171.452,171.452,,,,
2026-07-03,174.594,174.594,174.594,174.594,,,,
2026-07-04,182.093,182.093,182.093,182.093,,,,
2026-07-07,185.974,185.974,185.974,185.974,,,,
2026-07-08,181.130,181.130,181.130,181.130,,,,
2026-07-09,177.368,177.368,177.368,177.368,,,,
2026-07-10,177.500,177.500,177.500,177.500,,,,
2026-07-11,178.684,178.684,178.684,178.684,,,,
2026-07-14,172.074,172.074,172.074,172.074,,,,
2026-07-15,179.906,179.906,179.906,179.906,,,,
