Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,1956.57,1968.55,1950.26,1950.26,,,,
2026-01-29,1947.07,1951.78,1925.07,1938.84,,,,2026-01-30,1935.95,1945.82,1924.30,1934.88,,,,
2026-02-02,1944.42,1970.38,1905.11,1907.43,,,,
2026-02-03,1929.87,1985.95,1929.43,1985.95,,,,
2026-02-04,1990.60,2030.34,1986.47,2026.15,,,,
2026-02-05,2033.45,2047.99,2011.93,2026.88,,,,
2026-02-06,2012.01,2031.96,1992.03,2031.52,,,,
2026-02-09,2060.29,2079.98,2057.56,2067.17,,,,
2026-02-10,2067.86,2084.95,2062.32,2075.05,,,,
2026-02-12,2085.30,2116.59,2085.30,2115.64,,,,
2026-02-13,2112.53,2116.70,2086.25,2095.90,,,,
2026-02-16,2108.44,2121.50,2099.46,2115.31,,,,
2026-02-17,2118.88,2150.71,2107.64,2143.79,,,,
2026-02-18,2155.60,2206.39,2155.60,2186.88,,,,
2026-02-19,2191.15,2212.87,2180.39,2207.27,,,,
2026-02-20,2185.78,2197.32,2180.85,2193.75,,,,
2026-02-24,2209.73,2293.24,2207.92,2277.73,,,,
2026-02-25,2293.80,2326.67,2287.44,2303.11,,,,
2026-02-26,2306.24,2312.03,2269.38,2279.70,,,,
2026-02-27,2275.62,2323.31,2265.72,2323.31,,,,
2026-03-02,2286.88,2315.00,2245.58,2315.00,,,,
2026-03-03,2295.21,2327.15,2217.61,2223.16,,,,
2026-03-04,2185.93,2185.93,2065.32,2094.55,,,,
