Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2000-01-03,92.5,100,85,89.66,45664500,,,
2000-01-04,84.63,90.5,80,81,31707300,,,
2000-01-05,81.63,81.63,69.5,76.5,46879800,,,
2000-01-06,78,78,66.5,66.5,29314100,,,
2000-01-07,70.75,75.69,66.46,75.5,34039300,,,
2000-01-10,78.31,81.01,76.25,79.69,17660600,,,
2000-01-11,78.94,78.94,70.75,71.81,15221400,,,
2000-01-12,72.88,73.75,68.13,70,17227100,,,
2000-01-13,71.5,72.81,68.81,71.69,12570500,,,
2000-01-14,71.75,74.47,69.75,70.22,13104800,,,
2000-01-18,70.25,70.61,67.5,68.25,14232500,,,
2000-01-19,68.5,73.5,68.5,73,15344300,,,
2000-01-20,74.5,78,73.56,77,19599300,,,
2000-01-21,77.78,80.22,75.5,77.38,17459200,,,
2000-01-24,78,78.5,69.25,72.5,16060600,,,
2000-01-25,70.88,74.97,66.63,67,19254500,,,
2000-01-26,62.47,65.44,60,62.47,68442200,,,
2000-01-27,62.75,64,58.69,60.19,31269500,,,
2000-01-28,60.59,60.59,52.81,55.09,42809500,,,
2000-01-31,57,64.5,56.09,64.5,40080900,,,
2000-02-01,66,70,65.46,67.19,34779800,,,
2000-02-02,68,72.75,68,70.63,28650200,,,
2000-02-03,71,74,66,69.59,26254500,,,
2000-02-04,69.69,70.94,67.5,68.72,15008500,,,
2000-02-07,67.63,67.63,65.13,66.81,10429600,,,
2000-02-08,66.72,69.88,66.72,69.88,10696800,,,
2000-02-09,69.53,70,66.5,66.75,10064200,,,
2000-02-10,67,68.63,66.5,68.56,7511100,,,
2000-02-11,68.25,68.25,65.75,66.22,6201700,,,
2000-02-14,65,65,62.5,63.34,11672400,,,
2000-02-15,63.5,63.84,60.03,62.94,14969600,,,
2000-02-16,63.59,65.75,60.5,60.97,14980200,,,
2000-02-17,62.19,65.5,61,65.31,17475000,,,
2000-02-18,65.88,69.38,65.88,67.25,21468400,,,
2000-02-22,67.75,67.88,63.13,65,12209400,,,
2000-02-23,66,73.75,65.38,73,26105900,,,
2000-02-24,69.06,71.13,65.19,69.43,25739400,,,
2000-02-25,68.5,71,66.69,67.25,11698700,,,
2000-02-28,68,73.75,67.5,71.63,18188200,,,
2000-02-29,73,74,69.14,71.22,15577100,,,
2000-03-01,70.66,70.66,68.27,69.5,10428500,,,
2000-03-02,69.52,69.56,66,66.75,10061000,,,
2000-03-03,65.75,67.5,63.06,65.94,16966700,,,
2000-03-06,65,69,64.06,66.88,11778200,,,
2000-03-07,67.38,67.38,63.75,64,10709500,,,
2000-03-08,64.25,65.81,62.49,63.56,11312100,,,
2000-03-09,64.58,64.63,62.38,63.31,8604900,,,
2000-03-10,63.48,72.75,61,68.06,41507100,,,
2000-03-13,65,68,63.56,65.36,17555000,,,
2000-03-14,65.5,67.56,62.56,62.94,9107500,,,
2000-03-15,63.25,66.5,62.75,64.19,15692300,,,
2000-03-16,64.63,67,63.25,66.26,11848900,,,
2000-03-17,66.5,68.75,66.31,67.56,15553400,,,
2000-03-20,67.97,67.97,64,64.81,9091900,,,
2000-03-21,65,67.63,62.88,67.31,9241100,,,
2000-03-22,67.25,67.88,65.25,66.59,9665600,,,
2000-03-23,67.5,72.31,66.13,71.97,21207900,,,
