Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,3.18,3.18,3.18,3.18,,,,
2026-06-15,3.16,3.16,3.16,3.16,,,,
2026-06-16,3.22,3.22,3.22,3.22,,,,
2026-06-17,3.22,3.22,3.22,3.22,,,,
2026-06-18,3.24,3.24,3.24,3.24,,,,
2026-06-19,3.15,3.15,3.15,3.15,,,,
2026-06-22,3.23,3.23,3.23,3.23,,,,
2026-06-23,3.15,3.15,3.15,3.15,,,,
2026-06-24,3.16,3.16,3.16,3.16,,,,
2026-06-25,3.16,3.16,3.16,3.16,,,,
2026-06-26,3.1,3.1,3.1,3.1,,,,
2026-06-29,3.17,3.17,3.17,3.17,,,,
2026-06-30,3.19,3.19,3.19,3.19,,,,
2026-07-01,3.17,3.17,3.17,3.17,,,,
2026-07-02,3.25,3.25,3.25,3.25,,,,
2026-07-03,3.34,3.34,3.34,3.34,,,,
2026-07-06,3.39,3.39,3.39,3.39,,,,
2026-07-07,3.34,3.34,3.34,3.34,,,,
2026-07-08,3.28,3.28,3.28,3.28,,,,
2026-07-09,3.28,3.28,3.28,3.28,,,,
2026-07-10,3.31,3.31,3.31,3.31,,,,
2026-07-13,3.3,3.3,3.3,3.3,,,,
2026-07-14,3.32,3.32,3.32,3.32,,,,
2026-07-15,3.37,3.37,3.37,3.37,,,,
2026-07-16,3.3,3.3,3.3,3.3,,,,
2026-07-17,3.21,3.21,3.21,3.21,,,,
2026-07-21,3.25,3.25,3.25,3.25,,,,
2026-07-22,3.23,3.23,3.23,3.23,,,,
2026-07-23,3.24,3.24,3.24,3.24,,,,
2026-07-24,3.18,3.18,3.18,3.18,,,,
2026-07-27,3.22,3.22,3.22,3.22,,,,
2026-07-28,3.16,3.16,3.16,3.16,,,,
2026-07-29,3.12,3.12,3.12,3.12,,,,
2026-07-30,3.11,3.11,3.11,3.11,,,,
2026-07-31,3.18,3.18,3.18,3.18,,,,
2026-08-03,3.18,3.18,3.18,3.18,,,,
2026-08-04,3.25,3.25,3.25,3.25,,,,
2026-08-05,3.32,3.32,3.32,3.32,,,,
2026-08-06,3.3,3.3,3.3,3.3,,,,
2026-08-07,3.31,3.31,3.31,3.31,,,,
2026-08-10,3.37,3.37,3.37,3.37,,,,
2026-08-12,3.42,3.42,3.42,3.42,,,,
2026-08-13,3.39,3.39,3.39,3.39,,,,
2026-08-14,3.44,3.44,3.44,3.44,,,,
2026-08-17,3.47,3.47,3.47,3.47,,,,
2026-08-18,3.43,3.43,3.43,3.43,,,,
2026-08-19,3.37,3.37,3.37,3.37,,,,
2026-08-20,3.52,3.52,3.52,3.52,,,,
2026-08-21,3.5,3.5,3.5,3.5,,,,
2026-08-24,3.51,3.51,3.51,3.51,,,,
