Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,32.11,32.11,32.11,32.11,,,,
2026-06-15,33.2,33.2,33.2,33.2,,,,
2026-06-16,33.21,33.21,33.21,33.21,,,,
2026-06-17,33.31,33.31,33.31,33.31,,,,
2026-06-18,33.44,33.44,33.44,33.44,,,,
2026-06-19,32.6,32.6,32.6,32.6,,,,
2026-06-22,33.31,33.31,33.31,33.31,,,,
2026-06-23,32.43,32.43,32.43,32.43,,,,
2026-06-24,32.51,32.51,32.51,32.51,,,,
2026-06-25,32.55,32.55,32.55,32.55,,,,
2026-06-26,31.83,31.83,31.83,31.83,,,,
2026-06-29,32.59,32.59,32.59,32.59,,,,
2026-06-30,32.69,32.69,32.69,32.69,,,,
2026-07-01,32.81,32.81,32.81,32.81,,,,
2026-07-02,33.5,33.5,33.5,33.5,,,,
2026-07-03,34.45,34.45,34.45,34.45,,,,
2026-07-06,34.93,34.93,34.93,34.93,,,,
2026-07-07,34.51,34.51,34.51,34.51,,,,
2026-07-08,33.8,33.8,33.8,33.8,,,,
2026-07-09,33.86,33.86,33.86,33.86,,,,
2026-07-10,34.11,34.11,34.11,34.11,,,,
2026-07-13,34.24,34.24,34.24,34.24,,,,
2026-07-14,34.54,34.54,34.54,34.54,,,,
2026-07-15,34.1,34.1,34.1,34.1,,,,
2026-07-16,33.4,33.4,33.4,33.4,,,,
2026-07-17,32.41,32.41,32.41,32.41,,,,
2026-07-21,32.84,32.84,32.84,32.84,,,,
2026-07-22,33.65,33.65,33.65,33.65,,,,
2026-07-23,33.72,33.72,33.72,33.72,,,,
2026-07-24,33.12,33.12,33.12,33.12,,,,
2026-07-27,33.54,33.54,33.54,33.54,,,,
2026-07-28,32.86,32.86,32.86,32.86,,,,
2026-07-29,32.33,32.33,32.33,32.33,,,,
