Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,8.9237,8.9237,8.9237,8.9237,,,,
2026-06-15,8.7621,8.7621,8.7621,8.7621,,,,
2026-06-16,8.9382,8.9382,8.9382,8.9382,,,,
2026-06-17,8.9715,8.9715,8.9715,8.9715,,,,
2026-06-18,9.0033,9.0033,9.0033,9.0033,,,,
2026-06-19,8.7760,8.7760,8.7760,8.7760,,,,
2026-06-22,8.9980,8.9980,8.9980,8.9980,,,,
2026-06-23,8.7676,8.7676,8.7676,8.7676,,,,
2026-06-24,8.7891,8.7891,8.7891,8.7891,,,,
2026-06-25,8.8007,8.8007,8.8007,8.8007,,,,
2026-06-26,8.6324,8.6324,8.6324,8.6324,,,,
2026-06-29,8.8378,8.8378,8.8378,8.8378,,,,
2026-06-30,8.8843,8.8843,8.8843,8.8843,,,,
2026-07-01,8.8319,8.8319,8.8319,8.8319,,,,
2026-07-02,9.0394,9.0394,9.0394,9.0394,,,,
2026-07-03,9.2973,9.2973,9.2973,9.2973,,,,
2026-07-06,9.4275,9.4275,9.4275,9.4275,,,,
2026-07-07,9.3142,9.3142,9.3142,9.3142,,,,
2026-07-08,9.1374,9.1374,9.1374,9.1374,,,,
2026-07-09,9.1536,9.1536,9.1536,9.1536,,,,
2026-07-10,9.2214,9.2214,9.2214,9.2214,,,,
2026-07-13,9.2080,9.2080,9.2080,9.2080,,,,
2026-07-14,9.2755,9.2755,9.2755,9.2755,,,,
2026-07-15,9.4888,9.4888,9.4888,9.4888,,,,
2026-07-16,9.3292,9.3292,9.3292,9.3292,,,,
2026-07-17,9.0286,9.0286,9.0286,9.0286,,,,
2026-07-21,9.1501,9.1501,9.1501,9.1501,,,,
2026-07-22,9.1427,9.1427,9.1427,9.1427,,,,
2026-07-23,9.1624,9.1624,9.1624,9.1624,,,,
2026-07-24,9.0000,9.0000,9.0000,9.0000,,,,
2026-07-27,9.1143,9.1143,9.1143,9.1143,,,,
2026-07-28,8.9327,8.9327,8.9327,8.9327,,,,
2026-07-29,8.8714,8.8714,8.8714,8.8714,,,,
2026-07-30,8.8411,8.8411,8.8411,8.8411,,,,
2026-07-31,9.0318,9.0318,9.0318,9.0318,,,,
2026-08-03,9.0531,9.0531,9.0531,9.0531,,,,
2026-08-04,9.2364,9.2364,9.2364,9.2364,,,,
2026-08-05,9.4415,9.4415,9.4415,9.4415,,,,
2026-08-06,9.3955,9.3955,9.3955,9.3955,,,,
2026-08-07,9.4197,9.4197,9.4197,9.4197,,,,
2026-08-10,9.5358,9.5358,9.5358,9.5358,,,,
2026-08-12,9.6782,9.6782,9.6782,9.6782,,,,
2026-08-13,9.6355,9.6355,9.6355,9.6355,,,,
2026-08-14,9.8256,9.8256,9.8256,9.8256,,,,
2026-08-17,9.9028,9.9028,9.9028,9.9028,,,,
