Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2005-09-29,11880,11980,11800,11860,370194,,,
2005-09-30,11880,12000,11760,11760,423859,,,
2005-10-04,11800,12140,11800,12060,539721,,,
2005-10-05,12080,12280,11960,12020,437486,,,
2005-10-06,11900,11900,11700,11740,414333,,,
2005-10-07,11560,11760,11520,11660,512056,,,
2005-10-10,11680,11940,11660,11860,301603,,,
2005-10-11,11760,11980,11740,11960,213911,,,
2005-10-12,11860,11880,11540,11560,531944,,,
2005-10-13,11420,11480,11160,11300,720716,,,
2005-10-14,11300,11440,11200,11300,626110,,,
2005-10-18,11280,11380,11260,11320,351773,,,
2005-10-19,11200,11220,11000,11040,370955,,,
2005-10-20,11200,11220,11040,11120,356996,,,
2005-10-21,11000,11320,10980,11280,400665,,,
2005-10-24,11320,11420,11220,11320,329743,,,
2005-10-25,11440,11560,11280,11300,365383,,,
2005-10-26,11240,11320,11180,11260,300047,,,
2005-10-27,11260,11360,11120,11160,386620,,,
2005-10-28,10980,11020,10900,10920,432296,,,
2005-10-31,10980,11100,10960,11060,384070,,,
2005-11-01,11200,11360,11180,11300,583119,,,
2005-11-02,11280,11600,11280,11500,314320,,,
2005-11-03,11760,11840,11700,11740,447880,,,
2005-11-04,11940,12000,11860,11980,496143,,,
2005-11-07,12040,12060,11820,11960,256692,,,
2005-11-08,12000,12060,11940,12040,241311,,,
2005-11-09,12020,12140,11920,12000,298809,,,
2005-11-10,12020,12140,11980,12100,341609,,,
2005-11-11,12340,12480,12280,12360,590493,,,
2005-11-14,12420,12580,12320,12520,418632,,,
2005-11-15,12520,12580,12220,12400,281275,,,
2005-11-16,12320,12600,12320,12600,280777,,,
2005-11-17,12540,12560,12380,12480,250852,,,
2005-11-18,12500,12600,12380,12520,283266,,,
2005-11-21,12640,12640,12240,12360,481272,,,
2005-11-22,12220,12240,11740,11840,911285,,,
2005-11-23,12000,12260,11980,12140,847798,,,
2005-11-24,12360,12360,12100,12160,303108,,,
2005-11-25,12160,12220,11920,12000,313171,,,
2005-11-28,12000,12060,11920,12020,188687,,,
2005-11-29,11960,12040,11760,11880,343181,,,
2005-11-30,11860,12080,11860,12000,346169,,,
2005-12-01,11920,12160,11900,12100,387154,,,
2005-12-02,12400,12460,12280,12340,386858,,,
2005-12-05,12440,12500,12360,12460,248366,,,
2005-12-06,12380,12620,12340,12600,422284,,,
2005-12-07,12600,12900,12480,12780,530626,,,
2005-12-08,12700,12800,12520,12640,538093,,,
2005-12-09,12560,12620,12260,12420,460545,,,
2005-12-12,12440,12560,12340,12360,371779,,,
2005-12-13,12420,12460,12260,12400,331923,,,
2005-12-14,12440,12540,12160,12220,526007,,,
2005-12-15,12180,12320,12020,12180,372141,,,
2005-12-16,12120,12120,11860,12000,588172,,,
2005-12-19,12140,12280,12040,12180,359755,,,
2005-12-20,12060,12280,12040,12240,343970,,,
2005-12-21,12280,12700,12280,12560,506747,,,
2005-12-23,12840,13040,12720,12900,573167,,,
2005-12-27,13180,13280,12960,13220,360067,,,
2005-12-28,13160,13260,13100,13220,428065,,,
2005-12-29,13200,13400,13140,13160,418330,,,
2006-01-02,13280,13360,13120,13200,339718,,,
2006-01-03,13200,13320,13120,13280,347711,,,
2006-01-04,13500,14000,13460,13940,772090,,,
2006-01-05,13900,13900,13420,13580,515675,,,
2006-01-06,13700,13760,13580,13680,347891,,,
2006-01-09,13900,13940,13660,13740,299903,,,
2006-01-10,13900,14020,13760,14020,472853,,,
2006-01-11,13860,13960,13580,13680,349272,,,
2006-01-12,13680,13840,13620,13720,402343,,,
2006-01-13,13540,13880,13360,13840,473972,,,
2006-01-16,14000,14140,13920,14120,382831,,,
2006-01-17,14140,14420,13940,13940,426578,,,
2006-01-18,13700,13780,13460,13600,606936,,,
2006-01-19,13640,13900,13600,13800,390540,,,
2006-01-20,14040,14160,13700,13740,460810,,,
2006-01-23,13540,13900,13420,13700,536305,,,
2006-01-24,13660,14000,13600,13940,580544,,,
2006-01-25,14180,14400,14100,14220,584807,,,
2006-01-26,14280,14360,14100,14340,371125,,,
2006-01-27,14400,14480,14260,14400,313566,,,
2006-01-31,14460,14820,14380,14800,446467,,,
2006-02-01,14700,14860,14460,14580,440167,,,
2006-02-02,14760,14780,14400,14500,381831,,,
2006-02-03,14360,14360,14040,14080,444154,,,
2006-02-06,14000,14120,13860,14120,425845,,,
2006-02-07,14180,14600,14120,14120,331711,,,
2006-02-08,14000,14180,13700,13820,382292,,,
2006-02-09,13920,13940,13740,13860,367665,,,
2006-02-10,13840,13920,13580,13740,436995,,,
2006-02-13,13720,13740,13360,13500,483798,,,
2006-02-14,13400,13540,13260,13460,519657,,,
2006-02-15,13560,13560,13080,13080,668397,,,
2006-02-16,13020,13140,12920,13140,494984,,,
2006-02-17,13220,13480,13200,13460,435813,,,
2006-02-20,13360,13680,13340,13660,326641,,,
2006-02-21,13640,13660,13400,13460,347126,,,
2006-02-22,13380,13580,13260,13400,499074,,,
2006-02-23,13420,13680,13420,13620,327799,,,
2006-02-24,13560,13640,13500,13540,282329,,,
2006-02-27,13560,13820,13540,13820,235870,,,
2006-02-28,13880,13960,13660,13740,252941,,,
2006-03-02,13920,14000,13680,13860,302114,,,
2006-03-03,13640,13680,13000,13080,758648,,,
2006-03-06,13120,13160,12980,13160,454358,,,
2006-03-07,13000,13040,12540,12600,789640,,,
2006-03-08,12300,12520,12160,12460,987621,,,
