Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,85,85,85,85,,,,
2026-06-15,46,46,46,46,,,,
2026-06-16,74,74,74,74,,,,
2026-06-17,41,41,41,41,,,,
2026-06-18,42,42,42,42,,,,
2026-06-19,65,65,65,65,,,,
2026-06-22,73,73,73,73,,,,
2026-06-23,91,91,91,91,,,,
2026-06-24,74,74,74,74,,,,
2026-06-25,50,50,50,50,,,,
2026-06-26,71,71,71,71,,,,
2026-06-29,71,71,71,71,,,,
2026-06-30,28,28,28,28,,,,
2026-07-01,33,33,33,33,,,,
2026-07-02,16,16,16,16,,,,
2026-07-03,15,15,15,15,,,,
2026-07-06,5,5,5,5,,,,
2026-07-07,7,7,7,7,,,,
2026-07-08,10,10,10,10,,,,
2026-07-09,11,11,11,11,,,,
2026-07-10,6,6,6,6,,,,
2026-07-13,10,10,10,10,,,,
2026-07-14,4,4,4,4,,,,
2026-07-15,3,3,3,3,,,,
2026-07-16,14,14,14,14,,,,
2026-07-17,47,47,47,47,,,,
2026-07-21,6,6,6,6,,,,
2026-07-22,8,8,8,8,,,,
2026-07-23,8,8,8,8,,,,
2026-07-24,12,12,12,12,,,,
