Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-11,1592.41,1592.41,1592.41,1592.41,,,,
2026-06-15,1591.72,1591.72,1591.72,1591.72,,,,
2026-06-16,1588.05,1588.05,1588.05,1588.05,,,,
2026-06-17,1587.07,1587.07,1587.07,1587.07,,,,
2026-06-18,1585.06,1585.06,1585.06,1585.06,,,,
2026-06-19,1572.50,1572.50,1572.50,1572.50,,,,
2026-06-22,1574.13,1574.13,1574.13,1574.13,,,,
2026-06-23,1540.90,1540.90,1540.90,1540.90,,,,
2026-06-24,1548.22,1548.22,1548.22,1548.22,,,,
2026-06-25,1558.55,1558.55,1558.55,1558.55,,,,
2026-06-26,1542.34,1542.34,1542.34,1542.34,,,,
2026-06-29,1577.81,1577.81,1577.81,1577.81,,,,
2026-06-30,1591.24,1591.24,1591.24,1591.24,,,,
2026-07-01,1588.23,1588.23,1588.23,1588.23,,,,
2026-07-02,1593.56,1593.56,1593.56,1593.56,,,,
2026-07-03,1611.28,1611.28,1611.28,1611.28,,,,
2026-07-06,1616.88,1616.88,1616.88,1616.88,,,,
2026-07-07,1604.13,1604.13,1604.13,1604.13,,,,
2026-07-08,1576.25,1576.25,1576.25,1576.25,,,,
2026-07-09,1608.30,1608.30,1608.30,1608.30,,,,
2026-07-10,1621.55,1621.55,1621.55,1621.55,,,,
2026-07-13,1627.90,1627.90,1627.90,1627.90,,,,
2026-07-14,1626.03,1626.03,1626.03,1626.03,,,,
2026-07-15,1630.21,1630.21,1630.21,1630.21,,,,
2026-07-16,1635.29,1635.29,1635.29,1635.29,,,,
2026-07-17,1639.04,1639.04,1639.04,1639.04,,,,
2026-07-20,1646.00,1646.00,1646.00,1646.00,,,,
2026-07-21,1652.97,1652.97,1652.97,1652.97,,,,
