Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2000-01-03,36.5,36.5,34.82,35.3,16630,,,
2000-01-04,34.5,34.64,33.9,34.08,26780,,,
2000-01-05,34.14,35.46,34,34.64,18100,,,
2000-01-06,34.9,36.08,34.54,36.08,16740,,,
2000-01-07,36.6,36.92,36.1,36.4,17960,,,
2000-01-10,36.9,37.7,36.12,36.26,19910,,,
2000-01-11,35.8,35.96,35.3,35.58,11920,,,
2000-01-12,35.5,35.68,34.76,34.9,9400,,,
2000-01-13,35.2,35.4,35.02,35.2,11310,,,
2000-01-14,35.6,35.7,34.02,34.02,25020,,,
2000-01-18,34.08,34.36,33.8,34,23600,,,
2000-01-19,34.1,34.26,33.54,34.18,16390,,,
2000-01-20,34.18,34.68,34,34,12880,,,
2000-01-21,34.18,34.26,33.88,34.16,12060,,,
2000-01-24,34.4,34.4,33.76,34,8550,,,
2000-01-25,33.9,34.46,33.9,34.06,11480,,,
2000-01-26,34.16,34.48,34,34.14,10030,,,
2000-01-27,34.14,34.4,33.72,33.92,7830,,,
2000-01-28,33.84,33.84,33.08,33.2,17970,,,
2000-01-31,33.24,33.66,32.94,33,19250,,,
2000-02-01,33.32,33.56,33.2,33.5,9320,,,
2000-02-02,33.3,33.36,32.7,32.8,18750,,,
2000-02-03,33,33.48,33,33.4,10910,,,
2000-02-04,33.54,33.66,33,33.1,11430,,,
2000-02-07,33.4,33.4,32.82,33.28,13880,,,
2000-02-08,32.9,33.04,32.6,32.7,17980,,,
2000-02-09,32.26,32.76,31.54,31.76,30710,,,
2000-02-10,31.96,31.96,30.02,30.96,39450,,,
2000-02-11,31.2,31.36,29.74,30.14,44770,,,
2000-02-14,29.58,29.58,28.32,28.48,44870,,,
2000-02-15,30.4,30.64,30.02,30.64,40060,,,
2000-02-16,31.22,34,31.22,33.28,39820,,,
2000-02-17,34,34.18,32.1,32.64,16700,,,
2000-02-18,33.18,33.72,31,33.72,17640,,,
2000-02-22,32.6,32.6,32,32.4,14600,,,
2000-02-23,32.4,32.58,32,32.32,11180,,,
2000-02-24,32.1,32.1,30.4,30.78,12720,,,
2000-02-25,30.88,30.94,29.6,29.8,32020,,,
2000-02-28,29.7,29.76,29.04,29.2,41480,,,
2000-02-29,28.8,29.62,28.7,28.8,37950,,,
2000-03-01,29.46,29.46,28.7,29.34,20390,,,
2000-03-02,29.4,29.58,29.08,29.36,13330,,,
2000-03-03,29.6,29.9,29.2,29.38,12670,,,
2000-03-06,29,29.4,28.68,28.9,16100,,,
2000-03-07,29.1,29.22,28.54,29,16270,,,
2000-03-08,29.04,29.04,28.52,28.78,18270,,,
2000-03-09,28.54,28.54,27.72,28,30540,,,
2000-03-10,28.24,28.24,27.02,27.4,36730,,,
2000-03-13,27.84,30.12,27.02,29.76,29820,,,
2000-03-14,29.56,29.78,29.2,29.2,14360,,,
2000-03-15,29.44,32.86,29.4,32.52,27700,,,
2000-03-16,32.9,34.26,32.88,34.04,39120,,,
2000-03-17,33.6,36.6,33.6,34.06,35430,,,
2000-03-20,34.06,34.56,33.1,33.56,16000,,,
2000-03-21,33.36,36.04,33.3,35.86,21240,,,
2000-03-22,35.98,36.34,35.4,36.06,14750,,,
2000-03-23,36.04,36.66,35.34,35.48,11680,,,
2000-03-24,35.88,36.48,35.54,35.98,9810,,,
2000-03-27,35.88,36.12,33.96,34.2,9400,,,
2000-03-28,33.86,33.94,32.94,33.34,10630,,,
2000-03-29,33.34,33.4,32.8,33.34,8870,,,
2000-03-30,33.28,36.02,33.28,34.78,21370,,,
2000-03-31,35.44,36.5,34.9,36.4,22420,,,
2000-04-03,36.7,36.72,35.1,35.1,12620,,,
2000-04-04,35.5,36.98,35.46,36.18,24920,,,
2000-04-05,36.34,37.58,36.34,36.76,18820,,,
2000-04-06,36.9,37.76,36.9,37.26,11340,,,
2000-04-07,37.2,37.4,36.6,36.82,10410,,,
2000-04-10,36.7,36.96,36.32,36.42,10800,,,
2000-04-11,36.58,36.58,35.9,36.08,10550,,,
2000-04-12,36.7,37.7,35.88,37.42,14870,,,
2000-04-13,37.92,38.96,37.6,37.86,16110,,,
2000-04-14,37.38,37.38,36.4,36.92,16180,,,
2000-04-17,36.76,37.2,36.4,37.18,13760,,,
2000-04-18,37.5,38.18,37.3,37.66,11970,,,
2000-04-19,37.5,38.02,37.32,37.6,8400,,,
2000-04-20,37.74,38.32,37.36,38.28,4310,,,
2000-04-24,38.04,39.04,37.88,38.8,10580,,,
2000-04-25,38.78,39.16,38.78,39.04,5790,,,
2000-04-26,39.04,39.04,38.26,38.5,4880,,,
2000-04-27,38.48,38.48,37.74,38.4,5310,,,
2000-04-28,38.4,38.7,38.22,38.32,5590,,,
2000-05-01,38.2,38.26,37.04,37.14,8790,,,
2000-05-02,37.04,37.1,34.72,34.98,12040,,,
2000-05-03,34.8,34.9,34.5,34.9,9890,,,
2000-05-04,34.8,35.56,34.5,35.52,5130,,,
2000-05-05,34.8,35.96,34.5,35.88,3410,,,
2000-05-08,36,36.18,35.94,36.06,2260,,,
2000-05-09,36,36.18,35.24,35.4,7440,,,
2000-05-10,35.04,35.4,33.2,35.04,13500,,,
