Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-13,10205387,10205387,10205387,10205387,,,,
2026-06-16,10631809,10631809,10631809,10631809,,,,
2026-06-17,10544633,10544633,10544633,10544633,,,,
2026-06-18,10347101,10347101,10347101,10347101,,,,
2026-06-19,10145858,10145858,10145858,10145858,,,,
2026-06-20,10212357,10212357,10212357,10212357,,,,
2026-06-23,10340672,10340672,10340672,10340672,,,,
2026-06-24,10094117,10094117,10094117,10094117,,,,
2026-06-25,9850000,9850000,9850000,9850000,,,,
2026-06-26,9727785,9727785,9727785,9727785,,,,
2026-06-27,9710928,9710928,9710928,9710928,,,,
2026-06-30,9765886,9765886,9765886,9765886,,,,
