Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2015-06-25,30266,32000,29020,32000,25734,,,
2015-06-26,32000,32000,31700,31700,27702,,,
2015-06-27,31700,31704,30550,30620,10827,,,
2015-06-28,30800,31220,30800,30870,16587,,,
2015-06-29,30870,31550,30870,31550,30972,,,
2015-06-30,31550,32950,31500,32850,8886,,,
2015-07-01,32850,32850,31770,31960,11319,,,
2015-07-02,31790,32420,31500,31720,7155,,,
2015-07-03,31720,32020,31500,31790,8763,,,
2015-07-04,31790,31960,31700,31800,3783,,,
2015-07-05,31800,33340,31800,32950,10836,,,
2015-07-06,32950,34040,32950,33330,8385,,,
2015-07-07,34000,34000,33200,33340,6933,,,
2015-07-08,33340,33900,32500,33900,3489,,,
2015-07-09,33900,34530,33415,34080,6417,,,
2015-07-10,34530,37480,33750,35890,7392,,,
2015-07-11,35890,36860,35890,36000,7233,,,
2015-07-12,36000,38290,36000,38290,6702,,,
2015-07-13,60000,62000,34900,35000,6330,,,
2015-07-14,36150,38000,35600,36000,9633,,,
2015-07-15,35900,36920,35900,35900,6186,,,
2015-07-16,35980,36000,34100,34100,5394,,,
2015-07-17,34100,35800,34100,34600,7086,,,
2015-07-18,34600,34800,34500,34500,4407,,,
2015-07-19,34500,34800,34310,34600,9534,,,
2015-07-20,34046,34800,34046,34046,4389,,,
2015-07-21,34800,35420,34800,34810,4101,,,
2015-07-22,34810,35080,34410,34930,7668,,,
2015-07-23,34930,35040,34790,34800,7896,,,
2015-07-24,34790,35810,34640,35809,7608,,,
2015-07-25,35809,36450,35640,36020,8184,,,
2015-07-26,36200,36690,35930,36340,7038,,,
2015-07-27,36340,36610,35650,36000,21027,,,
2015-07-28,36520,36820,36450,36550,4620,,,
2015-07-29,36541,36660,35805,36520,5301,,,
2015-07-30,35870,36279,35480,35800,4989,,,
2015-07-31,35800,36050,35160,35280,4989,,,
2015-08-01,35280,35725,34880,35070,4473,,,
2015-08-02,34880,35110,34287,34940,6468,,,
2015-08-03,34940,35330,34840,35280,4518,,,
2015-08-04,35280,35710,35170,35250,7104,,,
2015-08-05,35250,35880,35250,35310,10890,,,
2015-08-06,35490,35490,34820,34980,4434,,,
2015-08-07,34980,35200,34690,35101,3462,,,
2015-08-08,35200,35200,32950,32950,3465,,,
2015-08-09,32950,33430,32550,33180,5247,,,
2015-08-10,33180,33610,33180,33370,4728,,,
2015-08-11,33370,33740,33060,33740,4713,,,
2015-08-12,33740,33983,33520,33520,2700,,,
2015-08-13,33520,33830,33110,33710,3543,,,
2015-08-14,33710,33710,33270,33350,5526,,,
2015-08-15,33350,33710,33119,33119,4827,,,
2015-08-16,33119,33119,32310,32750,6744,,,
2015-08-17,32750,32750,32250,32331,4986,,,
2015-08-18,32458,32458,31500,31520,6693,,,
2015-08-19,31520,31520,28500,29530,4752,,,
2015-08-20,28500,29720,28500,29600,5658,,,
2015-08-21,29720,29720,29030,29085,6060,,,
2015-08-22,29085,29320,28070,28530,5142,,,
2015-08-23,28320,28870,28320,28410,3885,,,
2015-08-24,28410,28420,26200,26200,4395,,,
2015-08-25,26200,27530,20000,27110,4059,,,
2015-08-26,27110,28490,27100,27500,5727,,,
2015-08-27,28159,28190,27650,27900,6465,,,
2015-08-28,27710,28870,27391,28770,6846,,,
2015-08-29,28790,28920,28260,28490,5991,,,
2015-08-30,28540,28750,28071,28197,6897,,,
2015-08-31,28197,28550,28122,28300,4590,,,
2015-09-01,28550,28630,28000,28000,9141,,,
2015-09-02,28000,28210,27890,28210,6861,,,
2015-09-03,28210,28240,27750,28050,7080,,,
2015-09-04,28010,28090,27740,27850,5730,,,
2015-09-05,27850,28450,27740,28020,8319,,,
2015-09-06,28140,29400,28140,29000,2649,,,
2015-09-07,29000,29170,28940,29120,6453,,,
2015-09-08,29033,29580,28940,29518,5562,,,
2015-09-09,29509,29509,28840,28840,4536,,,
2015-09-10,28840,29350,28740,29230,7527,,,
2015-09-11,29230,29500,29209,29362,6429,,,
2015-09-12,29407,29550,28837,29350,3555,,,
2015-09-13,28920,28922,28040,28780,4296,,,
2015-09-14,28040,28249,27770,28191,5562,,,
2015-09-15,28184,28245,27939,27999,6588,,,
2015-09-16,28014,28098,27660,27923,3825,,,
2015-09-17,27923,28457,27803,28264,3768,,,
2015-09-18,28264,28394,28050,28261,5964,,,
2015-09-19,28218,28218,27765,28031,4614,,,
2015-09-20,27900,28031,27835,27897,4203,,,
2015-09-21,28001,28008,27329,27440,10101,,,
2015-09-22,27329,28000,27220,27762,4515,,,
2015-09-23,27696,27982,27696,27814,6180,,,
2015-09-24,27861,28393,27812,27861,9168,,,
2015-09-25,28222,28789,28222,28430,10095,,,
2015-09-26,28450,28476,28260,28410,19623,,,
2015-09-27,28476,28505,28280,28434,4896,,,
2015-09-28,28303,28862,28270,28719,5433,,,
2015-09-29,28779,28900,28639,28790,5010,,,
2015-09-30,28732,29110,28680,28992,3714,,,
2015-10-01,28992,29153,28800,28920,5439,,,
2015-10-02,29002,29180,28890,29137,5202,,,
2015-10-03,29115,29235,29054,29153,4179,,,
2015-10-04,29080,29140,28930,29050,4920,,,
2015-10-05,28980,29250,28935,29081,7188,,,
2015-10-06,29207,29930,29200,29260,5061,,,
2015-10-07,29846,29902,29619,29661,3672,,,
2015-10-08,29659,29700,29350,29495,6255,,,
2015-10-09,29468,29680,29432,29660,8295,,,
2015-10-10,29617,29700,29460,29583,10575,,,
2015-10-11,29615,30180,29550,30180,14550,,,
2015-10-12,30180,30213,29510,30139,7113,,,
2015-10-13,29719,30070,29475,29584,5787,,,
2015-10-14,29969,30460,29940,30189,4593,,,
2015-10-15,30388,30670,30180,30201,5490,,,
2015-10-16,30455,31899,30455,30740,4629,,,
2015-10-17,31364,32840,31364,32020,5433,,,
2015-10-18,32353,32635,31438,32140,7326,,,
2015-10-19,31467,31886,31400,31496,5217,,,
2015-10-20,31760,32574,31650,32034,4965,,,
2015-10-21,32480,32740,31890,32174,5448,,,
2015-10-22,32219,33253,32135,32526,7890,,,
2015-10-23,33050,33596,33045,33357,15063,,,
2015-10-24,33596,34157,33589,34110,10527,,,
2015-10-25,35557,35844,34060,35172,5853,,,
2015-10-26,34990,35071,34015,34570,6771,,,
2015-10-27,34704,35856,34643,35698,4122,,,
2015-10-28,35636,37180,35573,37075,10512,,,
2015-10-29,36800,38175,36660,37780,5985,,,
2015-10-30,39300,40303,37870,39515,3561,,,
2015-10-31,39515,40360,37315,37980,4206,,,
2015-11-01,38197,38804,37280,38601,4623,,,
2015-11-02,38734,44434,38710,44413,4107,,,
2015-11-03,44413,50000,43420,48763,2766,,,
2015-11-04,48834,63030,48000,52000,2961,,,
2015-11-05,52000,57595,46000,51290,2985,,,
2015-11-06,47887,50000,44630,46881,5013,,,
2015-11-07,46532,49412,46333,47571,5163,,,
2015-11-08,48575,49122,46260,48411,7335,,,
2015-11-09,46916,48740,45673,47820,7497,,,
2015-11-10,47604,48210,41080,47915,6270,,,
2015-11-11,41910,42630,37320,39430,8418,,,
2015-11-12,38610,43670,38540,41090,8976,,,
2015-11-13,41923,42710,40660,41010,8496,,,
2015-11-14,42010,42261,41000,41580,10833,,,
2015-11-15,41265,41800,39150,40192,6096,,,
2015-11-16,40170,41300,39479,39850,5802,,,
2015-11-17,41226,42237,41079,41340,7884,,,
2015-11-18,41350,41880,40760,41400,4590,,,
2015-11-19,41635,41728,40140,40612,5763,,,
2015-11-20,40229,40310,38690,39850,5625,,,
2015-11-21,40010,40799,39600,40380,6120,,,
2015-11-22,40560,40731,39802,40223,6231,,,
2015-11-23,40239,40500,39720,40016,3720,,,
2015-11-24,39884,40120,39290,39290,3399,,,
2015-11-25,39360,40609,38854,40599,5097,,,
2015-11-26,40319,45330,40120,43898,6474,,,
2015-11-27,43520,44720,42700,43520,8058,,,
2015-11-28,44382,44392,43130,43862,5007,,,
2015-11-29,44078,45810,43701,44078,11358,,,
2015-11-30,45722,47300,45440,46050,6168,,,
2015-12-01,46601,46730,43750,44950,5538,,,
2015-12-02,44540,44829,42860,43364,6177,,,
2015-12-03,44361,45707,43970,45360,6960,,,
2015-12-04,44310,44930,43510,44250,5772,,,
2015-12-05,44591,47952,44591,45750,10440,,,
2015-12-06,47758,50000,47505,48600,6942,,,
2015-12-07,48777,49720,47504,49250,9981,,,
2015-12-08,49050,50000,48150,48959,7887,,,
2015-12-09,50000,52160,49781,51690,6687,,,
2015-12-10,50800,51336,50000,50499,7524,,,
2015-12-11,52820,54899,50460,52820,8424,,,
2015-12-12,54568,57280,49786,51660,7494,,,
2015-12-13,52870,53500,51410,53244,8034,,,
2015-12-14,52550,54220,51720,54053,7299,,,
2015-12-15,53618,56840,53618,56188,5397,,,
2015-12-16,56510,56760,54080,55981,8526,,,
2015-12-17,55759,56098,55102,55740,7896,,,
2015-12-18,55850,56847,55500,56140,3654,,,
2015-12-19,56260,56715,55500,56101,2493,,,
2015-12-20,55927,56155,52620,52676,3636,,,
2015-12-21,52002,53969,51500,52761,2991,,,
2015-12-22,53037,53720,52715,52912,5121,,,
2015-12-23,52912,53746,52798,53480,4674,,,
2015-12-24,54670,55308,53360,54961,4830,,,
2015-12-25,55188,55480,54293,55188,5253,,,
2015-12-26,55043,55176,49804,50570,4560,,,
2015-12-27,50340,51623,49695,51250,4494,,,
2015-12-28,51250,52304,50570,52160,3375,,,
2015-12-29,50940,51999,50590,50890,4407,,,
2015-12-30,51760,52280,50870,52118,4848,,,
2015-12-31,51000,52190,50130,51052,3732,,,
2016-01-01,51840,52480,51420,52320,4209,,,
2016-01-02,52081,52469,51928,52138,2679,,,
2016-01-03,52131,52210,50854,51782,4935,,,
2016-01-04,51310,51990,51190,51530,5616,,,
2016-01-05,51766,52048,51147,51800,4452,,,
2016-01-06,51560,51799,50639,51175,3879,,,
2016-01-07,51340,54019,50941,53526,5502,,,
2016-01-08,53617,54941,52806,53617,4623,,,
2016-01-09,53960,53969,52573,52880,3225,,,
2016-01-10,52901,53029,51826,52560,5013,,,
2016-01-11,52095,52970,52039,52555,3339,,,
2016-01-12,52877,52920,52410,52560,5445,,,
2016-01-13,52520,52549,50096,50971,6381,,,
2016-01-14,51118,51550,50626,50916,12438,,,
2016-01-15,48166,51089,42960,46650,8958,,,
2016-01-16,43683,45624,41294,43560,7437,,,
2016-01-17,45569,46500,44502,44722,6366,,,
2016-01-18,44722,45950,44150,45703,2985,,,
2016-01-19,45512,46099,45000,45174,2106,,,
2016-01-20,49129,50010,44700,48724,5619,,,
