Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-10,171497.24,171497.24,171497.24,171497.24,,,,
2026-06-11,171132.66,171132.66,171132.66,171132.66,,,,
2026-06-15,170415.13,170415.13,170415.13,170415.13,,,,
2026-06-16,169648.47,169648.47,169648.47,169648.47,,,,
2026-06-17,168453.93,168453.93,168453.93,168453.93,,,,
2026-06-18,168277.55,168277.55,168277.55,168277.55,,,,
2026-06-19,168333.61,168333.61,168333.61,168333.61,,,,
2026-06-22,170370.38,170370.38,170370.38,170370.38,,,,
2026-06-23,171258.87,171258.87,171258.87,171258.87,,,,
2026-06-24,170506.66,170506.66,170506.66,170506.66,,,,
