Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,17.19,17.19,17.19,17.19,,,,
2026-06-15,17.74,17.74,17.74,17.74,,,,
2026-06-16,17.73,17.73,17.73,17.73,,,,
2026-06-17,17.82,17.82,17.82,17.82,,,,
2026-06-18,18.05,18.05,18.05,18.05,,,,
2026-06-19,18.01,18.01,18.01,18.01,,,,
2026-06-22,18.21,18.21,18.21,18.21,,,,
2026-06-23,17.66,17.66,17.66,17.66,,,,
2026-06-24,17.55,17.55,17.55,17.55,,,,
2026-06-25,17.86,17.86,17.86,17.86,,,,
2026-06-26,17.55,17.55,17.55,17.55,,,,
2026-06-29,17.61,17.61,17.61,17.61,,,,
