Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,61.68,61.68,61.68,61.68,,,,
2026-06-15,69.69,69.69,69.69,69.69,,,,
2026-06-16,28.71,28.71,28.71,28.71,,,,
2026-06-17,59.53,59.53,59.53,59.53,,,,
2026-06-18,59.95,59.95,59.95,59.95,,,,
2026-06-19,41.49,41.49,41.49,41.49,,,,
2026-06-22,50.70,50.70,50.70,50.70,,,,
2026-06-23,23.45,23.45,23.45,23.45,,,,
2026-06-24,43.41,43.41,43.41,43.41,,,,
2026-06-25,66.77,66.77,66.77,66.77,,,,
2026-06-26,58.62,58.62,58.62,58.62,,,,
2026-06-29,69.85,69.85,69.85,69.85,,,,
2026-06-30,33.74,33.74,33.74,33.74,,,,
2026-07-01,43.43,43.43,43.43,43.43,,,,
2026-07-02,77.98,77.98,77.98,77.98,,,,
2026-07-03,78.69,78.69,78.69,78.69,,,,
2026-07-06,73.30,73.30,73.30,73.30,,,,
2026-07-07,47.88,47.88,47.88,47.88,,,,
2026-07-08,36.20,36.20,36.20,36.20,,,,
2026-07-09,37.55,37.55,37.55,37.55,,,,
2026-07-10,52.31,52.31,52.31,52.31,,,,
2026-07-13,36.65,36.65,36.65,36.65,,,,
2026-07-14,76.06,76.06,76.06,76.06,,,,
2026-07-15,73.94,73.94,73.94,73.94,,,,
2026-07-16,28.63,28.63,28.63,28.63,,,,
2026-07-17,28.82,28.82,28.82,28.82,,,,
2026-07-21,79.01,79.01,79.01,79.01,,,,
2026-07-22,53.92,53.92,53.92,53.92,,,,
2026-07-23,44.09,44.09,44.09,44.09,,,,
2026-07-24,40.56,40.56,40.56,40.56,,,,
2026-07-27,89.67,89.67,89.67,89.67,,,,
2026-07-28,30.81,30.81,30.81,30.81,,,,
2026-07-29,67.01,67.01,67.01,67.01,,,,
2026-07-30,34.27,34.27,34.27,34.27,,,,
2026-07-31,39.28,39.28,39.28,39.28,,,,
2026-08-03,29.80,29.80,29.80,29.80,,,,
2026-08-04,40.37,40.37,40.37,40.37,,,,
2026-08-05,65.40,65.40,65.40,65.40,,,,
2026-08-06,72.62,72.62,72.62,72.62,,,,
2026-08-07,60.31,60.31,60.31,60.31,,,,
2026-08-10,58.87,58.87,58.87,58.87,,,,
2026-08-12,63.17,63.17,63.17,63.17,,,,
2026-08-13,64.91,64.91,64.91,64.91,,,,
2026-08-14,72.24,72.24,72.24,72.24,,,,
2026-08-17,40.30,40.30,40.30,40.30,,,,
2026-08-18,46.40,46.40,46.40,46.40,,,,
2026-08-19,23.26,23.26,23.26,23.26,,,,
2026-08-20,84.83,84.83,84.83,84.83,,,,
2026-08-21,56.75,56.75,56.75,56.75,,,,
2026-08-24,54.18,54.18,54.18,54.18,,,,
2026-08-25,54.37,54.37,54.37,54.37,,,,
2026-08-26,62.85,62.85,62.85,62.85,,,,
2026-08-27,45.76,45.76,45.76,45.76,,,,
2026-08-28,56.11,56.11,56.11,56.11,,,,
2026-08-31,56.62,56.62,56.62,56.62,,,,
2026-09-01,54.31,54.31,54.31,54.31,,,,
2026-09-02,6.43,6.43,6.43,6.43,,,,
2026-09-03,51.77,51.77,51.77,51.77,,,,
