Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,1563,1563,1563,1563,,,,
2026-06-15,1564,1564,1564,1564,,,,
2026-06-16,1564,1564,1564,1564,,,,
2026-06-17,1564,1564,1564,1564,,,,
2026-06-18,1563,1563,1563,1563,,,,
2026-06-19,1562,1562,1562,1562,,,,
2026-06-22,1562,1562,1562,1562,,,,
2026-06-23,1561,1561,1561,1561,,,,
2026-06-24,1562,1562,1562,1562,,,,
2026-06-25,1562,1562,1562,1562,,,,
2026-06-26,1561,1561,1561,1561,,,,
2026-06-29,1559,1559,1559,1559,,,,
2026-06-30,1559,1559,1559,1559,,,,
2026-07-01,1559,1559,1559,1559,,,,
2026-07-02,1558,1558,1558,1558,,,,
2026-07-03,1558,1558,1558,1558,,,,
2026-07-06,1558,1558,1558,1558,,,,
2026-07-07,1558,1558,1558,1558,,,,
