Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,38,38,38,38,,,,
2026-06-15,20,20,20,20,,,,
2026-06-16,55,55,55,55,,,,
2026-06-17,25,25,25,25,,,,
2026-06-18,27,27,27,27,,,,
2026-06-19,49,49,49,49,,,,
2026-06-22,52,52,52,52,,,,
2026-06-23,80,80,80,80,,,,
2026-06-24,52,52,52,52,,,,
2026-06-25,43,43,43,43,,,,
2026-06-26,47,47,47,47,,,,
2026-06-29,13,13,13,13,,,,
2026-06-30,12,12,12,12,,,,
2026-07-01,22,22,22,22,,,,
2026-07-02,6,6,6,6,,,,
2026-07-03,4,4,4,4,,,,
2026-07-06,3,3,3,3,,,,
2026-07-07,6,6,6,6,,,,
2026-07-08,7,7,7,7,,,,
2026-07-09,2,2,2,2,,,,
2026-07-10,4,4,4,4,,,,
2026-07-13,7,7,7,7,,,,
2026-07-14,9,9,9,9,,,,
2026-07-15,5,5,5,5,,,,
2026-07-16,5,5,5,5,,,,
