Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,38,38,38,38,,,,
2026-06-15,86,86,86,86,,,,
2026-06-16,41,41,41,41,,,,
2026-06-17,56,56,56,56,,,,
2026-06-18,87,87,87,87,,,,
2026-06-19,95,95,95,95,,,,
2026-06-22,84,84,84,84,,,,
2026-06-23,58,58,58,58,,,,
2026-06-24,14,14,14,14,,,,
2026-06-25,55,55,55,55,,,,
2026-06-26,43,43,43,43,,,,
2026-06-29,46,46,46,46,,,,
2026-06-30,53,53,53,53,,,,
2026-07-01,51,51,51,51,,,,
2026-07-02,64,64,64,64,,,,
2026-07-03,82,82,82,82,,,,
2026-07-06,106,106,106,106,,,,
2026-07-07,125,125,125,125,,,,
2026-07-08,87,87,87,87,,,,
2026-07-09,30,30,30,30,,,,
2026-07-10,50,50,50,50,,,,
2026-07-13,55,55,55,55,,,,
2026-07-14,55,55,55,55,,,,
2026-07-15,80,80,80,80,,,,
2026-07-16,80,80,80,80,,,,
2026-07-17,37,37,37,37,,,,
2026-07-21,63,63,63,63,,,,
2026-07-22,45,45,45,45,,,,
2026-07-23,58,58,58,58,,,,
2026-07-24,43,43,43,43,,,,
2026-07-27,128,128,128,128,,,,
2026-07-28,85,85,85,85,,,,
2026-07-29,158,158,158,158,,,,
2026-07-30,88,88,88,88,,,,
2026-07-31,56,56,56,56,,,,
2026-08-03,37,37,37,37,,,,
2026-08-04,38,38,38,38,,,,
2026-08-05,56,56,56,56,,,,
2026-08-06,96,96,96,96,,,,
2026-08-07,110,110,110,110,,,,
