Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,96.96,96.96,96.96,96.96,,,,
2026-06-15,97.04,97.04,97.04,97.04,,,,
2026-06-16,97.04,97.04,97.04,97.04,,,,
2026-06-17,97.04,97.04,97.04,97.04,,,,
2026-06-18,97.07,97.07,97.07,97.07,,,,
2026-06-19,97.06,97.06,97.06,97.06,,,,
2026-06-22,97.06,97.06,97.06,97.06,,,,
2026-06-23,97.03,97.03,97.03,97.03,,,,
2026-06-24,97.01,97.01,97.01,97.01,,,,
2026-06-25,97.05,97.05,97.05,97.05,,,,
2026-06-26,97.02,97.02,97.02,97.02,,,,
2026-06-29,97.00,97.00,97.00,97.00,,,,
2026-06-30,97.00,97.00,97.00,97.00,,,,
2026-07-01,97.01,97.01,97.01,97.01,,,,
