Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,5.81,5.81,5.81,5.81,,,,
2026-06-15,5.63,5.63,5.63,5.63,,,,
2026-06-16,5.63,5.63,5.63,5.63,,,,
2026-06-17,5.6,5.6,5.6,5.6,,,,
2026-06-18,5.53,5.53,5.53,5.53,,,,
2026-06-19,5.55,5.55,5.55,5.55,,,,
2026-06-22,5.49,5.49,5.49,5.49,,,,
2026-06-23,5.65,5.65,5.65,5.65,,,,
2026-06-24,5.69,5.69,5.69,5.69,,,,
2026-06-25,5.59,5.59,5.59,5.59,,,,
2026-06-26,5.69,5.69,5.69,5.69,,,,
2026-06-29,5.67,5.67,5.67,5.67,,,,
2026-06-30,5.65,5.65,5.65,5.65,,,,
2026-07-01,5.63,5.63,5.63,5.63,,,,
2026-07-02,5.65,5.65,5.65,5.65,,,,
