Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,5.38,5.38,5.38,5.38,,,,
2026-06-15,5.22,5.22,5.22,5.22,,,,
2026-06-16,5.22,5.22,5.22,5.22,,,,
2026-06-17,5.19,5.19,5.19,5.19,,,,
2026-06-18,5.13,5.13,5.13,5.13,,,,
2026-06-19,5.13,5.13,5.13,5.13,,,,
2026-06-22,5.08,5.08,5.08,5.08,,,,
2026-06-23,5.23,5.23,5.23,5.23,,,,
2026-06-24,5.27,5.27,5.27,5.27,,,,
2026-06-25,5.18,5.18,5.18,5.18,,,,
2026-06-26,5.27,5.27,5.27,5.27,,,,
2026-06-29,5.21,5.21,5.21,5.21,,,,
2026-06-30,5.18,5.18,5.18,5.18,,,,
2026-07-01,5.15,5.15,5.15,5.15,,,,
2026-07-02,5.16,5.16,5.16,5.16,,,,
2026-07-03,5.09,5.09,5.09,5.09,,,,
2026-07-06,5.05,5.05,5.05,5.05,,,,
2026-07-07,5.11,5.11,5.11,5.11,,,,
2026-07-08,5.18,5.18,5.18,5.18,,,,
2026-07-09,5.17,5.17,5.17,5.17,,,,
2026-07-10,5.15,5.15,5.15,5.15,,,,
2026-07-13,5.2,5.2,5.2,5.2,,,,
2026-07-14,5.16,5.16,5.16,5.16,,,,
2026-07-15,5.1,5.1,5.1,5.1,,,,
2026-07-16,5.19,5.19,5.19,5.19,,,,
2026-07-17,5.34,5.34,5.34,5.34,,,,
2026-07-21,5.2,5.2,5.2,5.2,,,,
2026-07-22,5.18,5.18,5.18,5.18,,,,
2026-07-23,5.16,5.16,5.16,5.16,,,,
2026-07-24,5.23,5.23,5.23,5.23,,,,
2026-07-27,5.16,5.16,5.16,5.16,,,,
2026-07-28,5.3,5.3,5.3,5.3,,,,
2026-07-29,5.29,5.29,5.29,5.29,,,,
2026-07-30,5.32,5.32,5.32,5.32,,,,
2026-07-31,5.25,5.25,5.25,5.25,,,,
2026-08-03,5.29,5.29,5.29,5.29,,,,
2026-08-04,5.29,5.29,5.29,5.29,,,,
2026-08-05,5.18,5.18,5.18,5.18,,,,
2026-08-06,5.17,5.17,5.17,5.17,,,,
2026-08-07,5.16,5.16,5.16,5.16,,,,
2026-08-10,5.13,5.13,5.13,5.13,,,,
2026-08-12,5.08,5.08,5.08,5.08,,,,
2026-08-13,5.04,5.04,5.04,5.04,,,,
2026-08-14,5.01,5.01,5.01,5.01,,,,
