Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-10,1662.6,1662.6,1662.6,1662.6,,,,
2026-06-11,1709.2,1709.2,1709.2,1709.2,,,,
2026-06-15,1770,1770,1770,1770,,,,
2026-06-16,1812.1,1812.1,1812.1,1812.1,,,,
2026-06-17,1790.7,1790.7,1790.7,1790.7,,,,
2026-06-18,1705.2,1705.2,1705.2,1705.2,,,,
2026-06-19,1705.2,1705.2,1705.2,1705.2,,,,
2026-06-22,1670.3,1670.3,1670.3,1670.3,,,,
2026-06-23,1660.9,1660.9,1660.9,1660.9,,,,
2026-06-24,1580.6,1580.6,1580.6,1580.6,,,,
2026-06-25,1601.7,1601.7,1601.7,1601.7,,,,
2026-06-26,1630.6,1630.6,1630.6,1630.6,,,,
2026-06-29,1574.5,1574.5,1574.5,1574.5,,,,
2026-06-30,1550.2,1550.2,1550.2,1550.2,,,,
2026-07-01,1588.9,1588.9,1588.9,1588.9,,,,
2026-07-02,1616.6,1616.6,1616.6,1616.6,,,,
2026-07-03,1662.1,1662.1,1662.1,1662.1,,,,
2026-07-06,1631.7,1631.7,1631.7,1631.7,,,,
2026-07-07,1651.2,1651.2,1651.2,1651.2,,,,
2026-07-08,1576.4,1576.4,1576.4,1576.4,,,,
2026-07-09,1618.8,1618.8,1618.8,1618.8,,,,
2026-07-10,1618.1,1618.1,1618.1,1618.1,,,,
2026-07-13,1602.2,1602.2,1602.2,1602.2,,,,
2026-07-14,1631.5,1631.5,1631.5,1631.5,,,,
2026-07-15,1631.5,1631.5,1631.5,1631.5,,,,
2026-07-16,1635.7,1635.7,1635.7,1635.7,,,,
2026-07-17,1605.8,1605.8,1605.8,1605.8,,,,
