Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2000-01-03,39.94,40.06,38.94,39.63,3740900,,,
2000-01-04,39.31,39.56,38.38,38.81,3677600,,,
2000-01-05,38.81,40.31,38.81,39.44,4567000,,,
2000-01-06,39.13,39.38,38.69,38.88,3642400,,,
2000-01-07,39,39.88,38.88,39.88,4564600,,,
2000-01-10,40,41,39.75,40.06,3508800,,,
2000-01-11,40.13,41.5,40.13,41,4699100,,,
2000-01-12,40.94,43.06,40.69,42.81,7458200,,,
2000-01-13,42.69,43.63,41.88,42.31,4591400,,,
2000-01-14,42.81,42.81,41.94,42.63,2925300,,,
2000-01-18,42.38,42.5,41.19,41.5,2804700,,,
2000-01-19,41,42.63,41,42.56,2853800,,,
2000-01-20,42.56,42.56,41.06,41.13,2799200,,,
2000-01-21,41.88,41.88,40.44,41.06,3259500,,,
2000-01-24,40.63,40.69,39.5,39.94,2277400,,,
2000-01-25,39.75,40.19,39.19,39.81,2460900,,,
2000-01-26,39.63,39.63,33.31,35.5,13542700,,,
2000-01-27,36,37.94,35.94,37.63,10226700,,,
2000-01-28,37.13,37.25,36.38,36.75,3908600,,,
2000-01-31,37.25,38,37.13,37.19,4146900,,,
2000-02-01,37.25,37.56,36.5,36.63,3809800,,,
2000-02-02,36.69,36.69,35.38,35.5,4780200,,,
2000-02-03,35.56,36.19,34.44,34.94,7623200,,,
2000-02-04,35.88,35.88,34.63,35,6455600,,,
2000-02-07,35.25,35.5,34,34.94,8551000,,,
2000-02-08,36,37.63,35.56,36.31,10227300,,,
2000-02-09,36.69,36.69,35.5,35.75,4665500,,,
2000-02-10,35.5,36.25,35.13,35.19,4527100,,,
2000-02-11,35.06,35.44,34.81,34.81,3051500,,,
2000-02-14,35.31,35.31,33.31,33.88,3484300,,,
2000-02-15,33.75,34.13,33.44,33.63,3946700,,,
2000-02-16,33.75,34.38,33.25,33.44,3033100,,,
2000-02-17,33.56,34.06,33.38,33.75,3606200,,,
2000-02-18,33.56,33.69,32.31,32.5,4645800,,,
2000-02-22,32.25,33.19,32.19,32.5,3797500,,,
2000-02-23,32.38,33.38,32.38,32.63,4211800,,,
2000-02-24,32.25,32.38,31,31.5,4988500,,,
2000-02-25,31.5,31.81,30.75,31.06,3703400,,,
2000-02-28,31.25,31.69,30.75,31.19,3179100,,,
2000-02-29,31.75,32.44,31.56,31.63,4843100,,,
2000-03-01,31.88,31.94,31.19,31.25,4114300,,,
2000-03-02,31.13,31.44,30.75,30.94,4106900,,,
2000-03-03,31.13,32.31,30.56,31.63,4185000,,,
2000-03-06,32.5,32.5,31.19,31.56,3560300,,,
2000-03-07,31.5,31.5,29.88,29.88,4890900,,,
2000-03-08,30.38,31.25,30.06,30.63,3157000,,,
2000-03-09,30.63,32,30.06,31.63,3981800,,,
2000-03-10,31.44,32.38,31,31.88,4204300,,,
2000-03-13,31.44,32.44,31.31,32.44,4884900,,,
2000-03-14,32.44,32.5,30.06,30.13,3277200,,,
2000-03-15,32.44,32.88,30.44,32.5,6030500,,,
2000-03-16,33.38,34.38,32.88,34.38,6858700,,,
2000-03-17,35,35,33.75,33.81,4790000,,,
2000-03-20,34.25,34.81,34.19,34.56,2176600,,,
2000-03-21,34.75,35.25,34.5,35.25,3522200,,,
2000-03-22,35.06,35.75,35.06,35.25,3126100,,,
2000-03-23,34,35.94,34,35.19,3509500,,,
2000-03-24,35.13,35.94,34.75,34.94,2684500,,,
2000-03-27,35.06,35.06,34.75,34.75,1794900,,,
2000-03-28,34,35.38,34,35.13,2433500,,,
2000-03-29,34,37.06,34,36.81,4506600,,,
2000-03-30,34,38.25,34,37.63,4221300,,,
2000-03-31,37.56,37.94,36.81,37.56,3281000,,,
2000-04-03,37.81,38.5,37.69,38.5,3760500,,,
2000-04-04,38.69,39.31,37.69,38.44,4350100,,,
2000-04-05,38.63,38.63,37.25,37.69,3421800,,,
2000-04-06,37.75,38,36.88,37,3707100,,,
2000-04-07,36.38,37.31,36.13,37,2605900,,,
2000-04-10,36.38,37.31,35.88,36.38,2887500,,,
2000-04-11,36.13,37.75,35.88,37.69,2912000,,,
2000-04-12,37.25,38.19,36.31,36.31,3919600,,,
2000-04-13,37.25,38.19,34.5,34.56,6257000,,,
2000-04-14,33.56,34.81,33,33.38,5032500,,,
2000-04-17,33.5,34.13,33.06,33.63,3776300,,,
2000-04-18,33.5,34.13,31.94,32.5,4690400,,,
2000-04-19,32.94,33.19,32.56,33.06,2820300,,,
2000-04-20,34,35.94,33.75,35.81,5905100,,,
2000-04-24,35.25,39,35.19,39,8163800,,,
2000-04-25,38.94,39.44,38.19,38.88,3308700,,,
2000-04-26,38.94,39.38,38.19,38.88,2936600,,,
2000-04-27,38.13,39.13,38.13,38.75,2475700,,,
2000-04-28,38.56,38.75,37.56,38.13,2602600,,,
2000-05-01,38,39.31,38,38.88,2516800,,,
2000-05-02,38.38,39.63,38.31,39.19,2787900,,,
2000-05-03,38.25,38.69,37.06,37.13,4592500,,,
2000-05-04,36.63,36.69,35.56,35.75,5754100,,,
2000-05-05,35.5,36.19,35,35.69,4375100,,,
2000-05-08,35.75,36.13,35.19,35.94,2749200,,,
2000-05-09,36.25,37.13,36.19,37,2829500,,,
2000-05-10,37.19,38.81,37.13,38.63,4834800,,,
2000-05-11,38.13,38.81,38.13,38.19,2800300,,,
2000-05-12,37.25,38.81,37.25,37.56,2088300,,,
2000-05-15,37.25,38.56,37.25,38.38,2393500,,,
2000-05-16,39.19,39.25,38.44,39.19,2364900,,,
2000-05-17,39.06,39.31,38.38,39.06,1748700,,,
2000-05-18,38.81,38.94,38.56,38.63,1678900,,,
2000-05-19,38.75,38.75,37.63,37.81,2473200,,,
2000-05-22,37.88,39.13,37.81,38.88,2711900,,,
2000-05-23,38,39.25,38,39.13,2135000,,,
2000-05-24,38.13,39.94,38.13,38.75,4598100,,,
2000-05-25,37.88,38.5,37.13,37.31,2585800,,,
2000-05-26,37.88,37.94,37.19,37.75,2886300,,,
2000-05-30,37,37.06,35.94,36.56,3676100,,,
2000-05-31,36.56,36.56,35.31,35.81,3184200,,,
2000-06-01,35.56,35.75,35.25,35.63,2249700,,,
2000-06-02,35.56,36.31,35.19,36.13,3093100,,,
2000-06-05,35.56,36.31,35.25,35.5,1505200,,,
2000-06-06,35.13,35.56,34.88,35.13,2982800,,,
2000-06-07,35.13,35.31,34.31,34.75,2066600,,,
2000-06-08,35.13,35.75,34.5,35.44,2889300,,,
2000-06-09,35.5,36,31.63,33.38,12836900,,,
2000-06-12,33.25,33.31,32,32.63,7042500,,,
2000-06-13,32.25,33.19,32.19,32.38,5333900,,,
2000-06-14,33,33,31.63,31.75,4415700,,,
2000-06-15,32.31,32.31,31.63,32.13,5248500,,,
2000-06-16,32.5,32.56,31.31,31.31,5803100,,,
2000-06-19,32.06,32.06,31.5,31.5,3717500,,,
2000-06-20,31.69,31.69,31,31,3123900,,,
2000-06-21,31.25,31.69,31.06,31.13,3718800,,,
2000-06-22,31.25,31.56,31.13,31.44,3245700,,,
2000-06-23,31.69,33.19,31.5,32.63,6083200,,,
2000-06-26,32.94,33.63,32.88,33.44,4042400,,,
2000-06-27,33.25,33.5,32.63,32.81,2489200,,,
2000-06-28,32.81,32.81,32,32.19,2696000,,,
2000-06-29,32.81,32.81,31.06,31.38,4712900,,,
2000-06-30,33,33,31.06,32.94,4700100,,,
2000-07-03,33.25,33.31,32.25,32.5,1482600,,,
2000-07-05,32.56,32.56,31.63,31.94,4400400,,,
2000-07-06,32.56,32.56,31.63,32.19,3585200,,,
2000-07-07,33.25,33.5,32.06,33.06,3029500,,,
2000-07-10,33.38,33.44,32.25,32.25,2519700,,,
2000-07-11,32.88,33.06,32.25,32.56,2643400,,,
2000-07-12,32.88,33.06,32.06,32.25,2450700,,,
2000-07-13,32.88,33.06,31,31.31,4942800,,,
2000-07-14,31.31,31.38,31.25,31.38,2374700,,,
2000-07-17,31.31,31.56,31.13,31.31,1928800,,,
2000-07-18,31.31,31.63,31,31.19,1917800,,,
2000-07-19,31.31,31.38,31,31.31,2345000,,,
2000-07-20,31.5,32,31.31,31.69,2496800,,,
2000-07-21,31.88,31.88,30.63,30.88,3036400,,,
2000-07-24,30.88,31.13,30.13,30.25,3193700,,,
2000-07-25,31,31.38,30.19,31.19,5722900,,,
2000-07-26,31,33.06,30.19,33,9258000,,,
2000-07-27,32.19,33.75,32.13,32.19,5410800,,,
2000-07-28,32.31,32.81,32,32,2637900,,,
2000-07-31,32.44,32.63,31.44,31.5,4361800,,,
2000-08-01,31.88,32.63,31.81,32.56,2683500,,,
2000-08-02,32.56,33.56,32.56,33.25,4017400,,,
2000-08-03,33.63,33.94,33.19,33.25,3232500,,,
2000-08-04,33.13,33.69,33,33.5,2256600,,,
2000-08-07,33.56,34.19,33.5,33.69,2572500,,,
2000-08-08,34,34.13,33.06,33.38,2111200,,,
2000-08-09,32.94,33.19,32.31,32.69,3111400,,,
2000-08-10,32.94,33.06,32.63,32.81,2087400,,,
2000-08-11,32.94,33.63,32.88,33.44,1836100,,,
2000-08-14,33.44,33.44,33,33.31,2107500,,,
2000-08-15,33.44,33.63,32.25,32.44,1311000,,,
2000-08-16,32.44,32.56,32.06,32.19,1510700,,,
2000-08-17,32.13,32.38,31,31.25,3721400,,,
2000-08-18,31.13,31.94,31,31.56,2798400,,,
2000-08-21,31.81,31.94,31.25,31.56,2432800,,,
2000-08-22,31.69,31.88,31.19,31.31,2630800,,,
2000-08-23,31.75,31.75,30.94,31.13,2693400,,,
2000-08-24,31.19,31.31,30,30.31,4987200,,,
2000-08-25,30.5,30.56,29.94,30.31,3988600,,,
2000-08-28,30,30.44,30,30.38,3296800,,,
2000-08-29,30.69,31,30.19,30.38,3780500,,,
2000-08-30,30.44,30.44,29.94,30.06,3062600,,,
2000-08-31,30.13,30.38,29.69,29.88,5244200,,,
2000-09-01,29.69,30.06,29.31,29.63,3344000,,,
2000-09-05,29.56,29.81,29.38,29.69,4364500,,,
2000-09-06,29.56,30.31,29.56,30.13,3080500,,,
2000-09-07,30.25,30.31,29.13,29.25,5386200,,,
2000-09-08,29.31,29.31,28.25,28.81,4573300,,,
2000-09-11,28.75,28.81,28.06,28.38,3553500,,,
2000-09-12,28.19,29.25,27.81,29.19,10279100,,,
2000-09-13,29.44,29.44,28.06,28.31,6558600,,,
2000-09-14,27.75,27.75,26.38,26.81,14177800,,,
2000-09-15,27.25,28.19,27.06,27.75,8316400,,,
2000-09-18,27.94,28.56,27.56,28.38,4634600,,,
2000-09-19,28.5,28.63,27.56,27.63,4307400,,,
2000-09-20,27.88,27.94,27,27.69,3956900,,,
2000-09-21,27.81,28.19,27.69,28.19,3379200,,,
2000-09-22,28.69,29.25,28.19,28.88,5428200,,,
2000-09-25,29.25,29.38,29,29,3623900,,,
2000-09-26,29.5,30.13,29.44,29.88,5602200,,,
2000-09-27,29.63,29.94,29.5,29.88,3014900,,,
2000-09-28,29.94,30.25,29.81,30.19,2710600,,,
2000-09-29,30.19,30.38,29.75,30.19,2292200,,,
2000-10-02,30.44,30.44,30,30.06,1686000,,,
2000-10-03,30.13,30.5,29.94,30.25,2525400,,,
2000-10-04,30.31,30.5,29.88,30,1812600,,,
2000-10-05,30.25,30.44,29.69,30.13,5339100,,,
2000-10-06,29.88,30.31,29.44,29.88,3066000,,,
2000-10-09,30,30.13,29.5,30.06,1817100,,,
2000-10-10,30.31,30.38,29.94,29.94,1603900,,,
2000-10-11,30,30.44,29.94,30,1904000,,,
2000-10-12,29.75,29.81,27.94,28.38,4987300,,,
2000-10-13,28.31,29.19,28,28.88,2324300,,,
2000-10-16,29.44,29.44,28.81,29,2410300,,,
2000-10-17,28.38,28.44,27.63,28,3752200,,,
2000-10-18,28.38,28.44,27.81,28.06,2618000,,,
2000-10-19,28.88,28.88,27.63,27.88,5828800,,,
2000-10-20,28.5,28.63,28.13,28.25,4771500,,,
2000-10-23,28.94,29.19,28.81,29.13,3155600,,,
2000-10-24,29.31,29.63,28.81,29.13,4552000,,,
2000-10-25,28.88,29.25,28.81,29,3841000,,,
2000-10-26,28.69,29.19,28.63,28.94,3702000,,,
2000-10-27,28.69,29.75,28.69,29.75,3005800,,,
2000-10-30,29.69,31.31,29.44,31.19,4928600,,,
2000-10-31,31.38,31.5,30.69,31,3483200,,,
2000-11-01,30.75,31.69,30.69,31.63,2684000,,,
