Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-11,185.33,185.33,185.33,185.33,,,,
2026-06-12,185.33,185.33,185.33,185.33,,,,
2026-06-15,185.71,185.71,185.71,185.71,,,,
2026-06-16,186.20,186.20,186.20,186.20,,,,
2026-06-17,184.73,184.73,184.73,184.73,,,,
2026-06-18,184.78,184.78,184.78,184.78,,,,
2026-06-19,184.96,184.96,184.96,184.96,,,,
2026-06-22,184.60,184.60,184.60,184.60,,,,
2026-06-23,183.85,183.85,183.85,183.85,,,,
2026-06-24,183.63,183.63,183.63,183.63,,,,
2026-06-25,183.88,183.88,183.88,183.88,,,,
