Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,2630.23,2659.23,2622.84,2636.71,,,,
2026-01-29,2614.52,2651.68,2584.38,2647.99,,,,2026-01-30,2678.01,2703.23,2667.71,2697.71,,,,
2026-02-02,2729.28,2736.34,2682.01,2686.35,,,,
2026-02-03,2700.64,2750.54,2700.64,2745.63,,,,
2026-02-04,2735.81,2798.41,2725.89,2797.10,,,,
2026-02-05,2836.46,2858.46,2826.99,2841.23,,,,
2026-02-06,2839.71,2864.97,2812.60,2864.97,,,,
2026-02-09,2909.04,3031.12,2907.97,2989.94,,,,
2026-02-10,3028.84,3134.72,3019.27,3131.69,,,,
2026-02-12,3106.92,3208.23,3106.16,3198.88,,,,
2026-02-13,3182.67,3185.01,3116.46,3119.02,,,,
2026-02-16,3123.97,3128.27,3075.05,3090.51,,,,
2026-02-17,3090.60,3098.04,3057.38,3074.65,,,,
2026-02-18,3105.75,3127.82,3096.90,3102.48,,,,
