Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,3010.97,3021.88,3001.26,3013.40,,,,
2026-01-29,2994.81,3070.44,2991.69,3058.53,,,,2026-01-30,3093.66,3098.75,3066.24,3087.71,,,,
2026-02-02,3138.40,3157.35,3083.94,3086.95,,,,
2026-02-03,3141.89,3203.42,3141.64,3194.88,,,,
2026-02-04,3172.13,3216.15,3150.17,3198.87,,,,
2026-02-05,3251.25,3262.15,3215.69,3237.04,,,,
2026-02-06,3243.01,3276.73,3225.91,3276.73,,,,
2026-02-09,3333.72,3374.56,3310.12,3317.43,,,,
2026-02-10,3357.52,3386.19,3334.39,3370.11,,,,
2026-02-12,3350.76,3406.29,3348.13,3372.86,,,,
2026-02-13,3397.25,3415.99,3354.12,3373.28,,,,
2026-02-16,3367.68,3395.13,3346.41,3354.43,,,,
2026-02-17,3370.76,3388.32,3347.12,3357.35,,,,
2026-02-18,3413.58,3486.62,3412.26,3453.45,,,,
