Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,3911.36,3911.93,3863.95,3883.99,,,,
2026-01-29,3855.12,3898.89,3829.95,3890.53,,,,2026-01-30,3946.14,3973.32,3920.56,3941.33,,,,
2026-02-02,4007.31,4038.71,3979.13,3979.48,,,,
2026-02-03,4011.19,4066.00,4006.27,4033.82,,,,
2026-02-04,4023.78,4057.65,4013.05,4046.25,,,,
2026-02-05,4085.75,4212.78,4072.02,4149.73,,,,
2026-02-06,4110.36,4110.36,4047.52,4075.66,,,,
2026-02-09,4147.04,4244.39,4146.20,4167.88,,,,
2026-02-10,4186.25,4251.14,4184.45,4213.52,,,,
2026-02-12,4230.76,4232.78,4197.60,4206.50,,,,
2026-02-13,4233.86,4265.47,4203.65,4265.47,,,,
2026-02-16,4280.30,4280.30,4228.39,4244.89,,,,
2026-02-17,4244.00,4246.56,4206.47,4221.95,,,,
2026-02-18,4272.87,4326.63,4268.40,4326.63,,,,
2026-02-19,4267.67,4350.88,4256.42,4347.91,,,,
2026-02-20,4335.72,4367.06,4335.72,4350.89,,,,
2026-02-24,4370.47,4387.24,4317.67,4372.78,,,,
2026-02-25,4423.24,4429.87,4368.14,4402.76,,,,
2026-02-26,4396.00,4421.32,4385.30,4396.14,,,,
2026-02-27,4410.28,4472.64,4410.28,4468.48,,,,
2026-03-02,4410.40,4414.98,4341.48,4356.61,,,,
2026-03-03,4300.98,4322.51,4231.29,4245.12,,,,
2026-03-04,4185.91,4185.91,4121.74,4155.74,,,,
2026-03-05,4223.35,4257.92,4173.94,4186.97,,,,
2026-03-06,4129.91,4206.06,4110.28,4197.67,,,,
2026-03-09,4135.93,4170.48,4064.72,4146.53,,,,
2026-03-10,4215.09,4230.44,4175.61,4203.03,,,,
2026-03-11,4241.07,4296.27,4239.83,4256.85,,,,
2026-03-12,4210.42,4217.57,4175.06,4215.35,,,,
2026-03-13,4184.22,4226.37,4179.59,4197.20,,,,
2026-03-16,4173.98,4191.39,4146.64,4172.47,,,,
2026-03-17,4222.52,4286.80,4222.52,4262.94,,,,
2026-03-18,4245.99,4286.59,4228.54,4280.80,,,,
2026-03-19,4204.65,4220.79,4159.06,4164.56,,,,
2026-03-23,4104.38,4121.59,4032.54,4056.45,,,,
2026-03-24,4112.53,4156.13,4108.10,4154.92,,,,
2026-03-25,4227.78,4263.46,4227.78,4243.51,,,,
